"Package","Version"
"R.utils","2.13.0"
"R6","2.6.1"
"ragg","1.5.2"
"RANN","2.6.2"
"rappdirs","0.3.4"
"rARPACK","0.11-0"
"rbibutils","2.4.1"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.1.1-1.1"
"RcppAnnoy","0.0.23"
"RcppArmadillo","15.2.7-1"
"RcppEigen","0.3.4.0.2"
"RcppHNSW","0.6.0"
"RcppML","0.3.7.1"
"RcppParallel","5.1.11-2"
"RcppProgress","0.4.2"
"RcppRoll","0.3.2"
"RcppTOML","0.2.3"
"RCurl","1.98-1.18"
"Rdpack","2.6.6"
"readr","2.2.0"
"readxl","1.5.0"
"reformulas","0.4.4"
"remaCor","0.0.20"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"renv","1.2.3"
"repr","1.1.7"
"reprex","2.1.1"
"reshape2","1.4.5"
"restfulr","0.0.16"
"reticulate","1.46.0"
"rex","1.2.2"
"Rfast","2.1.5.2"
"rgl","1.3.36"
"rhdf5","2.54.1"
"rhdf5filters","1.22.0"
"Rhdf5lib","1.32.0"
"RhpcBLASctl","0.23-42"
"Rhtslib","3.6.0"
"rjson","0.2.23"
"rlang","1.2.0"
"rmarkdown","2.31"
"ROCR","1.0-12"
"rootSolve","1.8.2.4"
"roxygen2","8.0.0"
"rpart","4.1.27"
"rprojroot","2.1.1"
"Rsamtools","2.26.0"
"RSpectra","0.16-2"
"RSQLite","2.4.6"
"rstan","2.32.7"
"rstantools","2.6.0"
"rstatix","0.7.3"
"rstudioapi","0.18.0"
"rsvd","1.0.5"
"rtracklayer","1.70.1"
"Rtsne","0.17"
"rversions","3.0.0"
"rvest","1.0.5"
"S4Arrays","1.10.1"
"S4Vectors","0.48.1"
"S7","0.2.2"
"sandwich","3.1-1"
"sass","0.4.10"
"ScaledMatrix","1.18.0"
"scales","1.4.0"
"scater","1.38.1"
"scattermore","1.2"
"scatterpie","0.2.6"
"sccore","1.0.7"
"scDblFinder","1.24.10"
"sceasy","0.0.7"
"scran","1.38.1"
"sctransform","0.4.3"
"scuttle","1.20.0"
"selectr","0.5-1"
"Seqinfo","1.0.0"
"seqLogo","1.76.0"
"sessioninfo","1.2.3"
"Seurat","5.4.0"
"SeuratData","0.2.2.9002"
"SeuratDisk","0.0.0.9021"
"SeuratObject","5.4.0"
"shape","1.4.6.1"
"shiny","1.13.0"
"shinyBS","0.65.0"
"shinydashboard","0.7.3"
"shinyjs","2.1.1"
"Signac","1.17.1"
"SingleCellExperiment","1.32.0"
"SingleR","2.12.0"
"sitmo","2.0.2"
"slam","0.1-55"
"snow","0.4-4"
"SnowballC","0.7.1"
"SoupX","1.6.2"
"sourcetools","0.1.7-2"
"sp","2.2-1"
"spam","2.11-3"
"SparseArray","1.10.10"
"SparseM","1.84-2"
"sparseMatrixStats","1.22.0"
"spatial","7.3-18"
"SpatialExperiment","1.20.0"
"spatstat.data","3.1-9"
"spatstat.explore","3.8-0"
"spatstat.geom","3.7-3"
"spatstat.random","3.4-5"
"spatstat.sparse","3.1-0"
"spatstat.univar","3.1-7"
"spatstat.utils","3.2-2"
"splines","4.5.3"
"StanHeaders","2.32.10"
"statmod","1.5.1"
"stats","4.5.3"
"stats4","4.5.3"
"stringi","1.8.7"
"stringr","1.6.0"
"styler","1.11.0"
"SummarizedExperiment","1.40.0"
"survival","3.8-6"
"svglite","2.2.2"
"sys","3.4.3"
"systemfonts","1.3.2"
"tcltk","4.5.3"
"tensor","1.5.1"
"tensorA","0.36.2.1"
"testthat","3.3.2"
"textshaping","1.0.5"
"TFBSTools","1.48.0"
"TFMPvalue","1.0.0"
"tibble","3.3.1"
"tictoc","1.2.1"
"tidydr","0.0.6"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"tidytree","0.4.7"
"tidyverse","2.0.0"
"timechange","0.4.0"
"timeDate","4052.112"
"tinytex","0.59"
"TMB","1.9.21"
"tools","4.5.3"
"treeio","1.34.0"
"tweenr","2.0.3"
"tzdb","0.5.0"
"UCSC.utils","1.6.1"
"unigd","0.2.0"
"urca","1.3-4"
"urlchecker","1.0.1"
"usethis","3.2.1"
"utf8","1.2.6"
"utils","4.5.3"
"uuid","1.2-2"
"uwot","0.2.4"
"V8","8.1.0"
"variancePartition","1.40.2"
"vctrs","0.7.3"
"vipor","0.4.7"
"viridis","0.6.5"
"viridisLite","0.4.3"
"vroom","1.7.1"
"waldo","0.6.2"
"whisker","0.4.1"
"withr","3.0.2"
"xfun","0.58"
"xgboost","3.2.1.1"
"XML","3.99-0.23"
"xml2","1.5.2"
"xmlparsedata","1.0.5"
"xopen","1.0.1"
"xtable","1.8-8"
"XVector","0.50.0"
"yaml","2.3.12"
"yulab.utils","0.2.4"
"zellkonverter","1.20.1"
"zigg","0.0.2"
"zip","2.3.3"
"zoo","1.8-15"
