set,gene,rank,rank_pct,t,logFC,adj.P.Val,n_in_ranking,median_rank,median_rank_pct,median_t,set_label,gate_pass_n,gate_span_n,gate_min_rank,gate_max_rank,gate_min_rank_pct,gate_max_rank_pct,gate_deepest_gene,gate_deepest_t,gate_deepest_logFC,gate_inner_pass_n,gate_inner_total_n,ranking_total_n
WT_heat_up,Gja5,1,0.00508155902,29.281472,1.80414773,4.3442333e-19,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,Gm9745,60,0.304893541,15.186698,1.97698543,9.18958795e-13,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,Lta,62,0.315056659,15.1206149,1.2689511,1.46279852e-9,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,Tanc2,67,0.340464454,14.8990566,1.10511958,5.75047675e-13,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,Ptger2,70,0.355709132,14.8694943,1.3007786,1.78444752e-10,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,Dennd3,71,0.360790691,14.8657713,1.0739745,5.91245082e-13,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,Pik3ap1,73,0.370953809,14.780039,1.13003874,9.05402726e-12,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,Neb,75,0.381116927,14.7476381,1.10200833,9.15104382e-11,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,Rab34,77,0.391280045,14.7360871,1.197061,6.81506082e-13,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,Procr,78,0.396361604,14.7160881,1.28005113,1.96084556e-12,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,Trpm6,83,0.421769399,14.3216046,1.66990339,1.25758169e-12,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
