gene,in_HSR_core,in_TCR_activation,in_HSR_sensitivity,attribution,hsr_category,wt_heat_t
Adcy4,FALSE,FALSE,FALSE,neither,,10.3956391
Ccl20,FALSE,FALSE,FALSE,neither,,10.347817
Mab21l3,FALSE,FALSE,FALSE,neither,,10.3207928
Fam71b,FALSE,FALSE,FALSE,neither,,10.3042365
Gm12708,FALSE,FALSE,FALSE,neither,,10.2516223
Anxa3,FALSE,FALSE,FALSE,neither,,10.2462719
Calca,FALSE,FALSE,FALSE,neither,,10.115261
Eomes,FALSE,FALSE,FALSE,neither,,10.1052396
Neo1,FALSE,FALSE,FALSE,neither,,10.0639081
Il1a,FALSE,FALSE,TRUE,neither,generic_stress,10.0608151
Arhgef25,FALSE,FALSE,FALSE,neither,,9.95743953
Sspo,FALSE,FALSE,FALSE,neither,,9.9108552
Fosl1,FALSE,FALSE,FALSE,neither,,9.90727946
Spint1,FALSE,FALSE,FALSE,neither,,9.86260718
Plaur,FALSE,FALSE,FALSE,neither,,9.82270186
Tmem125,FALSE,FALSE,FALSE,neither,,9.80657724
Hk2,FALSE,FALSE,FALSE,neither,,9.71988286
S1pr3,FALSE,FALSE,FALSE,neither,,9.67845652
Samd4,FALSE,FALSE,FALSE,neither,,9.6595385
Tctex1d2,FALSE,FALSE,FALSE,neither,,9.59886507
Aplp1,FALSE,FALSE,FALSE,neither,,9.58833408
Ccl3,FALSE,FALSE,FALSE,neither,,9.5677964
Wnt3,FALSE,FALSE,FALSE,neither,,9.46682468
Notch3,FALSE,FALSE,FALSE,neither,,9.39601808
Gm7334,FALSE,FALSE,FALSE,neither,,9.34958879
Fam110c,FALSE,FALSE,FALSE,neither,,9.34256698
Cpm,FALSE,FALSE,FALSE,neither,,9.3405374
Tmem205,FALSE,FALSE,FALSE,neither,,9.30256716
Clu,FALSE,FALSE,FALSE,neither,,9.26295347
Camk2n1,FALSE,FALSE,FALSE,neither,,9.25578671
Ano1,FALSE,FALSE,TRUE,neither,thermosensory,9.2357918
Bcl6b,FALSE,FALSE,FALSE,neither,,9.14137414
Avpr1a,FALSE,FALSE,FALSE,neither,,9.12426557
Atp2b4,FALSE,FALSE,FALSE,neither,,9.10558761
