pathway_id,pathway_name,database,nes_WT_heat,padj_WT_heat,nes_KO_heat,padj_KO_heat,nes_interaction,padj_interaction,sig_interaction,pattern,nes_temp_main,nes_geno_main
GOBP_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION,Regulation of Osteoclast Differentiation,GO_BP,1.63372244,0.0555139642,1.51043615,0.123202945,0.868377637,0.950156705,False,shared_heat,1.5825233,1.44666541
GOBP_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Regulation of Oxidative Stress Induced Intrinsic Apoptotic Signaling Pathway,GO_BP,-0.851108398,0.726599354,-0.990188561,0.564935053,1.01344763,0.852313896,False,shared_heat,-0.958495507,-0.804681904
GOBP_REGULATION_OF_P38MAPK_CASCADE,Regulation of P38mapk Cascade,GO_BP,1.05321089,0.495328516,1.0057548,0.545805833,0.851421249,0.950156705,False,shared_heat,1.00277376,1.19492529
GOBP_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,Regulation of Pattern Recognition Receptor Signaling Pathway,GO_BP,0.982839743,0.573898613,-1.12472059,0.403332486,1.94228412,0.00843044269,True,sign_reversal,-1.00708108,2.108406
GOBP_REGULATION_OF_PEPTIDE_TRANSPORT,Regulation of Peptide Transport,GO_BP,1.44835977,0.085867467,1.24527883,0.259858893,1.37616557,0.40142491,False,shared_heat,1.30881986,0.923677328
GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION,Regulation of Peptidyl Serine Phosphorylation,GO_BP,-0.925890497,0.63593011,-1.20556602,0.375364282,1.47445144,0.421547374,False,shared_heat,-1.06573248,0.964333249
GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION,Regulation of Peptidyl Tyrosine Phosphorylation,GO_BP,1.48589255,0.0886140033,1.26855869,0.26372001,1.28287524,0.534895861,False,shared_heat,1.3132387,0.733848195
GOBP_REGULATION_OF_PH,Regulation of Ph,GO_BP,-1.02097259,0.525248985,-1.22360557,0.341539519,1.34377308,0.508905807,False,shared_heat,-1.15126926,-1.19226759
GOBP_REGULATION_OF_PHAGOCYTOSIS,Regulation of Phagocytosis,GO_BP,1.42147903,0.120495802,1.23807388,0.291192273,1.37716453,0.432480504,False,shared_heat,1.28486387,-1.08693971
GOBP_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS,Regulation of Phospholipid Metabolic Process,GO_BP,-1.13902753,0.41799563,-1.0611682,0.502518304,-0.883605319,0.942650594,False,shared_heat,-1.05134048,0.939810683
GOBP_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS,Regulation of Phosphorus Metabolic Process,GO_BP,1.39050262,0.0301177198,1.25151632,0.123202945,1.42101696,0.123914691,False,shared_heat,1.29647689,-0.975279575
GOBP_REGULATION_OF_PHOSPHORYLATION,Regulation of Phosphorylation,GO_BP,1.49551102,0.0147782322,1.30537382,0.102754907,1.50216431,0.089488856,False,shared_heat,1.37833088,0.891756914
GOBP_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS,Regulation of Plasma Lipoprotein Particle Levels,GO_BP,-1.1272939,0.404906743,-1.20127946,0.355889543,1.14364621,0.738566035,False,shared_heat,-1.10383409,-0.875482384
GOBP_REGULATION_OF_PLATELET_ACTIVATION,Regulation of Platelet Activation,GO_BP,1.22834649,0.316429633,1.27903025,0.291933944,-1.17118102,0.705785642,False,shared_heat,1.26457914,0.980675353
GOBP_REGULATION_OF_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS,Regulation of Polysaccharide Biosynthetic Process,GO_BP,1.39547895,0.201340796,1.17231211,0.407036828,0.922122733,0.910724104,False,shared_heat,1.36966286,1.71657994
GOBP_REGULATION_OF_POLYSACCHARIDE_METABOLIC_PROCESS,Regulation of Polysaccharide Metabolic Process,GO_BP,1.22786896,0.334545337,0.956039026,0.602776572,1.17349887,0.729694783,False,shared_heat,1.1616164,1.54674841
GOBP_REGULATION_OF_POSTSYNAPSE_ORGANIZATION,Regulation of Postsynapse Organization,GO_BP,-0.993211153,0.556399638,-1.1241185,0.413634112,1.46584625,0.341942104,False,shared_heat,-1.08277791,0.999658989
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_NEUROTRANSMITTER_RECEPTOR_LEVELS,Regulation of Postsynaptic Membrane Neurotransmitter Receptor Levels,GO_BP,1.32975992,0.221176223,1.39070112,0.199074999,-0.86236104,0.950156705,False,shared_heat,1.35418342,0.982060527
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL,Regulation of Postsynaptic Membrane Potential,GO_BP,1.34768531,0.203199453,1.26520873,0.295862026,1.36172907,0.492538498,False,shared_heat,1.31267991,1.01130754
GOBP_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,Regulation of Post Translational Protein Modification,GO_BP,-1.23234582,0.224983702,-1.28256537,0.202597308,1.13441674,0.69963156,False,shared_heat,-1.24188507,1.14583039
GOBP_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORT,Regulation of Potassium Ion Transmembrane Transport,GO_BP,-1.18301904,0.360386679,-1.16690914,0.397848231,-0.911444422,0.921224249,False,shared_heat,-1.18166814,1.19989097
GOBP_REGULATION_OF_POTASSIUM_ION_TRANSPORT,Regulation of Potassium Ion Transport,GO_BP,-1.24376686,0.292971884,-1.21931145,0.341539519,-0.811131193,0.980529725,False,shared_heat,-1.23361635,1.15981488
GOBP_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE,Regulation of Production of Molecular Mediator of Immune Response,GO_BP,-1.05035881,0.465870695,-1.08892364,0.430502389,0.773531347,0.999948662,False,shared_heat,-1.09685563,1.06777565
GOBP_REGULATION_OF_PROGRAMMED_NECROTIC_CELL_DEATH,Regulation of Programmed Necrotic Cell Death,GO_BP,-1.05205341,0.493130037,-1.24926658,0.329202318,1.08037788,0.805596787,False,shared_heat,-1.18110243,-0.8868588
GOBP_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Regulation of Proteasomal Ubiquitin Dependent Protein Catabolic Process,GO_BP,1.02447598,0.512760056,-0.781637087,0.864568919,1.37655115,0.421547374,False,shared_heat,0.916820514,1.02563424
GOBP_REGULATION_OF_PROTEIN_BINDING,Regulation of Protein Binding,GO_BP,-1.2500848,0.312127231,-1.21489224,0.366348557,-0.831780598,0.957939272,False,shared_heat,-1.27373211,-1.29087394
GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,Regulation of Protein Catabolic Process,GO_BP,1.40060082,0.0496899808,1.26730364,0.155197989,1.27444563,0.419732629,False,shared_heat,1.29687147,-0.96614857
