"target","in_dorothea","in_collectri","t_wt","membership","abs_t","high_t"
"Men1",FALSE,TRUE,5.78552029,"CollecTRI-only",5.78552029,TRUE
"Cxcr4",TRUE,TRUE,-5.75780146,"shared (both)",5.75780146,TRUE
"Abl1",FALSE,TRUE,-5.66066284,"CollecTRI-only",5.66066284,TRUE
"Apln",TRUE,TRUE,-5.59297404,"shared (both)",5.59297404,TRUE
"Nos2",TRUE,TRUE,5.51788649,"shared (both)",5.51788649,TRUE
"Sp1",FALSE,TRUE,5.47154245,"CollecTRI-only",5.47154245,TRUE
"Prmt1",FALSE,TRUE,-5.42759804,"CollecTRI-only",5.42759804,TRUE
"Abcg3",TRUE,FALSE,-5.41964832,"DoRothEA-only",5.41964832,TRUE
"Dnase1",FALSE,TRUE,-5.35269764,"CollecTRI-only",5.35269764,TRUE
"Bsg",FALSE,TRUE,5.34587272,"CollecTRI-only",5.34587272,TRUE
"Msh2",FALSE,TRUE,-5.32941152,"CollecTRI-only",5.32941152,TRUE
"Trp53",TRUE,TRUE,-5.30949686,"shared (both)",5.30949686,TRUE
"Reck",FALSE,TRUE,-5.29012661,"CollecTRI-only",5.29012661,TRUE
"Adm",TRUE,TRUE,5.2771674,"shared (both)",5.2771674,TRUE
"Fam162a",TRUE,TRUE,5.25882655,"shared (both)",5.25882655,TRUE
"Fasn",FALSE,TRUE,-5.24567748,"CollecTRI-only",5.24567748,TRUE
"E2f3",TRUE,TRUE,5.23054714,"shared (both)",5.23054714,TRUE
"Kdm5a",FALSE,TRUE,-5.12400834,"CollecTRI-only",5.12400834,TRUE
"Hdac2",FALSE,TRUE,5.08322697,"CollecTRI-only",5.08322697,TRUE
"Mad1l1",FALSE,TRUE,-5.06650414,"CollecTRI-only",5.06650414,TRUE
"Pgf",FALSE,TRUE,5.0198835,"CollecTRI-only",5.0198835,TRUE
"Tm9sf4",FALSE,TRUE,4.9590935,"CollecTRI-only",4.9590935,TRUE
"Ppia",TRUE,FALSE,-4.95177323,"DoRothEA-only",4.95177323,TRUE
"Cox4i1",TRUE,TRUE,-4.9398693,"shared (both)",4.9398693,TRUE
"Qsox1",FALSE,TRUE,-4.93820109,"CollecTRI-only",4.93820109,TRUE
"Mdm2",FALSE,TRUE,4.93090001,"CollecTRI-only",4.93090001,TRUE
"Fech",TRUE,TRUE,-4.92295237,"shared (both)",4.92295237,TRUE
"Aurka",TRUE,TRUE,4.89570384,"shared (both)",4.89570384,TRUE
"App",FALSE,TRUE,-4.86068325,"CollecTRI-only",4.86068325,TRUE
"Eln",FALSE,TRUE,4.77706556,"CollecTRI-only",4.77706556,TRUE
"Pfkp",TRUE,FALSE,4.6999143,"DoRothEA-only",4.6999143,TRUE
"Il4",FALSE,TRUE,4.68993805,"CollecTRI-only",4.68993805,TRUE
"Pten",FALSE,TRUE,-4.63382782,"CollecTRI-only",4.63382782,TRUE
"Ikbkb",FALSE,TRUE,-4.62578888,"CollecTRI-only",4.62578888,TRUE
"Cdh1",FALSE,TRUE,-4.58162421,"CollecTRI-only",4.58162421,TRUE
"Naa10",FALSE,TRUE,-4.57271892,"CollecTRI-only",4.57271892,TRUE
"Errfi1",TRUE,TRUE,4.55563173,"shared (both)",4.55563173,TRUE
"Vmp1",FALSE,TRUE,4.54378983,"CollecTRI-only",4.54378983,TRUE
"Aldoa",TRUE,TRUE,4.53935844,"shared (both)",4.53935844,TRUE
"Ccl5",FALSE,TRUE,4.53508249,"CollecTRI-only",4.53508249,TRUE
"Il17a",FALSE,TRUE,4.49447237,"CollecTRI-only",4.49447237,TRUE
"Gpr35",FALSE,TRUE,4.49329238,"CollecTRI-only",4.49329238,TRUE
"Mmp15",FALSE,TRUE,-4.47409363,"CollecTRI-only",4.47409363,TRUE
"Plau",FALSE,TRUE,4.41987376,"CollecTRI-only",4.41987376,TRUE
"Ndrg1",FALSE,TRUE,4.41521755,"CollecTRI-only",4.41521755,TRUE
"Kdm2a",FALSE,TRUE,-4.36238633,"CollecTRI-only",4.36238633,TRUE
"Lgals1",TRUE,TRUE,4.35720343,"shared (both)",4.35720343,TRUE
"Tgfb1",FALSE,TRUE,4.34110161,"CollecTRI-only",4.34110161,TRUE
"Ankrd37",TRUE,TRUE,4.33518651,"shared (both)",4.33518651,TRUE
"Itgam",FALSE,TRUE,-4.31401445,"CollecTRI-only",4.31401445,TRUE
"Ebp",FALSE,TRUE,-4.30597753,"CollecTRI-only",4.30597753,TRUE
"Hspa4",FALSE,TRUE,4.30130657,"CollecTRI-only",4.30130657,TRUE
"Gpx3",TRUE,FALSE,4.29196314,"DoRothEA-only",4.29196314,TRUE
"Tnf",FALSE,TRUE,4.28954106,"CollecTRI-only",4.28954106,TRUE
"Stc2",TRUE,TRUE,4.19277426,"shared (both)",4.19277426,TRUE
"Pdk1",FALSE,TRUE,-4.15782848,"CollecTRI-only",4.15782848,TRUE
