"tf","target","aligned_contrib","is_stress_contaminant","member_class"
"Hif1a","Trf",-1.15238568,FALSE,"regulon member"
"Hif1a","Kitl",-1.15838799,FALSE,"regulon member"
"Hif1a","Slc29a2",-1.2617336,FALSE,"regulon member"
"Hif1a","Jun",-1.26834548,FALSE,"regulon member"
"Hif1a","Nampt",-1.3020289,FALSE,"regulon member"
"Hif1a","Nt5e",-1.33918838,FALSE,"regulon member"
"Hif1a","Cited2",-1.366373,FALSE,"regulon member"
"Hif1a","Mapk14",-1.36667792,FALSE,"regulon member"
"Hif1a","Edn1",-1.3700518,FALSE,"regulon member"
"Hif1a","Hgf",-1.37042147,FALSE,"regulon member"
"Hif1a","Ucp2",-1.41060074,FALSE,"regulon member"
"Hif1a","Mapk1",-1.49940928,FALSE,"regulon member"
"Hif1a","Pik3r1",-1.54256204,FALSE,"regulon member"
"Hif1a","Crebbp",-1.62410063,FALSE,"regulon member"
"Hif1a","Tgfb3",-1.64108362,FALSE,"regulon member"
"Hif1a","Hsp90ab1",-1.6864626,FALSE,"regulon member"
"Hif1a","Pfkfb4",-1.69806381,FALSE,"regulon member"
"Hif1a","Pdk3",-1.7293441,FALSE,"regulon member"
"Hif1a","Prnp",-1.85244321,FALSE,"regulon member"
"Hif1a","Mmp17",-1.87987092,FALSE,"regulon member"
"Hif1a","Arnt",-1.91100054,FALSE,"regulon member"
"Hif1a","Alas2",-1.98358843,FALSE,"regulon member"
"Hif1a","Hgfac",-2.076487,FALSE,"regulon member"
"Hif1a","Src",-2.15375009,FALSE,"regulon member"
"Hif1a","Senp1",-2.18970934,FALSE,"regulon member"
"Hif1a","Gapdh",-2.27605574,FALSE,"regulon member"
"Hif1a","Tnni3",-2.28691913,FALSE,"regulon member"
"Hif1a","Cp",-2.31907928,FALSE,"regulon member"
"Hif1a","Ptger1",-2.31957064,FALSE,"regulon member"
"Hif1a","Ncor2",-2.38232108,FALSE,"regulon member"
"Hif1a","Kdm1a",-2.4188159,FALSE,"regulon member"
"Hif1a","Apc",-2.46865244,FALSE,"regulon member"
"Hif1a","Polm",-2.47564902,FALSE,"regulon member"
"Hif1a","Vim",-2.57465499,FALSE,"regulon member"
"Hif1a","Birc5",-2.6204697,FALSE,"regulon member"
"Hif1a","Capg",-2.64953942,FALSE,"regulon member"
"Hif1a","Pik3c3",-2.74299129,FALSE,"regulon member"
"Hif1a","Plat",-2.74518806,FALSE,"regulon member"
"Hif1a","Slc9a1",-2.80518925,FALSE,"regulon member"
"Hif1a","Slc11a2",-2.88125348,FALSE,"regulon member"
"Hif1a","Cad",-2.89392205,FALSE,"regulon member"
