"source","statistic","rank","tf_axis"
"Rela","ULM
rho=1.00",3,"IFN"
"Rela","wsum
rho=0.97",4,"IFN"
"Sin3a","consensus
rho=0.97",76,"other"
"Sin3a","corr_wsum
rho=0.97",163,"other"
"Sin3a","MLM  [multivariate]
rho=0.62",7,"other"
"Sin3a","norm_wsum
rho=1.00",130,"other"
"Sin3a","ULM
rho=1.00",120,"other"
"Sin3a","wsum
rho=0.97",204,"other"
"Sirt1","consensus
rho=0.97",58,"other"
"Sirt1","corr_wsum
rho=0.97",126,"other"
"Sirt1","MLM  [multivariate]
rho=0.62",3,"other"
"Sirt1","norm_wsum
rho=1.00",141,"other"
"Sirt1","ULM
rho=1.00",161,"other"
"Sirt1","wsum
rho=0.97",114,"other"
"Sp1","consensus
rho=0.97",1,"other"
"Sp1","corr_wsum
rho=0.97",1,"other"
"Sp1","MLM  [multivariate]
rho=0.62",37,"other"
"Sp1","norm_wsum
rho=1.00",6,"other"
"Sp1","ULM
rho=1.00",7,"other"
"Sp1","wsum
rho=0.97",1,"other"
"Stat1","consensus
rho=0.97",104,"IFN"
"Stat1","corr_wsum
rho=0.97",69,"IFN"
"Stat1","MLM  [multivariate]
rho=0.62",274,"IFN"
"Stat1","norm_wsum
rho=1.00",117,"IFN"
"Stat1","ULM
rho=1.00",151,"IFN"
"Stat1","wsum
rho=0.97",43,"IFN"
"Stat2","consensus
rho=0.97",580,"IFN"
"Stat2","corr_wsum
rho=0.97",534,"IFN"
"Stat2","MLM  [multivariate]
rho=0.62",593,"IFN"
"Stat2","norm_wsum
rho=1.00",540,"IFN"
"Stat2","ULM
rho=1.00",550,"IFN"
"Stat2","wsum
rho=0.97",589,"IFN"
"Stat3","consensus
rho=0.97",10,"other"
"Stat3","corr_wsum
rho=0.97",11,"other"
"Stat3","MLM  [multivariate]
rho=0.62",148,"other"
"Stat3","norm_wsum
rho=1.00",14,"other"
"Stat3","ULM
rho=1.00",19,"other"
"Stat3","wsum
rho=0.97",11,"other"
"Stat5a","consensus
rho=0.97",12,"other"
"Stat5a","corr_wsum
rho=0.97",13,"other"
"Stat5a","MLM  [multivariate]
rho=0.62",255,"other"
"Stat5a","norm_wsum
rho=1.00",9,"other"
"Stat5a","ULM
rho=1.00",5,"other"
"Stat5a","wsum
rho=0.97",13,"other"
"Tbx5","consensus
rho=0.97",41,"other"
"Tbx5","corr_wsum
rho=0.97",98,"other"
"Tbx5","MLM  [multivariate]
rho=0.62",6,"other"
"Tbx5","norm_wsum
rho=1.00",38,"other"
"Tbx5","ULM
rho=1.00",34,"other"
"Tbx5","wsum
rho=0.97",115,"other"
"Thap11","consensus
rho=0.97",37,"other"
"Thap11","corr_wsum
rho=0.97",127,"other"
"Thap11","MLM  [multivariate]
rho=0.62",1,"other"
"Thap11","norm_wsum
rho=1.00",73,"other"
"Thap11","ULM
rho=1.00",36,"other"
"Thap11","wsum
rho=0.97",178,"other"
"Tox3","consensus
rho=0.97",70,"other"
"Tox3","corr_wsum
rho=0.97",197,"other"
"Tox3","MLM  [multivariate]
rho=0.62",2,"other"
"Tox3","norm_wsum
rho=1.00",177,"other"
"Tox3","ULM
rho=1.00",169,"other"
"Tox3","wsum
rho=0.97",271,"other"
"Trp53","consensus
rho=0.97",9,"other"
"Trp53","corr_wsum
rho=0.97",9,"other"
"Trp53","MLM  [multivariate]
rho=0.62",18,"other"
"Trp53","norm_wsum
rho=1.00",94,"other"
"Trp53","ULM
rho=1.00",55,"other"
"Trp53","wsum
rho=0.97",9,"other"
