"target","n_other_TFs","t_wt","co_regulated"
"Ebp",22,-4.30597753,TRUE
"Mt1",22,1.14722965,TRUE
"Cybb",22,-6.00850931,TRUE
"Carm1",22,1.39080762,TRUE
"Pik3c3",21,-2.74299129,TRUE
"Foxm1",21,0.613846398,TRUE
"Plat",20,-2.74518806,TRUE
"Angpt2",20,0.571406289,TRUE
"Ccn1",20,6.54985351,TRUE
"Mat2a",20,8.79326324,TRUE
"Kdm1a",20,2.4188159,TRUE
"Hsp90aa1",19,6.3038171,TRUE
"Txn1",19,4.05470534,TRUE
"Cdc25a",19,3.38632227,TRUE
"Grin1",19,-0.379272511,TRUE
"Tlr4",19,2.70083311,TRUE
"Ndrg1",19,4.41521755,TRUE
"Slc2a1",18,6.53352096,TRUE
"Bace1",18,-3.78601992,TRUE
"Aurka",18,4.89570384,TRUE
"Aqp1",18,2.0886532,TRUE
"Hbegf",18,9.03125921,TRUE
"Socs1",18,0.0607606977,TRUE
"Bhlhe40",18,7.55695153,TRUE
"Adm",17,5.2771674,TRUE
"Cited2",17,-1.366373,TRUE
"Ccl4",17,11.0280306,TRUE
"Pcx",17,12.5002699,TRUE
"Tnfsf13b",17,-1.02892486,TRUE
"Hdc",17,-1.13383094,TRUE
"Nos1",17,0.545271461,TRUE
"Glb1",16,17.3885345,TRUE
"Tgfb3",16,-1.64108362,TRUE
"Hey1",16,1.99920773,TRUE
"Lpin1",16,-11.2064445,TRUE
"Cd24a",16,3.78994951,TRUE
"Tlr2",16,3.56005324,TRUE
"Mlh1",16,-6.97795647,TRUE
"Lct",16,-3.82077834,TRUE
"Car9",15,-1.06121839,TRUE
"Xiap",15,-2.99405048,TRUE
"Sphk1",15,12.1468456,TRUE
"Sdc1",15,22.8929997,TRUE
"Abcc8",15,-12.8288852,TRUE
"Il11",15,3.78721641,TRUE
"Kdm6b",15,8.73982428,TRUE
"Ctsd",15,-3.06312415,TRUE
"Apex1",14,-6.11666362,TRUE
"Npm1",14,-3.66731576,TRUE
"Ucp2",14,-1.41060074,TRUE
"Kitl",14,-1.15838799,TRUE
"Slc2a3",14,2.64641663,TRUE
"Slc11a1",14,1.22657115,TRUE
"Tfrc",13,7.85207599,TRUE
"Bcr",13,13.575037,TRUE
"Dld",13,0.803390769,TRUE
"Ccr7",13,1.07843889,TRUE
"Lgals1",13,4.35720343,TRUE
"Alas2",13,-1.98358843,TRUE
"Eln",13,4.77706556,TRUE
"Gapdh",13,-2.27605574,TRUE
"Btg2",13,-8.45541237,TRUE
"Itgb3",13,-8.45825156,TRUE
"Mif",13,2.86604733,TRUE
"Timp2",13,-6.37389556,TRUE
"Bnip3",12,-1.42890799,TRUE
"Gk",12,1.48639405,TRUE
"Itgb2",12,7.76554069,TRUE
"Arnt",12,-1.91100054,TRUE
"Lgals3",12,16.8033147,TRUE
"Hk2",12,9.71988286,TRUE
"Ghr",12,1.2579719,TRUE
"Hsf1",12,10.7310453,TRUE
"Pecam1",12,-12.3299572,TRUE
"Nfe2l2",12,-7.53589203,TRUE
"Hsp90ab1",12,-1.6864626,TRUE
"E2f3",12,5.23054714,TRUE
"Vegfc",12,1.61748862,TRUE
"Epor",12,2.38617336,TRUE
"Smad4",12,0.479644106,TRUE
"Epas1",11,0.652666182,TRUE
"Nampt",11,-1.3020289,TRUE
"Kdm3a",11,3.92204777,TRUE
"S100a4",11,-0.0494922045,TRUE
"Ptges",11,1.94541139,TRUE
"Dll4",11,-0.273475297,TRUE
"Angpt1",11,-0.591379356,TRUE
"Itga5",11,18.4582531,TRUE
"Pkm",11,-0.229195093,TRUE
"Nt5e",10,-1.33918838,TRUE
"Prkg1",10,1.22959468,TRUE
"Sat1",10,-7.44100477,TRUE
"Ang",10,-0.546937981,TRUE
"Men1",10,5.78552029,TRUE
"Ikbkb",10,-4.62578888,TRUE
"Xpc",10,-6.11794462,TRUE
"Reck",10,-5.29012661,TRUE
"Vldlr",10,0.894819005,TRUE
"Sdc4",10,7.75176122,TRUE
"Aldoa",10,4.53935844,TRUE
"Cp",9,-2.31907928,TRUE
"Bhlhe41",9,-1.08652805,TRUE
"Rora",9,10.9548796,TRUE
"Furin",9,11.6903423,TRUE
"Pgf",9,5.0198835,TRUE
"Ncor2",9,-2.38232108,TRUE
"Fscn1",9,6.46572249,TRUE
"Ddit4",9,3.25348972,TRUE
"Tcirg1",8,-7.81673644,TRUE
"Atp7a",8,-2.96739598,TRUE
"Ldha",8,0.429648896,TRUE
"Eif4e",8,8.28793214,TRUE
"Dnase1",8,-5.35269764,TRUE
"Gsn",8,7.74840421,TRUE
"Lrp1",8,6.84869392,TRUE
"Ngb",8,1.33644149,TRUE
"Bsg",8,5.34587272,TRUE
"Mapk9",8,-10.9569605,TRUE
"Prnp",8,-1.85244321,TRUE
"Rgcc",8,9.47465229,TRUE
"Pdk1",8,-4.15782848,TRUE
"Cad",7,-2.89392205,TRUE
"Nbn",7,-1.16171444,TRUE
"Cxcr2",7,0.0946467147,TRUE
"Park7",7,-3.48561581,TRUE
"Slc22a5",7,-13.0061095,TRUE
"Mad1l1",7,-5.06650414,TRUE
"Prmt1",7,-5.42759804,TRUE
"Vegfb",7,1.89517802,TRUE
"Kdm5c",7,6.53026318,TRUE
"Slc9a1",7,-2.80518925,TRUE
"Angptl4",7,-6.76846142,TRUE
"Psmc6",6,2.05918803,TRUE
"Pfkfb3",6,3.60954975,TRUE
"Hsp90b1",6,7.23463625,TRUE
"Pgk1",6,2.59241548,TRUE
"Egln1",6,1.85136711,TRUE
"Pfkfb1",6,-1.02762098,TRUE
"Apln",6,-5.59297404,TRUE
"Chka",6,-0.125555303,TRUE
"Tnni3",6,-2.28691913,TRUE
"Stc1",6,-0.554744436,TRUE
"Hipk2",6,1.39536033,TRUE
"Rps6kb1",6,2.99457735,TRUE
"Rac1",6,-1.14533642,TRUE
"Mst1r",6,6.79789154,TRUE
"Gper1",6,1.49191646,TRUE
"Nrp2",6,6.41956917,TRUE
"Slc29a1",6,10.1803238,TRUE
"Cd274",6,8.24783234,TRUE
"Kdm2b",6,10.7251076,TRUE
"Ndrg2",6,4.05867112,TRUE
"Msh6",6,8.2798084,TRUE
"Msh2",6,-5.32941152,TRUE
"Hdac2",6,5.08322697,TRUE
"Itgam",5,-4.31401445,TRUE
"Sdhb",5,-2.18509695,TRUE
"Stc2",5,4.19277426,TRUE
"Mrc1",5,0.993199272,TRUE
"Pak1",5,12.3992924,TRUE
"Prdx3",5,0.356316078,TRUE
"Arnt2",5,3.38808737,TRUE
"Ass1",5,-6.15310839,TRUE
"Bid",5,-3.80895303,TRUE
"Pik3ca",5,3.70872216,TRUE
"Cox4i1",5,-4.9398693,TRUE
"Spry2",5,-2.60186373,TRUE
"Egln3",4,6.807492,TRUE
"Fech",4,-4.92295237,TRUE
"Dio3",4,0.797957728,TRUE
"Rpsa",4,1.54149802,TRUE
"Arc",4,-0.806964071,TRUE
"Eno1",4,0.0215029645,TRUE
"Vmp1",4,4.54378983,TRUE
"Kdm4b",4,-6.22222729,TRUE
"Kdm5b",4,2.48542568,TRUE
"Mxi1",4,3.20675021,TRUE
"Eno2",4,11.0047832,TRUE
"Mmut",3,-7.08371318,TRUE
"Cxcr1",3,0.881180368,TRUE
"Ercc2",3,1.17146472,TRUE
"Fbln5",3,-0.721001169,TRUE
"Kcnmb1",3,1.31901743,TRUE
"Vasp",3,1.70974464,TRUE
"Xpa",3,-3.05384239,TRUE
"Cx3cr1",3,-8.80400383,TRUE
"Tigar",3,8.84588213,TRUE
"Mdk",3,1.57300576,TRUE
"Ankrd37",3,4.33518651,TRUE
"Kdm2a",3,-4.36238633,TRUE
"Kdm4c",3,0.997243157,TRUE
"Senp1",3,2.18970934,TRUE
"Errfi1",3,4.55563173,TRUE
"Vhl",2,1.09279445,TRUE
"Txn2",2,-0.0973823373,TRUE
"Lifr",2,1.09980709,TRUE
"Nedd9",2,6.19323314,TRUE
"Slc11a2",2,-2.88125348,TRUE
"Nedd8",2,-0.113034018,TRUE
"Ddx3x",2,1.59394148,TRUE
"Mmp15",2,-4.47409363,TRUE
"Cd164",2,1.21525236,TRUE
"Map3k11",2,8.75497357,TRUE
"Igf2bp1",2,-0.471418106,TRUE
"Eif4ebp1",2,8.17276436,TRUE
"Qsox1",2,-4.93820109,TRUE
"Rbms1",2,-0.902554082,TRUE
"Zfp667",2,-3.21501172,TRUE
"Zfp217",2,-3.44304392,TRUE
"Kdm5a",2,-5.12400834,TRUE
"Aqp9",2,0.493675135,TRUE
"Kcnj8",2,0.276966211,TRUE
"Bnip3l",2,-1.81453926,TRUE
"Prdx2",2,0.734412211,TRUE
"Pfkfb2",1,-3.98048112,TRUE
"Hif3a",1,0.81480123,TRUE
"Hgfac",1,-2.076487,TRUE
"Ptger1",1,-2.31957064,TRUE
"Hif1an",1,1.84811381,TRUE
"Rapgef3",1,-1.06852458,TRUE
"Wdr83",1,-3.04668367,TRUE
"Ppp1r3c",1,1.44430572,TRUE
"Aph1a",1,-3.36790333,TRUE
"Kdm7a",1,-3.80091917,TRUE
"Aqp4",1,2.11098599,TRUE
"Abcc9",1,0.275119171,TRUE
"Mmp17",1,-1.87987092,TRUE
"Pdk3",1,-1.7293441,TRUE
"S100a11",1,7.10063263,TRUE
"Cd151",1,-3.09302543,TRUE
"Sema4d",1,-3.53913229,TRUE
"Adora2b",1,13.2383987,TRUE
"Hmox2",0,-1.06794044,FALSE
"Naa10",0,-4.57271892,FALSE
"Pfkfb4",0,-1.69806381,FALSE
"Pepd",0,-0.636263417,FALSE
"Matk",0,-3.61972902,FALSE
"Slc29a2",0,-1.2617336,FALSE
"Capg",0,-2.64953942,FALSE
"Ppfia4",0,-0.0056201837,FALSE
"Atpif1",0,0.64165892,FALSE
"Sh3bp2",0,-4.14128231,FALSE
"Ctf1",0,-0.1735934,FALSE
"Atp13a2",0,-6.68900006,FALSE
"Wsb1",0,0.389519761,FALSE
"Gpr35",0,4.49329238,FALSE
"Fam162a",0,5.25882655,FALSE
"Muc3a",0,-0.743710155,FALSE
"Setd2",0,-0.537595587,FALSE
"Tlr6",0,-3.7572361,FALSE
"Pfkl",0,0.250312826,FALSE
"Tm9sf4",0,4.9590935,FALSE
"Hs2st1",0,-0.956234097,FALSE
"Polm",0,-2.47564902,FALSE
"Gys1",0,1.89454558,FALSE
"Atrip",0,2.37998024,FALSE
"Gbe1",0,-0.278237401,FALSE
"Pgam1",0,2.80832446,FALSE
"Ppp1r10",0,6.96199273,FALSE
"Ppp5c",0,5.96265591,FALSE
