"gene_symbol","ensembl","logFC_WT_heat","adjP_WT_heat","logFC_KO_heat","adjP_KO_heat","logFC_Interaction","adjP_Interaction","cgas_dependent","in_stringent_gate","reverses_without_cgas","arm_class","interaction_rank"
"0610030E20Rik","ENSMUSG00000058706.5",-0.0259636645,0.629554152,-0.0513547695,0.301527056,0.0253911049,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"0610038B21Rik","ENSMUSG00000097882.2",-0.201359449,0.219464482,-0.339016131,0.0327389371,0.137656682,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"0610039K10Rik","ENSMUSG00000058812.2",-0.0683425665,0.668253876,0.0186907578,0.917125962,-0.0870333243,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"0610040B10Rik","ENSMUSG00000089889.2",-0.168261169,0.245579802,-0.145124169,0.320723686,-0.0231369997,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"0610040F04Rik","ENSMUSG00000087341.4",-0.0568331198,0.700318794,0.148805491,0.262313201,-0.20563861,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110002E22Rik","ENSMUSG00000090066.2",0.114003036,0.39574553,0.0287515571,0.855316541,0.0852514789,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110002J07Rik","ENSMUSG00000097134.2",1.69527741,3.97492771e-12,1.8333775,7.01703092e-13,-0.138100087,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110002L01Rik","ENSMUSG00000071456.6",0.0850613631,0.514910244,0.159982943,0.188068372,-0.0749215798,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110003F10Rik","ENSMUSG00000106291.1",-0.253276761,0.121432728,-0.24341718,0.135195811,-0.009859581,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110004F10Rik","ENSMUSG00000030663.12",-0.145846867,0.000112559566,-0.0467118864,0.195653156,-0.0991349805,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110006O24Rik","ENSMUSG00000107121.1",-0.263541924,0.144197851,-0.261714818,0.144761125,-0.00182710636,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110008P14Rik","ENSMUSG00000039195.4",-0.0258735095,0.808796464,-0.0929581477,0.318606049,0.0670846382,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110012L19Rik","ENSMUSG00000045237.5",-0.18450414,0.0240232844,-0.0319974839,0.737313887,-0.152506656,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110013H19Rik","ENSMUSG00000116164.1",-0.320923693,0.0212864495,-0.0886717702,0.562366355,-0.232251922,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110019D14Rik","ENSMUSG00000097616.7",0.115001125,0.565492783,0.160550272,0.403343961,-0.0455491468,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110020A21Rik","ENSMUSG00000097047.2",-0.293419837,0.0277394161,-0.0812282817,0.581308205,-0.212191555,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110025M09Rik","ENSMUSG00000103520.1",-0.106169451,0.513876704,-0.020760352,0.91335759,-0.0854090991,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110032A03Rik","ENSMUSG00000037971.10",-0.430587465,8.38247952e-05,-0.366296374,0.000542301884,-0.0642910918,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110032F04Rik","ENSMUSG00000046999.2",-0.185057893,0.000358699187,-0.201203671,0.000127429052,0.0161457776,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110035H17Rik","ENSMUSG00000099098.4",-0.00926567091,0.951086907,-0.0449895535,0.735556981,0.0357238826,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110038B12Rik","ENSMUSG00000092203.7",-0.261149005,0.000129103406,-0.257391013,0.000146689013,-0.003757992,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110038F14Rik","ENSMUSG00000063236.6",-0.142732223,0.0128350254,-0.0929684216,0.105095094,-0.0497638019,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110046J04Rik","ENSMUSG00000085457.3",0.359732847,0.00674438084,0.586792394,3.78515827e-05,-0.227059547,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110051M20Rik","ENSMUSG00000040591.18",-0.00981581645,0.934050532,-0.0814821267,0.407953042,0.0716663102,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110059E24Rik","ENSMUSG00000035171.9",-0.0661338308,0.232644197,0.0210377914,0.737184223,-0.0871716223,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110059G10Rik","ENSMUSG00000032551.7",-0.125824153,0.0480285338,-0.0443249043,0.521621183,-0.0814992487,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1110065P20Rik","ENSMUSG00000078570.10",-0.0610244583,0.548969428,0.0602671447,0.552413262,-0.121291603,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1190001M18Rik","ENSMUSG00000111857.1",-0.0399751006,0.806028448,-0.286954949,0.0348234626,0.246979848,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1190007I07Rik","ENSMUSG00000063320.11",-0.0114431002,0.902107083,0.0225485594,0.802845929,-0.0339916597,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1300002E11Rik","ENSMUSG00000097290.9",-0.422280434,9.10572489e-06,-0.435002336,5.62251448e-06,0.0127219015,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1300014J16Rik","ENSMUSG00000112545.1",-0.346340595,0.0344926349,-0.188991589,0.263001886,-0.157349006,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1300017J02Rik","ENSMUSG00000033688.10",0.138250171,0.274799977,0.00447343103,0.980483614,0.13377674,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1500002C15Rik","ENSMUSG00000096221.3",0.130581178,0.351689408,0.187246472,0.163864316,-0.0566652938,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1500004A13Rik","ENSMUSG00000098912.7",-0.0635876921,0.343512175,0.00115475175,0.991124425,-0.0647424439,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1500009L16Rik","ENSMUSG00000087651.3",0.66750643,0.000612414388,0.48595218,0.00979067242,0.181554249,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1500011B03Rik","ENSMUSG00000072694.8",-0.293140444,7.02349912e-05,-0.206664609,0.00297791737,-0.0864758358,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1500015A07Rik","ENSMUSG00000098702.1",-0.218187774,0.0592220344,-0.306146066,0.00818493371,0.0879582919,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1500026H17Rik","ENSMUSG00000097383.1",0.293310877,0.00904306216,0.189864017,0.0896776244,0.10344686,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1520401A03Rik","ENSMUSG00000043747.12",0.104891893,0.45184983,-0.0196132697,0.906232222,0.124505162,1,FALSE,FALSE,TRUE,"no_detectable_difference",NA
"1600012H06Rik","ENSMUSG00000050088.9",-0.034305961,0.590015006,-0.0664099596,0.25983332,0.0321039987,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1600014C10Rik","ENSMUSG00000054676.15",-0.579837199,9.7336003e-12,-0.660307448,6.02190596e-13,0.0804702486,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1600020E01Rik","ENSMUSG00000097048.7",0.229749827,0.00505063561,0.141026059,0.0820481535,0.0887237679,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1600023N17Rik","ENSMUSG00000104986.1",0.178024654,0.147039679,-0.0659057844,0.627814133,0.243930438,1,FALSE,FALSE,TRUE,"no_detectable_difference",NA
"1700001D01Rik","ENSMUSG00000099419.1",0.313001296,0.0204341882,0.36173224,0.00755271626,-0.0487309443,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1700001G11Rik","ENSMUSG00000085984.7",0.346988859,0.00507351001,0.417602658,0.000914366289,-0.0706137992,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1700001G17Rik","ENSMUSG00000103746.1",0.058024726,0.76135357,0.0153818296,0.942876216,0.0426428964,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1700001K19Rik","ENSMUSG00000056508.6",-0.369798329,0.0276135531,-0.672833309,0.000147856051,0.30303498,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1700001K23Rik","ENSMUSG00000118314.1",0.280174373,0.172294493,0.222660674,0.285027863,0.0575136981,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1700001L05Rik","ENSMUSG00000075511.9",0.0120223419,0.925198704,-0.127674523,0.212580807,0.139696864,1,FALSE,FALSE,TRUE,"no_detectable_difference",NA
"1700001O22Rik","ENSMUSG00000044320.14",-0.0203755007,0.889080684,0.0993519632,0.432630356,-0.119727464,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1700001P01Rik","ENSMUSG00000018543.8",0.38432752,0.0147256441,0.0700429115,0.698641478,0.314284608,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1700003F12Rik","ENSMUSG00000038523.10",-0.0943688131,0.592079819,0.186876963,0.250064781,-0.281245776,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1700003M07Rik","ENSMUSG00000085389.7",0.0823369424,0.402165501,0.0335891447,0.757021216,0.0487477976,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1700007J10Rik","ENSMUSG00000086330.7",-0.050607711,0.818620988,-0.0200891097,0.93324582,-0.0305186013,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1700007K13Rik","ENSMUSG00000026831.16",0.174699651,0.222272962,0.126905515,0.387428195,0.0477941354,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1700007L15Rik","ENSMUSG00000097318.2",-0.0829545886,0.579108595,0.15054013,0.280528278,-0.233494719,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1700008B11Rik","ENSMUSG00000104872.1",0.00105023697,0.998347679,-0.0404781232,0.839019871,0.0415283602,1,FALSE,FALSE,TRUE,"no_detectable_difference",NA
"1700008J07Rik","ENSMUSG00000101225.1",-0.0122079453,0.940275489,-0.171733594,0.181486794,0.159525649,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1700010I14Rik","ENSMUSG00000023873.13",-0.312136312,0.00395624028,-0.132610821,0.225401676,-0.179525491,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1700011B04Rik","ENSMUSG00000102099.2",-0.0286030367,0.815011527,-0.0131530831,0.920133711,-0.0154499536,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
