"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","arm","collection","n_query_in_background","hit_genes","n_hits","size_tested","k_null_matched_mean","p_matched","frac_matched_reaching_q","p_uniform"
"GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE","GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE","8/183","135/11067",0.0592592592592593,3.58372799028537,3.91643095087382,0.00178240524175103,0.0297706799555757,0.0239633163081517,"ADM/AREG/EPHA2/PAK1/SPINT1/SPRY1/TGM2/YAP1",8,"WT_heat_up","GO_BP",199,"ADM/AREG/EPHA2/PAK1/SPINT1/SPRY1/TGM2/YAP1",8,135,5.2555,0.148925537231384,0.0840840840840841,0.00149925037481259
"GOBP_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION","GOBP_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION","11/183","236/11067",0.0466101694915254,2.81876910252848,3.66206376890844,0.00187150017992094,0.0310621948101343,0.0250028954854714,"ALDH1A2/AREG/DAB2/EGFR/EGR3/F3/NR4A1/NR4A3/PDGFB/TGM1/YAP1",11,"WT_heat_up","GO_BP",199,"ALDH1A2/AREG/DAB2/EGFR/EGR3/F3/NR4A1/NR4A3/PDGFB/TGM1/YAP1",11,236,8.626,0.233383308345827,0.1505,0.00349825087456272
"GOBP_LIPID_LOCALIZATION","GOBP_LIPID_LOCALIZATION","13/183","311/11067",0.0418006430868167,2.52791102208634,3.54388379513923,0.00197184214277786,0.0325230713424423,0.0261787989745113,"ANXA2/C3/CLU/CRABP2/DAB2/ESYT3/FASLG/INHBA/PTGS2/SLC13A3/SPP1/STRA6/TNFSF11",13,"WT_heat_up","GO_BP",199,"ANXA2/C3/CLU/CRABP2/DAB2/ESYT3/FASLG/INHBA/PTGS2/SLC13A3/SPP1/STRA6/TNFSF11",13,311,8.0325,0.0544727636181909,0.0290145072536268,0.00499750124937531
"GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION","GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION","15/183","390/11067",0.0384615384615385,2.32597730138714,3.45676919501334,0.00205272095310639,0.0336467738835265,0.0270833009700471,"ADORA2B/ANXA3/CALCA/CD40LG/CDKN1A/CLU/HSPA1A/LTA/MST1R/PDGFB/PLAUR/RGS16/RIPK4/SPHK1/TGM2",15,"WT_heat_up","GO_BP",199,"ADORA2B/ANXA3/CALCA/CD40LG/CDKN1A/CLU/HSPA1A/LTA/MST1R/PDGFB/PLAUR/RGS16/RIPK4/SPHK1/TGM2",15,390,11.3665,0.159420289855072,0.0925,0.00149925037481259
"GOBP_POSITIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS","5/183","55/11067",0.0909090909090909,5.49776453055142,4.33582325047328,0.00208563167652035,0.0339751974959087,0.0273476590202604,"EGFR/EGR1/FOSL1/NOTCH3/PDGFB",5,"WT_heat_up","GO_BP",199,"EGFR/EGR1/FOSL1/NOTCH3/PDGFB",5,55,2.1795,0.0609695152423788,0.0286034772854739,0.000999500249875062
"GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN","GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN","12/183","276/11067",0.0434782608695652,2.62936564504633,3.55442095853736,0.00211176602468173,0.0341898806081907,0.0275204639186809,"CD200/CD80/CSF2/FASLG/FOSL2/GFI1/IL1A/IL24/LTA/NR4A1/PTGER2/SERPINE1",12,"WT_heat_up","GO_BP",199,"CD200/CD80/CSF2/FASLG/FOSL2/GFI1/IL1A/IL24/LTA/NR4A1/PTGER2/SERPINE1",12,276,9.6645,0.256371814092954,0.160580290145073,0.00199900049975012
"GOBP_EMBRYONIC_FORELIMB_MORPHOGENESIS","GOBP_EMBRYONIC_FORELIMB_MORPHOGENESIS","3/183","16/11067",0.1875,11.3391393442623,5.36624135239422,0.00212531241885066,0.034199387032603,0.0275281159258064,"ALDH1A2/CRABP2/WNT3",3,"WT_heat_up","GO_BP",199,"ALDH1A2/CRABP2/WNT3",3,16,0.3915,0.00549725137431284,0.00605143721633888,0.00299850074962519
"GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION","7/183","109/11067",0.0642201834862385,3.88374191607761,3.92311105491757,0.00217578888208209,0.0345898003603291,0.0278423713636122,"ADAM8/CCL3/CLU/IL17F/IL1A/IL23A/OAS3",7,"WT_heat_up","GO_BP",199,"ADAM8/CCL3/CLU/IL17F/IL1A/IL23A/OAS3",7,109,4.2035,0.120939530234883,0.0566228513650152,0.00199900049975012
"GOBP_SPROUTING_ANGIOGENESIS","GOBP_SPROUTING_ANGIOGENESIS","7/183","109/11067",0.0642201834862385,3.88374191607761,3.92311105491757,0.00217578888208209,0.0345898003603291,0.0278423713636122,"EGR3/EPHA2/EPN2/NR4A1/PLK2/PTGS2/TGM2",7,"WT_heat_up","GO_BP",199,"EGR3/EPHA2/EPN2/NR4A1/PLK2/PTGS2/TGM2",7,109,3.4255,0.0514742628685657,0.0267765190525232,0.00199900049975012
"GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION","GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION","8/183","140/11067",0.0571428571428571,3.45573770491803,3.79159669384191,0.002241110710307,0.0354149171526956,0.0285065327034322,"CD80/CD83/EOMES/FOSL2/GPR183/IL2/IL23A/SEMA4A",8,"WT_heat_up","GO_BP",199,"CD80/CD83/EOMES/FOSL2/GPR183/IL2/IL23A/SEMA4A",8,140,5.301,0.158920539730135,0.0838353413654618,0.00249875062468766
"GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE","GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE","4/183","34/11067",0.117647058823529,7.11475409836066,4.63018408087714,0.00227690009727442,0.0355782748886934,0.0286380242617352,"ADAM8/C3/PTGS2/TNFSF11",4,"WT_heat_up","GO_BP",199,"ADAM8/C3/PTGS2/TNFSF11",4,34,1.1975,0.0274862568715642,0.0111111111111111,0.00249875062468766
"GOBP_ENDOTHELIAL_CELL_PROLIFERATION","GOBP_ENDOTHELIAL_CELL_PROLIFERATION","7/183","110/11067",0.0636363636363636,3.84843517138599,3.89299156419827,0.00229189341836979,0.0355782748886934,0.0286380242617352,"ALDH1A2/CALCA/EGR3/EPHA2/F3/NR4A1/PDGFB",7,"WT_heat_up","GO_BP",199,"ALDH1A2/CALCA/EGR3/EPHA2/F3/NR4A1/PDGFB",7,110,3.9735,0.0969515242378811,0.0491637100861632,0.00249875062468766
"GOBP_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION","GOBP_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION","7/183","110/11067",0.0636363636363636,3.84843517138599,3.89299156419827,0.00229189341836979,0.0355782748886934,0.0286380242617352,"ADAM8/CCL20/CCL3/CCL4/CD200/SERPINE1/TNFSF14",7,"WT_heat_up","GO_BP",199,"ADAM8/CCL20/CCL3/CCL4/CD200/SERPINE1/TNFSF14",7,110,4.3265,0.134432783608196,0.0696266397578204,0.00199900049975012
"GOBP_T_CELL_PROLIFERATION","GOBP_T_CELL_PROLIFERATION","9/183","175/11067",0.0514285714285714,3.11016393442623,3.64844677807825,0.00249000962903448,0.038427692462117,0.0309316062258639,"CD40LG/CD70/CD80/IL1A/IL2/IL23A/SDC4/TNFSF14/TNFSF9",9,"WT_heat_up","GO_BP",199,"CD40LG/CD70/CD80/IL1A/IL2/IL23A/SDC4/TNFSF14/TNFSF9",9,175,6.688,0.216391804097951,0.113556778389195,0.00249875062468766
"GOBP_NEGATIVE_REGULATION_OF_MEMBRANE_PERMEABILITY","GOBP_NEGATIVE_REGULATION_OF_MEMBRANE_PERMEABILITY","3/183","17/11067",0.176470588235294,10.672131147541,5.1747826045156,0.00254956090958233,0.0386041750996612,0.0310736624124434,"HK2/HSPA1A/IER3",3,"WT_heat_up","GO_BP",199,"HK2/HSPA1A/IER3",3,17,0.4975,0.0109945027486257,0.00251256281407035,0.00199900049975012
"GOBP_PLASMINOGEN_ACTIVATION","GOBP_PLASMINOGEN_ACTIVATION","3/183","17/11067",0.176470588235294,10.672131147541,5.1747826045156,0.00254956090958233,0.0386041750996612,0.0310736624124434,"ANXA2/PLAUR/SERPINE1",3,"WT_heat_up","GO_BP",199,"ANXA2/PLAUR/SERPINE1",3,17,0.447,0.00999500249875063,0.00137174211248285,0.00249875062468766
"GOBP_PODOSOME_ASSEMBLY","GOBP_PODOSOME_ASSEMBLY","3/183","17/11067",0.176470588235294,10.672131147541,5.1747826045156,0.00254956090958233,0.0386041750996612,0.0310736624124434,"ASB2/CSF2/SH3PXD2B",3,"WT_heat_up","GO_BP",199,"ASB2/CSF2/SH3PXD2B",3,17,0.43,0.00849575212393803,0.0028169014084507,0.00199900049975012
"GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION","GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION","10/183","210/11067",0.0476190476190476,2.87978142076503,3.56606038192034,0.00255995856098549,0.0386041750996612,0.0310736624124434,"AREG/C3/CALCA/CD80/CDKN1A/EGFR/LTA/MST1R/PDGFB/PLAUR",10,"WT_heat_up","GO_BP",199,"AREG/C3/CALCA/CD80/CDKN1A/EGFR/LTA/MST1R/PDGFB/PLAUR",10,210,7.0615,0.158920539730135,0.0761141712568853,0.00149925037481259
"GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION","7/183","113/11067",0.0619469026548673,3.74626432612796,3.80471210513535,0.00266907026659939,0.0398232230321446,0.0320549107831387,"ADAM8/CCL20/CCL3/CCL4/IL23A/SERPINE1/TNFSF14",7,"WT_heat_up","GO_BP",199,"ADAM8/CCL20/CCL3/CCL4/IL23A/SERPINE1/TNFSF14",7,113,4.388,0.140929535232384,0.0687563195146613,0.00449775112443778
"GOBP_TEMPERATURE_HOMEOSTASIS","GOBP_TEMPERATURE_HOMEOSTASIS","8/183","144/11067",0.0555555555555556,3.35974499089253,3.69574470494744,0.00267097782367927,0.0398232230321446,0.0320549107831387,"EGR1/GATM/IGF2BP2/IL1A/KDM6B/NPR3/PTGS2/TNFSF11",8,"WT_heat_up","GO_BP",199,"EGR1/GATM/IGF2BP2/IL1A/KDM6B/NPR3/PTGS2/TNFSF11",8,144,4.398,0.0744627686156921,0.0288461538461538,0.00199900049975012
"GOBP_REGULATION_OF_BONE_REMODELING","GOBP_REGULATION_OF_BONE_REMODELING","4/183","36/11067",0.111111111111111,6.71948998178506,4.45684697540907,0.00281876684342364,0.0415014142977762,0.0334057374415797,"ADAM8/CALCA/SPP1/TNFSF11",4,"WT_heat_up","GO_BP",199,"ADAM8/CALCA/SPP1/TNFSF11",4,36,1.118,0.0254872563718141,0.0101744186046512,0.00199900049975012
"GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS","GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS","5/183","59/11067",0.0847457627118644,5.12503473186996,4.11932460732685,0.00284644031371637,0.0415014142977762,0.0334057374415797,"C3/FOSL2/KDM6B/LTA/PLK2",5,"WT_heat_up","GO_BP",199,"C3/FOSL2/KDM6B/LTA/PLK2",5,59,2.167,0.0579710144927536,0.0238756246529706,0.00199900049975012
"GOBP_POSITIVE_REGULATION_OF_LIPID_TRANSPORT","GOBP_POSITIVE_REGULATION_OF_LIPID_TRANSPORT","5/183","59/11067",0.0847457627118644,5.12503473186996,4.11932460732685,0.00284644031371637,0.0415014142977762,0.0334057374415797,"ANXA2/DAB2/FASLG/SPP1/TNFSF11",5,"WT_heat_up","GO_BP",199,"ANXA2/DAB2/FASLG/SPP1/TNFSF11",5,59,2.148,0.0584707646176912,0.0208333333333333,0.00199900049975012
"GOBP_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND","GOBP_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND","5/183","59/11067",0.0847457627118644,5.12503473186996,4.11932460732685,0.00284644031371637,0.0415014142977762,0.0334057374415797,"CSF2/HSPA1A/IL1A/IL2/INHBA",5,"WT_heat_up","GO_BP",199,"CSF2/HSPA1A/IL1A/IL2/INHBA",5,59,2.0315,0.0504747626186907,0.0165242165242165,0.00399800099950025
"GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS","GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS","9/183","179/11067",0.0502793296089385,3.04066306438319,3.56903144677623,0.00289889619086086,0.0420067486416625,0.0338124962640853,"ADAM8/CALCA/CD80/CD83/EGR3/IL2/IL23A/TNFSF11/TNFSF9",9,"WT_heat_up","GO_BP",199,"ADAM8/CALCA/CD80/CD83/EGR3/IL2/IL23A/TNFSF11/TNFSF9",9,179,7.12,0.281859070464768,0.15,0.00449775112443778
"GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","12/183","287/11067",0.0418118466898955,2.52858856457417,3.4021133997068,0.00291293482433658,0.0420067486416625,0.0338124962640853,"ADORA2B/ANXA3/CCL3/CD40LG/CD80/EOMES/GPR183/GRP/IL2/IL23A/NR4A3/SEMA4A",12,"WT_heat_up","GO_BP",199,"ADORA2B/ANXA3/CCL3/CD40LG/CD80/EOMES/GPR183/GRP/IL2/IL23A/NR4A3/SEMA4A",12,287,10.7325,0.377811094452774,0.214,0.00499750124937531
"GOBP_ERBB2_SIGNALING_PATHWAY","GOBP_ERBB2_SIGNALING_PATHWAY","3/183","18/11067",0.166666666666667,10.0792349726776,4.99862587440068,0.003022543585916,0.0422036641440863,0.0339709994785769,"AREG/EGFR/HBEGF",3,"WT_heat_up","GO_BP",199,"AREG/EGFR/HBEGF",3,18,0.629,0.0224887556221889,0.00424178154825027,0.00249875062468766
"GOBP_REGULATION_OF_COLLATERAL_SPROUTING","GOBP_REGULATION_OF_COLLATERAL_SPROUTING","3/183","18/11067",0.166666666666667,10.0792349726776,4.99862587440068,0.003022543585916,0.0422036641440863,0.0339709994785769,"CRABP2/SPP1/WNT3",3,"WT_heat_up","GO_BP",199,"CRABP2/SPP1/WNT3",3,18,0.524,0.0189905047476262,0.00365853658536585,0.00399800099950025
"GOBP_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS","GOBP_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS","3/183","18/11067",0.166666666666667,10.0792349726776,4.99862587440068,0.003022543585916,0.0422036641440863,0.0339709994785769,"ADM/DAB2/EGR1",3,"WT_heat_up","GO_BP",199,"ADM/DAB2/EGR1",3,18,0.6005,0.0199900049975013,0.00761697497279652,0.00199900049975012
"GOBP_REGULATION_OF_KETONE_BIOSYNTHETIC_PROCESS","GOBP_REGULATION_OF_KETONE_BIOSYNTHETIC_PROCESS","3/183","18/11067",0.166666666666667,10.0792349726776,4.99862587440068,0.003022543585916,0.0422036641440863,0.0339709994785769,"ADM/DAB2/EGR1",3,"WT_heat_up","GO_BP",199,"ADM/DAB2/EGR1",3,18,0.517,0.0139930034982509,0.0072463768115942,0.00199900049975012
