"ID","collection","share_fractional_unpinned","share_winner_take_all_unpinned","share_fractional_anchored","share_winner_take_all_anchored","arm","pinned","status","n_arm_hits","delta_fractional","delta_winner_take_all"
"GOMF_CYTOKINE_ACTIVITY","GO_MF",0.0293096072,0.135678392,0.0290643332,0.135678392,"WT_heat_up",FALSE,NA,NA,-0.000245273989,0
"HALLMARK_INFLAMMATORY_RESPONSE","Hallmark",0.0241109951,0.0301507538,0.0238657211,0.0301507538,"WT_heat_up",FALSE,NA,NA,-0.000245273989,0
"GOBP_POSITIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","GO_BP",0.00754367073,0,0.00729839675,0,"WT_heat_up",FALSE,NA,NA,-0.000245273989,0
"REACTOME_SIGNALING_BY_INTERLEUKINS","Reactome",0.0234888367,0.0150753769,0.0232794564,0.0150753769,"WT_heat_up",FALSE,NA,NA,-0.000209380235,0
"REACTOME_INTERLEUKIN_10_SIGNALING","Reactome",0.00685208148,0,0.00664270124,0,"WT_heat_up",FALSE,NA,NA,-0.000209380235,0
"REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING","Reactome",0.00568934137,0,0.00547996113,0,"WT_heat_up",FALSE,NA,NA,-0.000209380235,0
"GOMF_GROWTH_FACTOR_ACTIVITY","GO_MF",0.0107880673,0,0.0106624392,0,"WT_heat_up",FALSE,NA,NA,-0.000125628141,0
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","Hallmark",0.0185291537,0.00502512563,0.0184035256,0.00502512563,"WT_heat_up",FALSE,NA,NA,-0.000125628141,0
"KEGG_TYPE_I_DIABETES_MELLITUS","KEGG",0.00395628938,0,0.00383664354,0,"WT_heat_up",FALSE,NA,NA,-0.000119645848,0
"REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS","Reactome",0.00859057191,0,0.00847092606,0,"WT_heat_up",FALSE,NA,NA,-0.000119645848,0
"GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE","GO_BP",0.00476625552,0,0.00476625552,0,"WT_heat_up",FALSE,NA,NA,0,0
"GOBP_FIBRINOLYSIS","GO_BP",0.00167504188,0,0.00167504188,0,"WT_heat_up",FALSE,NA,NA,0,0
"GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","GO_BP",0.0112227806,0.0150753769,0.0112227806,0.0150753769,"WT_heat_up",FALSE,NA,NA,0,0
"GOBP_NEGATIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT","GO_BP",0.0167982771,0.0100502513,0.0167982771,0.0100502513,"WT_heat_up",FALSE,NA,NA,0,0
"GOBP_POSITIVE_REGULATION_OF_BEHAVIOR","GO_BP",0.00896147404,0.00502512563,0.00896147404,0.00502512563,"WT_heat_up",FALSE,NA,NA,0,0
"GOBP_REGULATION_OF_COAGULATION","GO_BP",0.0107681263,0.0100502513,0.0107681263,0.0100502513,"WT_heat_up",FALSE,NA,NA,0,0
"GOMF_CALCIUM_DEPENDENT_PHOSPHOLIPID_BINDING","GO_MF",0.0198911223,0.0251256281,0.0198911223,0.0251256281,"WT_heat_up",FALSE,NA,NA,0,0
"GOMF_CHEMOKINE_ACTIVITY","GO_MF",0.00254682503,0,0.00254682503,0,"WT_heat_up",FALSE,NA,NA,0,0
"GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING","GO_MF",0.019464748,0.0100502513,0.019464748,0.0100502513,"WT_heat_up",FALSE,NA,NA,0,0
