"arm","collection","ID","Count","p.adjust","p_matched","frac_matched_reaching_q","size_tested","enriched","pinned","fails_p_matched","fails_recurrence","pruned_by","pruned_hit_jaccard","rank_in_collection","selected","variant"
"WT_heat_up","GO_BP","GOBP_RENAL_SYSTEM_DEVELOPMENT",11,0.0239248206198916,0.111444277861069,0.0785392696348174,221,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_ALPHA_BETA_T_CELL_ACTIVATION",10,0.0240547407862641,0.153423288355822,0.112612612612613,188,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE",4,0.0256225365914467,0.0119940029985007,0.0113913751017087,29,TRUE,FALSE,FALSE,FALSE,"GOBP_POSITIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE",0.75,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",9,0.0258095271542025,0.0204897551224388,0.00965937976614133,158,TRUE,FALSE,FALSE,FALSE,"GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",1,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_MUSCLE_CELL_DIFFERENTIATION",14,0.0259933713294326,0.0779610194902549,0.05,332,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION",7,0.0268705879089816,0.0759620189905048,0.0449208779989791,100,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_RESPONSE_TO_BMP",7,0.0268705879089816,0.0374812593703148,0.0233402489626556,100,TRUE,FALSE,FALSE,FALSE,NA,NA,75,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_HEMOSTASIS",10,0.026938785282564,0.04047976011994,0.0231271995977878,192,TRUE,FALSE,FALSE,FALSE,"GOBP_REGULATION_OF_COAGULATION",0.7,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION",6,0.026938785282564,0.071464267866067,0.0374220374220374,74,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_C21_STEROID_HORMONE_BIOSYNTHETIC_PROCESS",3,0.026938785282564,0.00749625187406297,0.00148588410104012,14,TRUE,FALSE,FALSE,FALSE,"GOBP_OLEFINIC_COMPOUND_BIOSYNTHETIC_PROCESS",0.75,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS",3,0.026938785282564,0.0119940029985007,0.00498753117206983,14,TRUE,FALSE,FALSE,FALSE,"GOBP_LYMPHOCYTE_CHEMOTAXIS",0.6,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_PLASMINOGEN_ACTIVATION",3,0.026938785282564,0.00449775112443778,0.00854700854700855,14,TRUE,FALSE,FALSE,FALSE,"REACTOME_DISSOLUTION_OF_FIBRIN_CLOT",1,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_RHYTHMIC_BEHAVIOR",4,0.026938785282564,0.00749625187406297,0.00350262697022767,30,TRUE,FALSE,FALSE,FALSE,NA,NA,40,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION",4,0.026938785282564,0.024487756121939,0.0199081163859112,30,TRUE,FALSE,FALSE,FALSE,"GOBP_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION",1,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_WOUNDING",5,0.0280843421322201,0.0314842578710645,0.0188457008244994,51,TRUE,FALSE,FALSE,FALSE,NA,NA,71,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_GASTRULATION",8,0.0280843421322201,0.04047976011994,0.0207910750507099,131,TRUE,FALSE,FALSE,FALSE,"GOBP_MESODERM_MORPHOGENESIS",0.875,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_TUBE_SIZE",7,0.0280843421322201,0.0769615192403798,0.0376590330788804,102,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_MUSCLE_ADAPTATION",6,0.0293021025284135,0.0764617691154423,0.0401669274908712,76,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_SMOOTH_MUSCLE_CELL_PROLIFERATION",7,0.0293021025284135,0.105947026486757,0.0529767911200807,103,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_LUNG_EPITHELIUM_DEVELOPMENT",4,0.0293021025284135,0.0154922538730635,0.00841622035195103,31,TRUE,FALSE,FALSE,FALSE,NA,NA,54,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_CARDIAC_CELL_DEVELOPMENT",5,0.0293588476688483,0.0289855072463768,0.0172711571675302,52,TRUE,FALSE,FALSE,FALSE,NA,NA,68,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_MAMMARY_GLAND_EPITHELIUM_DEVELOPMENT",5,0.0293588476688483,0.0529735132433783,0.0319506726457399,52,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_NEURON_APOPTOTIC_PROCESS",10,0.0294371150758494,0.162918540729635,0.0920460230115058,197,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS",7,0.0297964361827988,0.11744127936032,0.0592405063291139,104,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE",11,0.0297964361827988,0.144427786106947,0.086,232,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION",3,0.030486139445696,0.0184907546226887,0.0169875424688562,15,TRUE,FALSE,FALSE,FALSE,NA,NA,59,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",13,0.0309696962607943,0.267866066966517,0.176,306,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE",8,0.0329766218468637,0.144927536231884,0.0757271815446339,136,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION",11,0.0332366589218659,0.222888555722139,0.1295,236,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY",12,0.0352025004278086,0.108945527236382,0.0595,274,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS",5,0.0356280106602708,0.0559720139930035,0.025,55,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_EMBRYONIC_FORELIMB_MORPHOGENESIS",3,0.0356831489369823,0.0114942528735632,0.0045045045045045,16,TRUE,FALSE,FALSE,FALSE,NA,NA,48,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_LIPID_LOCALIZATION",13,0.0363878384717413,0.0504747626186907,0.0225,313,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION",15,0.0366056100093448,0.159420289855072,0.083,391,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_SPROUTING_ANGIOGENESIS",7,0.0366056100093448,0.0484757621189405,0.0175892395240559,109,TRUE,FALSE,FALSE,FALSE,NA,NA,82,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN",12,0.0371262469404481,0.231884057971014,0.1365,277,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE",4,0.03718621381818,0.0264867566216892,0.00858983536148891,34,TRUE,FALSE,FALSE,FALSE,"GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE",1,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION",8,0.03718621381818,0.15992003998001,0.0772316950852558,140,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_ENDOTHELIAL_CELL_PROLIFERATION",7,0.0371941755492394,0.0899550224887556,0.039066463723998,110,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION",7,0.0371941755492394,0.129935032483758,0.0608651911468813,110,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION",7,0.0371941755492394,0.133433283358321,0.0559757942511346,110,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_NEGATIVE_REGULATION_OF_MEMBRANE_PERMEABILITY",3,0.0398069831013623,0.0119940029985007,0.00492004920049201,17,TRUE,FALSE,FALSE,FALSE,NA,NA,50,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_PLASMINOGEN_ACTIVATION",3,0.0398069831013623,0.00949525237381309,0.00458015267175573,17,TRUE,FALSE,FALSE,FALSE,"REACTOME_DISSOLUTION_OF_FIBRIN_CLOT",1,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_PODOSOME_ASSEMBLY",3,0.0398069831013623,0.00999500249875063,0.00977653631284916,17,TRUE,FALSE,FALSE,FALSE,NA,NA,46,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_T_CELL_PROLIFERATION",9,0.0398069831013623,0.230384807596202,0.123561780890445,175,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION",7,0.0420344898387262,0.129435282358821,0.0580221997981837,113,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION",10,0.0420344898387262,0.172913543228386,0.079,211,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_BONE_REMODELING",4,0.0429660121274793,0.0229885057471264,0.00566973777462792,36,TRUE,FALSE,FALSE,FALSE,"GOBP_POSITIVE_REGULATION_OF_BONE_RESORPTION",0.75,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_TEMPERATURE_HOMEOSTASIS",8,0.0429660121274793,0.0769615192403798,0.0262361251261352,145,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS",5,0.0429660121274793,0.0634682658670665,0.0241573033707865,59,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_LIPID_TRANSPORT",5,0.0429660121274793,0.0519740129935032,0.0125786163522013,59,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND",5,0.0429660121274793,0.0399800099950025,0.0154285714285714,59,TRUE,FALSE,FALSE,FALSE,"GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_ABSENCE_OF_LIGAND",0.8,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS",9,0.0434512944276477,0.291354322838581,0.146073036518259,179,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_ERBB2_SIGNALING_PATHWAY",3,0.0434512944276477,0.0239880059970015,0.00551267916207277,18,TRUE,FALSE,FALSE,FALSE,"REACTOME_EGFR_DOWNREGULATION",0.6,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_COLLATERAL_SPROUTING",3,0.0434512944276477,0.015992003998001,0.00366300366300366,18,TRUE,FALSE,FALSE,FALSE,NA,NA,56,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS",3,0.0434512944276477,0.023488255872064,0.00336700336700337,18,TRUE,FALSE,FALSE,FALSE,"GOBP_OLEFINIC_COMPOUND_BIOSYNTHETIC_PROCESS",0.75,NA,FALSE,"hypoxia_anchored"
