"set_id","set_label","origin","contrast","nes","padj","set_size","sig"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE212127","GSE212127 · cancer tumor · B16 melanoma tumor tissue","WT_heat_up (generic thermal)","Interaction",-1.00379578,0.837301587,46,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE48870","GSE48870 · developmental · B cell subsets from bone marrow, spleen, and small intestinal lamina propria","WT_heat_up (generic thermal)","Interaction",-0.96981651,0.837301587,37,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE41833","GSE41833 · inflammation other · bone marrow-derived macrophages (BMDMs)","WT_heat_up (generic thermal)","Interaction",0.898067241,0.988452656,44,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE46185","GSE46185 · developmental · CD4+ Th2 cells","WT_heat_up (generic thermal)","Interaction",-0.826148308,0.988452656,49,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE65083","GSE65083 · metabolic · CD4+ T helper (Th2) cells","WT_heat_up (generic thermal)","Interaction",0.762147636,0.988452656,46,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE80205","GSE80205 · other · Neuro2a (N2a) neuroblastoma cells and neural/stem cells","WT_heat_up (generic thermal)","Interaction",0.698363419,0.988452656,46,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE163856","GSE163856 · thermal heat shock · skeletal muscle stem cells (satellite cells) and liver / muscle single nuclei","WT_heat_up (generic thermal)","Interaction",-0.62521248,0.988452656,48,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE169006","GSE169006 · metabolic · colonic CD4+ T cells (naive, effector, regulatory T cells)","WT_heat_up (generic thermal)","Interaction",0.616537904,0.988452656,48,FALSE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE89069","GSE89069 · viral infection · embryonic brain (E17.5)","Interaction_up (cGAS-specific ISG)","KO_heat",-2.72440891,9.96289706e-15,48,TRUE
"CORESH_Q_sig_Interaction_up_fdr_only_GSE94388","GSE94388 · nucleic acid sensing · fetal brain","Interaction_up (cGAS-specific ISG)","KO_heat",-2.70734497,1.28983957e-14,48,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE46185","GSE46185 · developmental · CD4+ Th2 cells","WT_heat_up (generic thermal)","KO_heat",2.79400497,2.16393555e-14,49,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE193605","GSE193605 · other · Neuro2a (N2a) neuroblastoma cells","Interaction_up (cGAS-specific ISG)","KO_heat",-2.68658311,2.16393555e-14,46,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE65083","GSE65083 · metabolic · CD4+ T helper (Th2) cells","WT_heat_up (generic thermal)","KO_heat",2.70715669,1.07113693e-12,46,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62757","GSE62757 · viral infection · spinal cord","Interaction_up (cGAS-specific ISG)","KO_heat",-2.61112076,1.07113693e-12,46,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62758","GSE62758 · viral infection · spinal cord","Interaction_up (cGAS-specific ISG)","KO_heat",-2.49156028,2.13810206e-10,47,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE41833","GSE41833 · inflammation other · bone marrow-derived macrophages (BMDMs)","WT_heat_up (generic thermal)","KO_heat",2.44509048,5.39083457e-09,44,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE169006","GSE169006 · metabolic · colonic CD4+ T cells (naive, effector, regulatory T cells)","WT_heat_up (generic thermal)","KO_heat",2.43520905,1.14391635e-08,48,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE163856","GSE163856 · thermal heat shock · skeletal muscle stem cells (satellite cells) and liver / muscle single nuclei","WT_heat_up (generic thermal)","KO_heat",2.09184546,1.79055825e-05,48,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE48870","GSE48870 · developmental · B cell subsets from bone marrow, spleen, and small intestinal lamina propria","WT_heat_up (generic thermal)","KO_heat",1.49333926,0.0515955573,37,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE80205","GSE80205 · other · Neuro2a (N2a) neuroblastoma cells and neural/stem cells","WT_heat_up (generic thermal)","KO_heat",-1.01534106,0.501557632,46,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE212127","GSE212127 · cancer tumor · B16 melanoma tumor tissue","WT_heat_up (generic thermal)","KO_heat",-0.983673192,0.525377426,46,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE174225","GSE174225 · cancer tumor · CD4+ and CD8+ tumor-infiltrating lymphocytes (TILs) and draining lymph node T cells","WT_heat_up (generic thermal)","KO_heat",0.930679795,0.613537118,49,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE46185","GSE46185 · developmental · CD4+ Th2 cells","WT_heat_up (generic thermal)","Temp_main",2.78400295,2.4133807e-14,49,TRUE
