"source","axis","contrast","score","padj","significant"
"Irf1","IFN","WT_heat",-0.645512729,0.715388772,FALSE
"Irf1","IFN","KO_heat",-1.71691484,0.267203982,FALSE
"Irf1","IFN","Interaction",2.5,0.0791594093,FALSE
"Irf1","IFN","Temp_main",-1.2049164,0.455117574,FALSE
"Irf1","IFN","Geno_at_39",2.5,0.019768934,TRUE
"Irf1","IFN","Geno_at_37",-0.38807025,0.973176048,FALSE
"Irf1","IFN","Geno_main",2.32873818,0.422033018,FALSE
"Epas1","HIF","WT_heat",2.5,0.00138142545,TRUE
"Epas1","HIF","KO_heat",2.5,0.00101895134,TRUE
"Epas1","HIF","Interaction",-0.860323599,0.912978396,FALSE
"Epas1","HIF","Temp_main",2.5,0.000890931835,TRUE
"Epas1","HIF","Geno_at_39",-0.656522013,0.961142635,FALSE
"Epas1","HIF","Geno_at_37",0.427140778,0.973027706,FALSE
"Epas1","HIF","Geno_main",-0.196294376,0.971449651,FALSE
