"contrast","database","pathway_id","pathway_name","direction","nes","pvalue","padj","padj_pooled","set_size","n_tests_in_db","n_tests_pooled","sig_before_in_db","sig_after_in_db","sig_lost_in_db","core_enrichment"
"WT_heat","GO_BP","GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION","Positive Regulation of Lymphocyte Migration","Up",1.54158625,0.0326343245,0.100072307,0.115774686,20,2389,4787,546,508,38,"Ccl4/Adam8/Ccl20/Oxsr1/Adam17/Stk39/Nedd9/Ccl5/Itga4"
"WT_heat","GO_BP","GOBP_REGULATION_OF_HEART_RATE","Regulation of Heart Rate","Up",1.50072232,0.0330040601,0.100072307,0.116184581,31,2389,4787,546,508,38,"Gja5/Gch1/Avpr1a/Atp2a2/Adm/Mdm2/Pkp2/Tnf/Ywhae"
"WT_heat","GO_BP","GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION","Positive Regulation of Myeloid Leukocyte Differentiation","Up",1.4973054,0.0329362005,0.100072307,0.116184581,32,2389,4787,546,508,38,"Tnfsf11/Il23a/Zfp36l1/Nedd9/Notch2/Hax1/Ifng/Cd74/Tgfb1/Tnf/Lif/Rb1/Id2/Csf1/Ripk1/Fos/Trib1"
"WT_heat","GO_BP","GOBP_NEUTROPHIL_CHEMOTAXIS","Neutrophil Chemotaxis","Up",1.46866319,0.0330083624,0.100072307,0.116184581,41,2389,4787,546,508,38,"Lgals3/Perp/Mpp1/Il23a/Itgb2/Cxcl2/Pikfyve/Bsg/Cd74"
"WT_heat","GO_BP","GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION","Positive Regulation of Interleukin 6 Production","Up",1.46774357,0.032390367,0.100072307,0.115538515,42,2389,4787,546,508,38,"Adora2b/Arhgef2/Xbp1/Il1a/Cd36/Hspd1/Hyal2/Nos2/Bsg/Ifng/Ifih1/Cd74/Bcl10/Tgfb1/Tnf/Myd88/Tlr2/Mapk13/Il33"
"WT_heat","GO_BP","GOBP_POSITIVE_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT","Positive Regulation of Monoatomic Ion Transmembrane Transport","Down",-1.46412006,0.0329217322,0.100072307,0.116184581,43,2389,4787,546,508,38,"Xcl1/Abl1/Gsto1/Kcnh2/Fgf13/Ctss/Capn3/G6pdx/Kcnip2/Plcg1/Atp1b1"
"WT_heat","GO_BP","GOBP_AMINO_ACID_TRANSPORT","Amino Acid Transport","Up",1.46109676,0.0326500578,0.100072307,0.115774686,44,2389,4787,546,508,38,"Slc7a1/Itgb1/Avpr1a/Praf2/Lrrc8c/Xk/Nfe2l1/Slc1a5/Rab3gap1/Nf1/Cln8/Tnf/Slc6a12/Gabbr1/Stxbp1/Slc6a9/Slc6a8/Slc7a2/Slc38a1/Gja1"
"WT_heat","GO_BP","GOBP_FATTY_ACID_BETA_OXIDATION","Fatty Acid beta Oxidation","Down",-1.45111509,0.0327426516,0.100072307,0.11596,48,2389,4787,546,508,38,"Echs1/Acads/Hadha/Acox1/Auh/Cpt2/Mlycd/Ehhadh/Abcd1/Hadh/Acadm/Hadhb/Scp2/Crot/Pex2/Eci2/Abcb11/Acaa2/Acox3/Acat1"
"WT_heat","GO_BP","GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING","Mitotic Cell Cycle Checkpoint Signaling","Up",1.41446227,0.0325617641,0.100072307,0.115774686,67,2389,4787,546,508,38,"Cdkn1a/Ier3/Rad17/Rbbp8/Kntc1/Map3k20/Muc1/Trip13/Chek1/Plk3/Dynlt3/Cenpf/Tipin/Dusp1/Cdk1/Bub1/Rps27l/Mad2l1/Cdc6/Cdc14b/Cdca8/Zw10/Brca1/Foxo4/Apc/Hus1/Topbp1/Dbf4"
"WT_heat","GO_BP","GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS","Monocarboxylic Acid Catabolic Process","Down",-1.41302734,0.0324643197,0.100072307,0.115716082,69,2389,4787,546,508,38,"Echs1/Ldhb/Acads/Hadha/Abhd2/Acox1/Auh/Cpt2/Mlycd/Ehhadh/Abcd1/Hadh/Nudt19/Acadm/Hadhb/Lpin2/Scp2/Crot/Pex2/Eci2/Abcb11/Acaa2/Acox3/Akr1a1/Ilvbl/Lpin1/Acat1"
"WT_heat","GO_BP","GOBP_CIRCADIAN_RHYTHM","Circadian Rhythm","Up",1.38326627,0.0325187731,0.100072307,0.115774686,83,2389,4787,546,508,38,"Top1/Scn9a/Nrip1/Rora/Gfpt1/Noct/Csf2/Bhlhe40/Cldn4/Egr3/Id1/Egr1/Hdac1/Csnk1e/Sik1/Nos2/Ntrk3/Fbxw11/Hdac2/Atf5/Cdk1/Cavin3/Tnf/Sfpq"
"WT_heat","GO_BP","GOBP_REPRODUCTIVE_SYSTEM_DEVELOPMENT","Reproductive System Development","Up",1.36069282,0.0329261025,0.100072307,0.116184581,104,2389,4787,546,508,38,"C3/Bcl2l1/Axl/Cebpb/Ar/Inhba/Nrip1/Vegfa/Foxo3/Tyro3/Basp1/Fkbp4/Bcl2l2/Antxr2/Fst/Nupr1/Bik/Rara/Errfi1/Ctnna1/Ptch1"
"WT_heat","GO_BP","GOBP_LYMPHOCYTE_DIFFERENTIATION","Lymphocyte Differentiation","Up",1.2800226,0.0327513783,0.100072307,0.11596,214,2389,4787,546,508,38,"Axl/Fosl2/Rbpj/Cd80/Slamf1/Inhba/Il9/Il2/Rora/Adam8/Il23a/Xbp1/Eomes/Il1a/Itk/Itgb1/Cd40lg/Irf8/Foxo3/Camk4/Cdk6/Adam17/Cebpg/Tyro3/Il12rb1/Gpr183/Zfp36l1/Jmjd6/Egr3/Cd83/Srf/Tnfsf9/Egr1/Tcf7/Notch2/Batf/Sos1/Rara/Ifng/Cd74/Il4/Actb/Tpd52/Il7r/Lgals1/Tgfb1/Il18r1/Irf4/Itga4/Junb/Il18rap/Socs5/Il11/Zbtb16"
"WT_heat","GO_BP","GOBP_ANIMAL_ORGAN_REGENERATION","Animal Organ Regeneration","Up",1.51423269,0.03315611,0.100392835,0.116618882,26,2389,4787,546,508,38,"Cebpb/Top1/Csnk2a2/Sulf2/Aurka/Tgfb1/Tnf/Ptch1/Pnpt1/Cpt1a/Il10/Notch1/Prmt5/Ezh2"
"WT_heat","GO_BP","GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION","Cellular Response to Glucose Starvation","Up",1.51005022,0.0333054918,0.100717493,0.117058289,28,2389,4787,546,508,38,"Upp1/Ywhag/Rrp8/Xbp1/Foxo3/Plin2/Asns/Slc2a1/Hspa5"
"WT_heat","WikiPathways","WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA","Tyrobp Causal Network in Microglia","Up",1.60214961,0.0173936535,0.100738243,0.0781550048,26,417,4787,51,57,-6,"C3/Plek/Spp1/Rps6ka1/Sh2b3/Itgb2/Slc1a5"
