arm,arm_label,arm_hypothesis,method,feature,feature_kind,contrast,score,pvalue,padj,direction,significant
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Positive Regulation Of Interferon Beta Production,gene_set,Interaction,2.29835379,1.89791311e-6,1.74389016e-4,Up,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Positive Regulation Of Interferon Beta Production,gene_set,Temp_main,0.905295495,0.606694561,0.66753115,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Positive Regulation Of Type I Interferon Production,gene_set,WT_heat,1.44472229,0.0416771905,0.114840609,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Positive Regulation Of Type I Interferon Production,gene_set,KO_heat,1.01859779,0.419565217,0.526163414,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Positive Regulation Of Type I Interferon Production,gene_set,Interaction,2.20255669,1.28872141e-5,9.05516306e-4,Up,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Positive Regulation Of Type I Interferon Production,gene_set,Temp_main,1.07949471,0.325581395,0.455128118,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Positive Regulation Of Type Ii Interferon Production,gene_set,WT_heat,1.26114414,0.116033755,0.227030828,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Positive Regulation Of Type Ii Interferon Production,gene_set,KO_heat,1.05584443,0.365079365,0.49026116,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Positive Regulation Of Type Ii Interferon Production,gene_set,Interaction,1.53721253,0.0204885375,0.237422865,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Positive Regulation Of Type Ii Interferon Production,gene_set,Temp_main,1.15206312,0.227571116,0.370786322,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Regulation Of Receptor Signaling Pathway Via Jak Stat,gene_set,WT_heat,-1.0210265,0.406367041,0.509344628,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Regulation Of Receptor Signaling Pathway Via Jak Stat,gene_set,KO_heat,-1.11909245,0.277876106,0.419364338,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Regulation Of Receptor Signaling Pathway Via Jak Stat,gene_set,Interaction,1.11113206,0.30754717,0.780709446,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Regulation Of Receptor Signaling Pathway Via Jak Stat,gene_set,Temp_main,-0.997016797,0.444646098,0.546965351,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Regulation Of Type I Interferon Mediated Signaling Pathway,gene_set,WT_heat,-1.34255938,0.12055336,0.233578245,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Regulation Of Type I Interferon Mediated Signaling Pathway,gene_set,KO_heat,-1.6749909,0.0137870876,0.0673613168,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Regulation Of Type I Interferon Mediated Signaling Pathway,gene_set,Interaction,2.2589425,1.32524006e-6,1.2663994e-4,Up,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Regulation Of Type I Interferon Mediated Signaling Pathway,gene_set,Temp_main,-1.51270221,0.045922881,0.136869615,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Response To Interferon Beta,gene_set,WT_heat,0.915747495,0.592741935,0.654326914,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Response To Interferon Beta,gene_set,KO_heat,-0.998715076,0.466410749,0.561928763,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Response To Interferon Beta,gene_set,Interaction,1.52071273,0.0299574932,0.285133272,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Response To Interferon Beta,gene_set,Temp_main,-0.909069185,0.585603113,0.653130643,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Response To Type I Interferon,gene_set,WT_heat,-1.43798433,0.0359337558,0.102809273,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Response To Type I Interferon,gene_set,KO_heat,-1.83678626,3.02469855e-4,0.00547424609,Down,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Response To Type I Interferon,gene_set,Interaction,2.44039984,3.33027006e-9,6.63001265e-7,Up,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Response To Type I Interferon,gene_set,Temp_main,-1.7120753,0.00148230566,0.0145729557,Down,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Response To Type Ii Interferon,gene_set,WT_heat,-1.42416839,0.0291801994,0.0900665327,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Response To Type Ii Interferon,gene_set,KO_heat,-1.55923821,0.00836292041,0.0484786753,Down,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Response To Type Ii Interferon,gene_set,Interaction,1.29265979,0.091234347,0.468728721,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Response To Type Ii Interferon,gene_set,Temp_main,-1.48511917,0.01710942,0.0713764549,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Type I Interferon Mediated Signaling Pathway,gene_set,WT_heat,-1.32621487,0.100192678,0.204406753,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Type I Interferon Mediated Signaling Pathway,gene_set,KO_heat,-1.73099567,0.00322296109,0.0269183473,Down,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Type I Interferon Mediated Signaling Pathway,gene_set,Interaction,2.6185665,2.53369386e-10,8.6471352e-8,Up,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Type I Interferon Mediated Signaling Pathway,gene_set,Temp_main,-1.59132566,0.0144285643,0.0645502626,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Type I Interferon Production,gene_set,WT_heat,1.40927445,0.0386241614,0.108556613,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Type I Interferon Production,gene_set,KO_heat,-1.0678348,0.341113106,0.470671935,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Type I Interferon Production,gene_set,Interaction,2.00735651,3.96001804e-5,0.00236512078,Up,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Type I Interferon Production,gene_set,Temp_main,1.15474942,0.197802198,0.343422566,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Type Ii Interferon Mediated Signaling Pathway,gene_set,WT_heat,-1.52552338,0.0722601366,0.165830419,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Type Ii Interferon Mediated Signaling Pathway,gene_set,KO_heat,-1.59323213,0.0291460967,0.108796914,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Type Ii Interferon Mediated Signaling Pathway,gene_set,Interaction,1.14120088,0.281191806,0.751783217,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Type Ii Interferon Mediated Signaling Pathway,gene_set,Temp_main,-1.58858691,0.0277966567,0.0966986692,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Type Ii Interferon Production,gene_set,WT_heat,1.33973587,0.0470449523,0.126423387,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Type Ii Interferon Production,gene_set,KO_heat,1.17701328,0.188544153,0.339948665,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Type Ii Interferon Production,gene_set,Interaction,1.25285485,0.108655617,0.500150807,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Type Ii Interferon Production,gene_set,Temp_main,1.26725771,0.0852534562,0.201454507,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:Hallmark,Il6 Jak Stat3 Signaling,gene_set,WT_heat,1.30101684,0.0774058577,0.124061159,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:Hallmark,Il6 Jak Stat3 Signaling,gene_set,KO_heat,-1.02980459,0.401050788,0.466338126,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:Hallmark,Il6 Jak Stat3 Signaling,gene_set,Interaction,1.47177937,0.0333802655,0.127008334,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:Hallmark,Il6 Jak Stat3 Signaling,gene_set,Temp_main,1.21923853,0.125,0.175364759,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:Hallmark,Interferon Alpha Response,gene_set,WT_heat,-1.90084657,1.92148115e-5,1.06748953e-4,Down,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:Hallmark,Interferon Alpha Response,gene_set,KO_heat,-2.52563627,6.54308477e-14,3.27154238e-12,Down,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:Hallmark,Interferon Alpha Response,gene_set,Interaction,3.1997827,5.628040909999999e-25,2.81402045e-23,Up,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:Hallmark,Interferon Alpha Response,gene_set,Temp_main,-2.22168703,3.66854301e-9,6.11423834e-8,Down,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:Hallmark,Interferon Gamma Response,gene_set,WT_heat,-1.77738708,5.84113254e-6,3.65070783e-5,Down,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:Hallmark,Interferon Gamma Response,gene_set,KO_heat,-2.21270105,2.54822226e-12,4.24703711e-11,Down,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:Hallmark,Interferon Gamma Response,gene_set,Interaction,2.85866217,3.7392324200000004e-23,9.34808104e-22,Up,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:Hallmark,Interferon Gamma Response,gene_set,Temp_main,-1.97494138,3.02726364e-8,3.02726364e-7,Down,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:Hallmark,Tnfa Signaling Via Nfkb,gene_set,WT_heat,2.39671697,1.50219085e-14,7.51095426e-13,Up,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:Hallmark,Tnfa Signaling Via Nfkb,gene_set,KO_heat,2.31838067,1.60571605e-13,4.01429012e-12,Up,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:Hallmark,Tnfa Signaling Via Nfkb,gene_set,Interaction,1.0232815,0.377777778,0.62962963,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:Hallmark,Tnfa Signaling Via Nfkb,gene_set,Temp_main,2.30090266,1.20990601e-12,6.04953005e-11,Up,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:KEGG,Cytosolic Dna Sensing Pathway,gene_set,WT_heat,0.918426045,0.602564103,0.698547765,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:KEGG,Cytosolic Dna Sensing Pathway,gene_set,KO_heat,-1.107416,0.310035842,0.435889024,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:KEGG,Cytosolic Dna Sensing Pathway,gene_set,Interaction,1.50600436,0.0573157602,0.213454376,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:KEGG,Cytosolic Dna Sensing Pathway,gene_set,Temp_main,-0.951126399,0.548269581,0.635203841,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:KEGG,Jak Stat Signaling Pathway,gene_set,WT_heat,1.30596173,0.0604026846,0.192993943,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:KEGG,Jak Stat Signaling Pathway,gene_set,KO_heat,-1.07357226,0.312186978,0.435889024,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:KEGG,Jak Stat Signaling Pathway,gene_set,Interaction,1.58714264,0.00670580424,0.0732050296,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:KEGG,Jak Stat Signaling Pathway,gene_set,Temp_main,1.12240001,0.218823529,0.385891473,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:KEGG,Rig I Like Receptor Signaling Pathway,gene_set,WT_heat,1.10546082,0.310782241,0.480140624,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:KEGG,Rig I Like Receptor Signaling Pathway,gene_set,KO_heat,0.911450721,0.608017817,0.663752784,Up,FALSE
