database,n_overlap_before_alias,gene_set,n_unique_set_genes,n_matched,n_matched_via_alias,n_alias_flagged_for_review,n_alias_rejected_ambiguous,n_expression_filtered,n_below_detection,n_absent_from_reference,set_size_resolved,n_alias_collapsed,reference_vocabulary_available,alias_pairs_applied,alias_pairs_flagged,alias_pairs_rejected
GO_BP,22,GOBP_ADULT_LOCOMOTORY_BEHAVIOR,27,22,0,0,0,0,5,0,22,0,FALSE,->,->,->
GO_BP,6,GOBP_AGGREPHAGY,7,6,0,0,0,0,1,0,6,0,FALSE,->,->,->
GO_BP,2,GOBP_AGGRESOME_ASSEMBLY,3,2,0,0,0,0,1,0,2,0,FALSE,->,->,->
GO_BP,2,GOBP_AGGRESSIVE_BEHAVIOR,4,2,0,0,1,0,1,0,2,0,FALSE,->,->,Tacr1->Spr
GO_BP,2,GOBP_AIM2_INFLAMMASOME_COMPLEX_ASSEMBLY,2,2,0,0,0,0,0,0,2,0,FALSE,->,->,->
GO_BP,0,GOBP_ALANINE_METABOLIC_PROCESS,1,0,0,0,0,0,1,0,0,0,FALSE,->,->,->
GO_BP,7,GOBP_ALANINE_TRANSPORT,8,7,0,0,0,0,1,0,7,0,FALSE,->,->,->
GO_BP,56,GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS,71,56,0,0,0,0,15,0,56,0,FALSE,->,->,->
GO_BP,18,GOBP_ALCOHOL_CATABOLIC_PROCESS,24,18,0,0,0,0,6,0,18,0,FALSE,->,->,->
GO_BP,137,GOBP_ALCOHOL_METABOLIC_PROCESS,180,137,0,0,1,0,42,0,137,0,FALSE,->,->,Adh7->Adh4
GO_BP,7,GOBP_ALDEHYDE_BIOSYNTHETIC_PROCESS,11,7,0,0,0,0,4,0,7,0,FALSE,->,->,->
GO_BP,6,GOBP_ALDEHYDE_CATABOLIC_PROCESS,7,6,0,0,0,0,1,0,6,0,FALSE,->,->,->
GO_BP,29,GOBP_ALDEHYDE_METABOLIC_PROCESS,39,29,0,0,0,0,10,0,29,0,FALSE,->,->,->
GO_BP,1,GOBP_ALDITOL_BIOSYNTHETIC_PROCESS,3,1,0,0,0,0,2,0,1,0,FALSE,->,->,->
GO_BP,4,GOBP_ALDITOL_CATABOLIC_PROCESS,4,4,0,0,0,0,0,0,4,0,FALSE,->,->,->
GO_BP,4,GOBP_ALDITOL_PHOSPHATE_METABOLIC_PROCESS,4,4,0,0,0,0,0,0,4,0,FALSE,->,->,->
GO_BP,2,GOBP_ALDOSTERONE_SECRETION,3,2,0,0,0,0,1,0,2,0,FALSE,->,->,->
GO_BP,4,GOBP_ALKALOID_METABOLIC_PROCESS,6,4,0,0,0,0,2,0,4,0,FALSE,->,->,->
GO_BP,4,GOBP_ALKANESULFONATE_METABOLIC_PROCESS,6,4,0,0,0,0,2,0,4,0,FALSE,->,->,->
GO_BP,3,GOBP_ALKANESULFONATE_TRANSMEMBRANE_TRANSPORT,3,3,0,0,0,0,0,0,3,0,FALSE,->,->,->
GO_BP,2,GOBP_ALLANTOIN_METABOLIC_PROCESS,2,2,0,0,0,0,0,0,2,0,FALSE,->,->,->
GO_BP,29,GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS,31,29,0,0,0,0,2,0,29,0,FALSE,->,->,->
GO_BP,77,GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,92,77,0,0,1,0,14,0,77,0,FALSE,->,->,Il4i1b->Il4i1
GO_BP,120,GOBP_ALPHA_BETA_T_CELL_ACTIVATION,128,120,0,0,0,0,8,0,120,0,FALSE,->,->,->
GO_BP,84,GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,88,84,0,0,0,0,4,0,84,0,FALSE,->,->,->
GO_BP,28,GOBP_ALPHA_BETA_T_CELL_PROLIFERATION,31,28,0,0,0,0,3,0,28,0,FALSE,->,->,->
GO_BP,1,GOBP_ALPHA_KETOGLUTARATE_TRANSPORT,1,1,0,0,0,0,0,0,1,0,FALSE,->,->,->
GO_BP,8,GOBP_ALPHA_LINOLENIC_ACID_METABOLIC_PROCESS,9,8,0,0,0,0,1,0,8,0,FALSE,->,->,->
GO_BP,23,GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,23,23,0,0,0,0,0,0,23,0,FALSE,->,->,->
GO_BP,0,GOBP_AMACRINE_CELL_DIFFERENTIATION,1,0,0,0,0,0,1,0,0,0,FALSE,->,->,->
GO_BP,95,GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,105,95,0,0,1,0,9,0,95,0,FALSE,->,->,Tacr1->Spr
GO_BP,3,GOBP_AMELOGENESIS,7,3,0,0,0,0,4,0,3,0,FALSE,->,->,->
GO_BP,66,GOBP_AMIDE_BIOSYNTHETIC_PROCESS,74,66,0,0,0,0,8,0,66,0,FALSE,->,->,->
GO_BP,5,GOBP_AMIDE_CATABOLIC_PROCESS,7,5,0,0,0,0,2,0,5,0,FALSE,->,->,->
GO_BP,183,GOBP_AMIDE_METABOLIC_PROCESS,220,183,0,0,1,0,36,0,183,0,FALSE,->,->,Pcsk1n->Pan3
GO_BP,98,GOBP_AMIDE_TRANSPORT,127,98,0,0,1,0,28,0,98,0,FALSE,->,->,Gck->Gk
GO_BP,16,GOBP_AMINE_BIOSYNTHETIC_PROCESS,20,16,0,0,0,0,4,0,16,0,FALSE,->,->,->
GO_BP,9,GOBP_AMINE_CATABOLIC_PROCESS,11,9,0,0,0,0,2,0,9,0,FALSE,->,->,->
GO_BP,33,GOBP_AMINE_METABOLIC_PROCESS,43,33,0,0,0,0,10,0,33,0,FALSE,->,->,->
GO_BP,23,GOBP_AMINE_TRANSPORT,36,23,0,0,0,0,13,0,23,0,FALSE,->,->,->
GO_BP,2,GOBP_AMINOACYL_TRNA_METABOLISM_INVOLVED_IN_TRANSLATIONAL_FIDELITY,2,2,0,0,0,0,0,0,2,0,FALSE,->,->,->
GO_BP,20,GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS,22,20,0,0,0,0,2,0,20,0,FALSE,->,->,->
GO_BP,10,GOBP_AMINOGLYCAN_CATABOLIC_PROCESS,10,10,0,0,0,0,0,0,10,0,FALSE,->,->,->
GO_BP,33,GOBP_AMINOGLYCAN_METABOLIC_PROCESS,38,33,0,0,0,0,5,0,33,0,FALSE,->,->,->
GO_BP,0,GOBP_AMINOPHOSPHOLIPID_TRANSLOCATION,1,0,0,0,0,0,1,0,0,0,FALSE,->,->,->
GO_BP,0,GOBP_AMINOPHOSPHOLIPID_TRANSPORT,1,0,0,0,0,0,1,0,0,0,FALSE,->,->,->
GO_BP,10,GOBP_AMINO_ACID_ACTIVATION,11,10,1,0,0,0,0,0,11,0,FALSE,Wars1->Wars,->,->
GO_BP,4,GOBP_AMINO_ACID_BETAINE_BIOSYNTHETIC_PROCESS,5,4,0,0,0,0,1,0,4,0,FALSE,->,->,->
GO_BP,10,GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS,12,10,0,0,0,0,2,0,10,0,FALSE,->,->,->
GO_BP,5,GOBP_AMINO_ACID_BETAINE_TRANSPORT,8,5,0,0,0,0,3,0,5,0,FALSE,->,->,->
GO_BP,34,GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS,39,34,0,0,0,0,5,0,34,0,FALSE,->,->,->
GO_BP,47,GOBP_AMINO_ACID_CATABOLIC_PROCESS,55,47,0,0,1,0,7,0,47,0,FALSE,->,->,Il4i1b->Il4i1
GO_BP,19,GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE,23,19,0,0,0,0,4,0,19,0,FALSE,->,->,->
GO_BP,100,GOBP_AMINO_ACID_METABOLIC_PROCESS,119,100,1,0,1,0,17,0,101,0,FALSE,Wars1->Wars,->,Il4i1b->Il4i1
GO_BP,3,GOBP_AMINO_ACID_NEUROTRANSMITTER_REUPTAKE,3,3,0,0,0,0,0,0,3,0,FALSE,->,->,->
GO_BP,26,GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT,30,26,0,0,0,0,4,0,26,0,FALSE,->,->,->
GO_BP,44,GOBP_AMINO_ACID_TRANSPORT,53,44,0,0,0,0,9,0,44,0,FALSE,->,->,->
GO_BP,8,GOBP_AMINO_SUGAR_BIOSYNTHETIC_PROCESS,8,8,0,0,0,0,0,0,8,0,FALSE,->,->,->
GO_BP,2,GOBP_AMINO_SUGAR_CATABOLIC_PROCESS,3,2,0,0,0,0,1,0,2,0,FALSE,->,->,->
GO_BP,16,GOBP_AMINO_SUGAR_METABOLIC_PROCESS,19,16,0,0,0,0,3,0,16,0,FALSE,->,->,->
GO_BP,3,GOBP_AMMONIUM_HOMEOSTASIS,4,3,0,0,0,0,1,0,3,0,FALSE,->,->,->
GO_BP,3,GOBP_AMMONIUM_TRANSMEMBRANE_TRANSPORT,4,3,0,0,0,0,1,0,3,0,FALSE,->,->,->
GO_BP,3,GOBP_AMPA_GLUTAMATE_RECEPTOR_CLUSTERING,3,3,0,0,0,0,0,0,3,0,FALSE,->,->,->
GO_BP,1,GOBP_AMPA_SELECTIVE_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY,1,1,0,0,0,0,0,0,1,0,FALSE,->,->,->
GO_BP,6,GOBP_AMP_BIOSYNTHETIC_PROCESS,6,6,0,0,0,0,0,0,6,0,FALSE,->,->,->
GO_BP,4,GOBP_AMP_CATABOLIC_PROCESS,4,4,0,0,0,0,0,0,4,0,FALSE,->,->,->
GO_BP,14,GOBP_AMP_METABOLIC_PROCESS,14,14,0,0,0,0,0,0,14,0,FALSE,->,->,->
GO_BP,2,GOBP_AMYGDALA_DEVELOPMENT,2,2,0,0,0,0,0,0,2,0,FALSE,->,->,->
GO_BP,0,GOBP_AMYLIN_RECEPTOR_SIGNALING_PATHWAY,2,0,0,0,0,0,2,0,0,0,FALSE,->,->,->
GO_BP,27,GOBP_AMYLOID_BETA_CLEARANCE,30,27,0,0,0,0,3,0,27,0,FALSE,->,->,->
GO_BP,4,GOBP_AMYLOID_BETA_CLEARANCE_BY_CELLULAR_CATABOLIC_PROCESS,4,4,0,0,0,0,0,0,4,0,FALSE,->,->,->
GO_BP,5,GOBP_AMYLOID_BETA_CLEARANCE_BY_TRANSCYTOSIS,5,5,0,0,0,0,0,0,5,0,FALSE,->,->,->
GO_BP,24,GOBP_AMYLOID_BETA_FORMATION,27,24,0,0,0,0,3,0,24,0,FALSE,->,->,->
GO_BP,29,GOBP_AMYLOID_BETA_METABOLIC_PROCESS,33,29,0,0,0,0,4,0,29,0,FALSE,->,->,->
GO_BP,22,GOBP_AMYLOID_FIBRIL_FORMATION,27,22,0,0,0,0,5,0,22,0,FALSE,->,->,->
GO_BP,3,GOBP_AMYLOID_PRECURSOR_PROTEIN_BIOSYNTHETIC_PROCESS,3,3,0,0,0,0,0,0,3,0,FALSE,->,->,->
GO_BP,36,GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS,39,36,0,0,0,0,3,0,36,0,FALSE,->,->,->
GO_BP,41,GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS,44,41,0,0,0,0,3,0,41,0,FALSE,->,->,->
