matrix_symbol,current_symbol,entrez_id,resolution,mapped_after_normalisation,normalisation_source,org_mm_eg_db_version
Col4a3bp,Cert1,68018,accepted,TRUE,org.Mm.eg.db,3.22.0
Colca2,Pou2af3,100502940,accepted,TRUE,org.Mm.eg.db,3.22.0
Cramp1l,Cramp1,57354,accepted,TRUE,org.Mm.eg.db,3.22.0
Csnk2a3,Csnk2a1-ps3,100039026,accepted,FALSE,org.Mm.eg.db,3.22.0
D10Wsu102e,Nopchap1,28109,accepted,TRUE,org.Mm.eg.db,3.22.0
D130040H23Rik,Zfp781a,211135,accepted,FALSE,org.Mm.eg.db,3.22.0
D130058E05Rik,Gbx2,14472,accepted,TRUE,org.Mm.eg.db,3.22.0
D1Ertd622e,Macir,52392,accepted,TRUE,org.Mm.eg.db,3.22.0
D230025D16Rik,Phaf1,234678,accepted,TRUE,org.Mm.eg.db,3.22.0
D430042O09Rik,Katnip,233865,accepted,TRUE,org.Mm.eg.db,3.22.0
Ddx39,Ddx39a,68278,accepted,TRUE,org.Mm.eg.db,3.22.0
Ddx58,Rigi,230073,accepted,TRUE,org.Mm.eg.db,3.22.0
E130309D02Rik,Ints15,231868,accepted,TRUE,org.Mm.eg.db,3.22.0
E430024P14Rik,Gm1604a,100040822,accepted,FALSE,org.Mm.eg.db,3.22.0
Elmsan1,Mideas,238317,accepted,TRUE,org.Mm.eg.db,3.22.0
Ero1l,Ero1a,50527,accepted,TRUE,org.Mm.eg.db,3.22.0
Ero1lb,Ero1b,67475,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam126a,Hycc1,84652,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam126b,Hycc2,213056,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam129a,Niban1,63913,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam129b,Niban2,227737,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam129c,Niban3,100037278,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam155a,Nalf1,270028,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam160a1,Fhip1a,229488,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam160a2,Fhip1b,74349,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam160b1,Fhip2a,226252,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam160b2,Fhip2b,239170,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam173a,Antkmt,214917,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam189b,Entrep3,68521,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam192a,Psme3ip1,102122,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam214a,Atosa,235493,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam214b,Atosb,230088,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam45a,Dennd10,67894,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam49a,Cyria,76820,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam49b,Cyrib,223601,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam57a,Tlcd3a,116972,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam71b,Garin3,432552,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam71e1,Garin5a,75538,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam71f2,Garin1a,245884,accepted,TRUE,org.Mm.eg.db,3.22.0
Fam92a,Cibar1,68099,accepted,TRUE,org.Mm.eg.db,3.22.0
Fgfr1op,Cep43,75296,accepted,TRUE,org.Mm.eg.db,3.22.0
Fopnl,Cep20,66086,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm10125,Zeb1os1,791318,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm10130,Zfp1001,102633750,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm10131,Erhrt-ps,100042777,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm10282,Hmgn2-ps,100042405,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm10451,Ppp1r36dn,100041694,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm10651,Josd1-ps,100043771,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm10925,Atp6-ps,100503946,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm1141,Pasd1,382221,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm11575,Sec61g-ps2,102637269,accepted,FALSE,org.Mm.eg.db,3.22.0
