pathway_id,pathway_name,database,contrast,nes,pvalue,padj,set_size,core_enrichment,direction
TF_Aire,Aire,CollecTRI,Geno_at_39,0.14800920518838198,0.8823370201357565,0.9855950271347687,16,Crebbp/Fos/Tg/Muc6/Cstb/Pias1/Cd28/Aire/Il2ra/Tspoap1/Ica1/Bmp2/Nfkbia/Ifnb1/Rac1/Col2a1,Up
TF_Aire,Aire,CollecTRI,Geno_main,0.08866723455658164,0.9293472753263944,0.9768538453111302,16,Crebbp/Fos/Tg/Muc6/Cstb/Pias1/Cd28/Aire/Il2ra/Tspoap1/Ica1/Bmp2/Nfkbia/Ifnb1/Rac1/Col2a1,Up
TF_Aire,Aire,CollecTRI,Interaction,0.1402651459253607,0.8884519372392549,0.9922607047517057,16,Crebbp/Fos/Tg/Muc6/Cstb/Pias1/Cd28/Aire/Il2ra/Tspoap1/Ica1/Bmp2/Nfkbia/Ifnb1/Rac1/Col2a1,Up
TF_Aire,Aire,CollecTRI,KO_heat,-0.39762212309106437,0.6909130636870031,0.819112135302474,16,Crebbp/Fos/Tg/Muc6/Cstb/Pias1/Cd28/Aire/Il2ra/Tspoap1/Ica1/Bmp2/Nfkbia/Ifnb1/Rac1/Col2a1,Down
TF_Aire,Aire,CollecTRI,Temp_main,-0.38552125795308456,0.699855427237744,0.8342479549319484,16,Crebbp/Fos/Tg/Muc6/Cstb/Pias1/Cd28/Aire/Il2ra/Tspoap1/Ica1/Bmp2/Nfkbia/Ifnb1/Rac1/Col2a1,Down
TF_Aire,Aire,CollecTRI,WT_heat,-0.3626335039336731,0.7168825738048168,0.840835532198876,16,Crebbp/Fos/Tg/Muc6/Cstb/Pias1/Cd28/Aire/Il2ra/Tspoap1/Ica1/Bmp2/Nfkbia/Ifnb1/Rac1/Col2a1,Down
TF_Ap1,Ap1,CollecTRI,Geno_at_37,-0.47605902094242175,0.6340376158763252,0.9730277056151729,429,Jun/Esr1/Il6/Timp1/Mapk8/Ccl5/Nos2/Ctla4/Map2k1/Clu/Gclc/Oxtr/Il5/Tnf/Il1b/Ercc1/Fn1/Dld/Trp53/Krt18/Mmp9/Btg1/Abcb1a/Mapk3/Egr1/Sncg/Icam1/Apex1/Hbegf/Prkcg/Sp4/Fos/Ccnd1/Nr4a1/Cd3e/Fas/Serpine1/Hmox1/Cfi/Cxcl14/Ngf/Sla/Plau/Ddit3/Il2/Tgfb1/Tcea1/Hgf/Tm9sf2/Prkcq,Down
TF_Ap1,Ap1,CollecTRI,Geno_at_39,0.3419625533032379,0.7323827253784461,0.9757313304979699,429,Jun/Esr1/Il6/Timp1/Mapk8/Ccl5/Nos2/Ctla4/Map2k1/Clu/Gclc/Oxtr/Il5/Tnf/Il1b/Ercc1/Fn1/Dld/Trp53/Krt18/Mmp9/Btg1/Abcb1a/Mapk3/Egr1/Sncg/Icam1/Apex1/Hbegf/Prkcg/Sp4/Fos/Ccnd1/Nr4a1/Cd3e/Fas/Serpine1/Hmox1/Cfi/Cxcl14/Ngf/Sla/Plau/Ddit3/Il2/Tgfb1/Tcea1/Hgf/Tm9sf2/Prkcq,Up
TF_Ap1,Ap1,CollecTRI,Geno_main,-0.050735537078453304,0.9595367735866145,0.991169854034525,429,Jun/Esr1/Il6/Timp1/Mapk8/Ccl5/Nos2/Ctla4/Map2k1/Clu/Gclc/Oxtr/Il5/Tnf/Il1b/Ercc1/Fn1/Dld/Trp53/Krt18/Mmp9/Btg1/Abcb1a/Mapk3/Egr1/Sncg/Icam1/Apex1/Hbegf/Prkcg/Sp4/Fos/Ccnd1/Nr4a1/Cd3e/Fas/Serpine1/Hmox1/Cfi/Cxcl14/Ngf/Sla/Plau/Ddit3/Il2/Tgfb1/Tcea1/Hgf/Tm9sf2/Prkcq,Down
TF_Ap1,Ap1,CollecTRI,Interaction,0.6330460376613314,0.5267109363970931,0.9615141045503687,429,Jun/Esr1/Il6/Timp1/Mapk8/Ccl5/Nos2/Ctla4/Map2k1/Clu/Gclc/Oxtr/Il5/Tnf/Il1b/Ercc1/Fn1/Dld/Trp53/Krt18/Mmp9/Btg1/Abcb1a/Mapk3/Egr1/Sncg/Icam1/Apex1/Hbegf/Prkcg/Sp4/Fos/Ccnd1/Nr4a1/Cd3e/Fas/Serpine1/Hmox1/Cfi/Cxcl14/Ngf/Sla/Plau/Ddit3/Il2/Tgfb1/Tcea1/Hgf/Tm9sf2/Prkcq,Up
TF_Ap1,Ap1,CollecTRI,KO_heat,3.833417647205056,1.267684337270349e-4,0.0033365451756955586,429,Jun/Esr1/Il6/Timp1/Mapk8/Ccl5/Nos2/Ctla4/Map2k1/Clu/Gclc/Oxtr/Il5/Tnf/Il1b/Ercc1/Fn1/Dld/Trp53/Krt18/Mmp9/Btg1/Abcb1a/Mapk3/Egr1/Sncg/Icam1/Apex1/Hbegf/Prkcg/Sp4/Fos/Ccnd1/Nr4a1/Cd3e/Fas/Serpine1/Hmox1/Cfi/Cxcl14/Ngf/Sla/Plau/Ddit3/Il2/Tgfb1/Tcea1/Hgf/Tm9sf2/Prkcq,Up
TF_Ap1,Ap1,CollecTRI,Temp_main,4.045816436937273,5.234009336819171e-5,0.0014349908931779228,429,Jun/Esr1/Il6/Timp1/Mapk8/Ccl5/Nos2/Ctla4/Map2k1/Clu/Gclc/Oxtr/Il5/Tnf/Il1b/Ercc1/Fn1/Dld/Trp53/Krt18/Mmp9/Btg1/Abcb1a/Mapk3/Egr1/Sncg/Icam1/Apex1/Hbegf/Prkcg/Sp4/Fos/Ccnd1/Nr4a1/Cd3e/Fas/Serpine1/Hmox1/Cfi/Cxcl14/Ngf/Sla/Plau/Ddit3/Il2/Tgfb1/Tcea1/Hgf/Tm9sf2/Prkcq,Up
TF_Ap1,Ap1,CollecTRI,WT_heat,4.154776264315643,3.269808475961554e-5,8.964724904927928e-4,429,Jun/Esr1/Il6/Timp1/Mapk8/Ccl5/Nos2/Ctla4/Map2k1/Clu/Gclc/Oxtr/Il5/Tnf/Il1b/Ercc1/Fn1/Dld/Trp53/Krt18/Mmp9/Btg1/Abcb1a/Mapk3/Egr1/Sncg/Icam1/Apex1/Hbegf/Prkcg/Sp4/Fos/Ccnd1/Nr4a1/Cd3e/Fas/Serpine1/Hmox1/Cfi/Cxcl14/Ngf/Sla/Plau/Ddit3/Il2/Tgfb1/Tcea1/Hgf/Tm9sf2/Prkcq,Up
