"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","arm","ontology","iea_variant","n_query_annotated","n_universe_annotated","term_size","fold_enrichment","simplify_kept","cluster_id","cluster_size","cluster_representative","k_null_matched_mean","k_null_matched_q95","p_matched","frac_matched_reaching_q","k_null_uniform_mean","p_uniform","frac_uniform_reaching_q"
"GO:2001238","positive regulation of extrinsic apoptotic signaling pathway","7/186","37/11390",0.189189189189189,11.5852949723917,8.30923853053414,1.88206643325923e-06,0.000227131199104694,0.000183343887948124,"ATF3/CD40LG/FASLG/INHBA/LTA/TNFSF11/TNFSF14",7,"WT_heat_up","BP","no_iea",186,11390,37,11.5852949723917,FALSE,6,23,"G protein-coupled receptor signaling pathway",NA,NA,NA,NA,NA,NA,NA
"GO:0002696","positive regulation of leukocyte activation","16/186","241/11390",0.0663900414937759,4.06549770222639,6.19732507120953,2.0239652677325e-06,0.000233635990688252,0.000188594658357134,"ADAM8/CCL3/CD200/CD40LG/CD70/CD80/GPR183/HAVCR1/HSPH1/IL1A/IL2/IL23A/NR4A3/TNFSF11/TNFSF14/TNFSF9",16,"WT_heat_up","BP","no_iea",186,11390,241,4.06549770222639,FALSE,1,24,"positive regulation of cell population proliferation",NA,NA,NA,NA,NA,NA,NA
"GO:0002694","regulation of leukocyte activation","20/186","366/11390",0.0546448087431694,3.34626006228333,5.87840910220841,2.18774229424172e-06,0.000242018991300491,0.00019536154873141,"ADAM8/CCL3/CD200/CD40LG/CD70/CD80/GPR183/HAVCR1/HSPH1/IL1A/IL2/IL23A/INHBA/KLRC1/NR4A3/SDC4/SPHK1/TNFSF11/TNFSF14/TNFSF9",20,"WT_heat_up","BP","no_iea",186,11390,366,3.34626006228333,FALSE,1,24,"positive regulation of cell population proliferation",NA,NA,NA,NA,NA,NA,NA
"GO:0045597","positive regulation of cell differentiation","23/186","475/11390",0.0484210526315789,2.96513865308432,5.63690676156446,2.8714641803535e-06,0.000304949495953541,0.000246160045103146,"ADAM8/CALCA/CCN1/CD80/CSF2/CTH/DAB2/EGR2/GDF6/HSPA1A/IL2/IL23A/INHBA/PLXNB2/PTGS2/SERPINE1/SP7/TGM2/TNFSF11/TNFSF9/TP73/WNT3/YAP1",23,"WT_heat_up","BP","no_iea",186,11390,475,2.96513865308432,TRUE,9,15,"positive regulation of cell differentiation",NA,NA,NA,NA,NA,NA,NA
"GO:0045744","negative regulation of G protein-coupled receptor signaling pathway","7/186","42/11390",0.166666666666667,10.2060931899642,7.70110539283317,4.60326892108412e-06,0.000461093455639095,0.000372201913244602,"ADM/APLP1/ATP2B4/BICD1/CALCA/PLEK/SERPINE1",7,"WT_heat_up","BP","no_iea",186,11390,42,10.2060931899642,FALSE,6,23,"G protein-coupled receptor signaling pathway",NA,NA,NA,NA,NA,NA,NA
"GO:0008277","regulation of G protein-coupled receptor signaling pathway","10/186","99/11390",0.101010101010101,6.1855110242207,6.67660485629042,4.68908598955012e-06,0.000461093455639095,0.000372201913244602,"ADM/APLP1/ATP2B4/BICD1/C3/CALCA/GRP/PLEK/RGS16/SERPINE1",10,"WT_heat_up","BP","no_iea",186,11390,99,6.1855110242207,FALSE,6,23,"G protein-coupled receptor signaling pathway",NA,NA,NA,NA,NA,NA,NA
"GO:0070661","leukocyte proliferation","13/186","175/11390",0.0742857142857143,4.54900153609831,6.09590641732798,5.64735628797814e-06,0.000518008756450979,0.000418144842158467,"CD40LG/CD70/CD80/CLU/CSF2/GPR183/IL1A/IL2/IL23A/NPR3/SDC4/TNFSF14/TNFSF9",13,"WT_heat_up","BP","no_iea",186,11390,175,4.54900153609831,TRUE,1,24,"positive regulation of cell population proliferation",NA,NA,NA,NA,NA,NA,NA
"GO:0060429","epithelium development","22/186","459/11390",0.0479302832244009,2.93508562325767,5.45241997883463,5.65809941132896e-06,0.000518008756450979,0.000418144842158467,"ALDH1A2/CLDN4/DAB2/EPHA2/INHBA/IRF6/KDM6B/OPHN1/PAK1/PDGFB/PLXNB2/RIPK4/S1PR3/SERPINE1/SPINT1/SPRY1/STRA6/TGM1/TMEFF2/TP73/WNT3/YAP1",22,"WT_heat_up","BP","no_iea",186,11390,459,2.93508562325767,TRUE,2,25,"vasculature development",NA,NA,NA,NA,NA,NA,NA
"GO:0097191","extrinsic apoptotic signaling pathway","12/186","152/11390",0.0789473684210526,4.83446519524618,6.13189625862446,7.00854003995438e-06,0.000620255793535963,0.000500680263906916,"ATF3/CD40LG/CD70/CSF2/FASLG/HSPA1A/IL1A/INHBA/LTA/SERPINE1/TNFSF11/TNFSF14",12,"WT_heat_up","BP","no_iea",186,11390,152,4.83446519524618,FALSE,6,23,"G protein-coupled receptor signaling pathway",NA,NA,NA,NA,NA,NA,NA
"GO:0006897","endocytosis","21/186","432/11390",0.0486111111111111,2.97677718040621,5.39692848030377,7.55638581840656e-06,0.000647167882189336,0.000522404126528888,"ADM/ADORA2A/ANXA2/ANXA3/BICD1/C3/CALCA/CLU/DAB2/EHD2/EPN2/HAVCR1/HSPG2/MST1R/OPHN1/PAK1/PLXNB2/RAB34/SERPINE1/SPHK1/TGM2",21,"WT_heat_up","BP","no_iea",186,11390,432,2.97677718040621,TRUE,10,16,"endocytosis",NA,NA,NA,NA,NA,NA,NA
"GO:0030316","osteoclast differentiation","8/186","64/11390",0.125,7.65456989247312,6.87835232539145,8.81616122489856e-06,0.000731465876628302,0.000590450797825443,"ANXA2/CALCA/CCL3/EPHA2/GPR183/IL23A/TNFRSF11B/TNFSF11",8,"WT_heat_up","BP","no_iea",186,11390,64,7.65456989247312,TRUE,9,15,"positive regulation of cell differentiation",NA,NA,NA,NA,NA,NA,NA
"GO:0071674","mononuclear cell migration","11/186","135/11390",0.0814814814814815,4.98964555953803,6.00815554703504,1.26368884583436e-05,0.00101669511687583,0.000820692341345696,"ADAM8/ASB2/CALCA/CCL20/CCL3/CCL4/CD200/GPR183/PDGFB/SERPINE1/TNFSF11",11,"WT_heat_up","BP","no_iea",186,11390,135,4.98964555953803,TRUE,7,18,"positive regulation of cell migration",NA,NA,NA,NA,NA,NA,NA
"GO:0022409","positive regulation of cell-cell adhesion","14/186","219/11390",0.0639269406392694,3.91466588108214,5.61148139302879,1.3883422155467e-05,0.00104767500794163,0.000845699798263121,"ADAM8/CD40LG/CD70/CD80/EMILIN2/HSPH1/IL1A/IL2/IL23A/NR4A3/PLAUR/TNFSF11/TNFSF14/TNFSF9",14,"WT_heat_up","BP","no_iea",186,11390,219,3.91466588108214,TRUE,11,7,"positive regulation of cell-cell adhesion",NA,NA,NA,NA,NA,NA,NA
"GO:0050679","positive regulation of epithelial cell proliferation","9/186","89/11390",0.101123595505618,6.19246103660747,6.33610740836901,1.40539224354891e-05,0.00104767500794163,0.000845699798263121,"AREG/EGFR/EGR3/F3/NR4A1/NR4A3/PDGFB/TGM1/YAP1",9,"WT_heat_up","BP","no_iea",186,11390,89,6.19246103660747,FALSE,1,24,"positive regulation of cell population proliferation",NA,NA,NA,NA,NA,NA,NA
"GO:0019221","cytokine-mediated signaling pathway","18/186","346/11390",0.0520231213872832,3.18571694946858,5.31963076495395,1.42057628195475e-05,0.00104767500794163,0.000845699798263121,"CCL22/CCL3/CCL4/CSF2/EGR1/F3/GFI1/HSPA1A/IL17F/IL1A/IL1RN/IL2/IL3/IL9/OAS3/PDGFB/SPHK1/TNFSF11",18,"WT_heat_up","BP","no_iea",186,11390,346,3.18571694946858,TRUE,12,5,"cytokine-mediated signaling pathway",NA,NA,NA,NA,NA,NA,NA
"GO:0050900","leukocyte migration","14/186","223/11390",0.062780269058296,3.84444765899995,5.52706839276828,1.70299063660419e-05,0.00122201084869841,0.000986426439865187,"ADAM8/ASB2/C3/CALCA/CCL20/CCL22/CCL3/CCL4/CD200/GPR183/ITGA3/PDGFB/SERPINE1/TNFSF11",14,"WT_heat_up","BP","no_iea",186,11390,223,3.84444765899995,FALSE,7,18,"positive regulation of cell migration",NA,NA,NA,NA,NA,NA,NA
"GO:0048260","positive regulation of receptor-mediated endocytosis","6/186","35/11390",0.171428571428571,10.4976958525346,7.25055797249517,1.91496755497436e-05,0.00133795759433077,0.00108002048252848,"ANXA2/BICD1/C3/CLU/DAB2/SERPINE1",6,"WT_heat_up","BP","no_iea",186,11390,35,10.4976958525346,TRUE,10,16,"endocytosis",NA,NA,NA,NA,NA,NA,NA
"GO:0002573","myeloid leukocyte differentiation","11/186","142/11390",0.0774647887323944,4.74367711646221,5.78385799504591,2.03872098828052e-05,0.00138789851894481,0.00112033358492284,"ANXA2/BATF3/CALCA/CCL3/CSF2/EPHA2/GPR183/IL23A/INHBA/TNFRSF11B/TNFSF11",11,"WT_heat_up","BP","no_iea",186,11390,142,4.74367711646221,FALSE,9,15,"positive regulation of cell differentiation",NA,NA,NA,NA,NA,NA,NA
"GO:0070665","positive regulation of leukocyte proliferation","9/186","94/11390",0.0957446808510638,5.86307481125601,6.09993565731195,2.19278377028095e-05,0.00145546022752398,0.00117487046218211,"CD40LG/CD70/CD80/CSF2/GPR183/IL1A/IL2/IL23A/TNFSF9",9,"WT_heat_up","BP","no_iea",186,11390,94,5.86307481125601,FALSE,1,24,"positive regulation of cell population proliferation",NA,NA,NA,NA,NA,NA,NA
