"arm","ontology","iea_variant","ID","cluster_id","Description","p.adjust","Count","cluster_size","cluster_representative","cluster_min_padj"
"WT_heat_up","BP","with_iea","GO:1903037",10,"regulation of leukocyte cell-cell adhesion",0.00233480568645513,16,7,"positive regulation of cell adhesion",0.000105513251350538
"WT_heat_up","BP","with_iea","GO:0048520",5,"positive regulation of behavior",0.00253388524508349,4,5,"positive regulation of locomotion",2.35044382927788e-06
"WT_heat_up","BP","with_iea","GO:0043065",19,"positive regulation of apoptotic process",0.00259562580796326,19,7,"positive regulation of programmed cell death",0.00148903823093093
"WT_heat_up","BP","with_iea","GO:0050870",9,"positive regulation of T cell activation",0.00268656700113933,13,21,"positive regulation of cell activation",7.48043675535837e-05
"WT_heat_up","BP","with_iea","GO:0050679",12,"positive regulation of epithelial cell proliferation",0.00272936253047089,10,23,"leukocyte proliferation",0.000438689922351499
"WT_heat_up","BP","with_iea","GO:0007189",6,"adenylate cyclase-activating G protein-coupled receptor signaling pathway",0.00275687751973083,9,29,"cytokine-mediated signaling pathway",2.03952409726322e-05
"WT_heat_up","BP","with_iea","GO:0050795",5,"regulation of behavior",0.00276606912872208,6,5,"positive regulation of locomotion",2.35044382927788e-06
"WT_heat_up","BP","with_iea","GO:0007498",1,"mesoderm development",0.00277549355548203,8,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0051251",9,"positive regulation of lymphocyte activation",0.00277549355548203,15,21,"positive regulation of cell activation",7.48043675535837e-05
"WT_heat_up","BP","with_iea","GO:0002274",9,"myeloid leukocyte activation",0.00282363647065884,12,21,"positive regulation of cell activation",7.48043675535837e-05
"WT_heat_up","BP","with_iea","GO:0007409",20,"axonogenesis",0.00282363647065884,16,8,"axonogenesis",0.00282363647065884
"WT_heat_up","BP","with_iea","GO:0070665",12,"positive regulation of leukocyte proliferation",0.00282363647065884,10,23,"leukocyte proliferation",0.000438689922351499
"WT_heat_up","BP","with_iea","GO:0002009",1,"morphogenesis of an epithelium",0.00282363647065884,17,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0007507",1,"heart development",0.00285530223351041,19,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0051249",9,"regulation of lymphocyte activation",0.00285530223351041,19,21,"positive regulation of cell activation",7.48043675535837e-05
"WT_heat_up","BP","with_iea","GO:0070371",6,"ERK1 and ERK2 cascade",0.00303390269539473,13,29,"cytokine-mediated signaling pathway",2.03952409726322e-05
"WT_heat_up","BP","with_iea","GO:0048812",20,"neuron projection morphogenesis",0.00311439704885163,20,8,"axonogenesis",0.00282363647065884
"WT_heat_up","BP","with_iea","GO:0060537",1,"muscle tissue development",0.00313771907008441,15,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0008217",11,"regulation of blood pressure",0.00333678810281281,9,15,"regulation of body fluid levels",0.000326939861902462
"WT_heat_up","BP","with_iea","GO:0002443",13,"leukocyte mediated immunity",0.00341398618416404,16,8,"humoral immune response",0.000445570403798779
"WT_heat_up","BP","with_iea","GO:0046890",21,"regulation of lipid biosynthetic process",0.00344161916400282,10,7,"regulation of lipid biosynthetic process",0.00344161916400282
"WT_heat_up","BP","with_iea","GO:0048259",16,"regulation of receptor-mediated endocytosis",0.00375328653765685,8,12,"positive regulation of secretion by cell",0.00110278628228388
"WT_heat_up","BP","with_iea","GO:0061041",7,"regulation of wound healing",0.00375328653765685,8,19,"response to wounding",3.74651045292467e-05
"WT_heat_up","BP","with_iea","GO:0003013",8,"circulatory system process",0.00375328653765685,18,12,"tissue remodeling",4.43350331575523e-05
"WT_heat_up","BP","with_iea","GO:0001892",1,"embryonic placenta development",0.00375328653765685,7,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0002526",22,"acute inflammatory response",0.00375328653765685,7,5,"acute inflammatory response",0.00375328653765685
"WT_heat_up","BP","with_iea","GO:0030900",1,"forebrain development",0.00375328653765685,14,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0048247",2,"lymphocyte chemotaxis",0.00399915310872844,5,29,"positive regulation of cell migration",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0008544",1,"epidermis development",0.00405569256156461,13,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0120039",20,"plasma membrane bounded cell projection morphogenesis",0.00412103227209462,20,8,"axonogenesis",0.00282363647065884
"WT_heat_up","BP","with_iea","GO:1903530",16,"regulation of secretion by cell",0.00412187922902617,18,12,"positive regulation of secretion by cell",0.00110278628228388
