"ID","term_size","k_obs","p_obs_recomputed","q_obs_recomputed","k_null_matched_mean","k_null_matched_q95","p_matched","frac_matched_reaching_q","k_null_uniform_mean","p_uniform","frac_uniform_reaching_q","arm","ontology","iea_variant","Description","p_adjust_hypergeometric","simplify_kept"
"GO:0044060",26,4,0.000689616384276572,0.0129717227142973,1.018,3,0.0184907546226887,0.0282574568288854,0.3445,0.000999500249875062,0.00169204737732657,"WT_heat_up","BP","with_iea","regulation of endocrine process",0.0129717227142973,FALSE
"GO:0007596",185,10,0.00071339707787849,0.0133444886734271,5.3785,9,0.0414792603698151,0.0758412857860372,2.7925,0.00149925037481259,0,"WT_heat_up","BP","with_iea","blood coagulation",0.0133444886734271,TRUE
"GO:0007411",153,9,0.000720447881852287,0.0134019227524677,4.4875,8,0.0379810094952524,0.0686521958606764,2.2975,0.00149925037481259,0,"WT_heat_up","BP","with_iea","axon guidance",0.0134019227524677,FALSE
"GO:0042692",291,13,0.000728679784423192,0.0134805760118291,9.7135,15,0.154422788605697,0.237,4.4915,0.000999500249875062,0,"WT_heat_up","BP","with_iea","muscle cell differentiation",0.0134805760118291,TRUE
"GO:0050817",186,10,0.000743775568111411,0.0136846575837766,5.442,9,0.0444777611194403,0.0798192771084337,2.8145,0.00149925037481259,0,"WT_heat_up","BP","with_iea","coagulation",0.0136846575837766,TRUE
"GO:0044706",154,9,0.000754921914741569,0.0137019016770295,4.916,9,0.0559720139930035,0.0949271722752386,2.3115,0.000499750124937531,0,"WT_heat_up","BP","with_iea","multi-multicellular organism process",0.0137019016770295,TRUE
"GO:0097485",154,9,0.000754921914741569,0.0137019016770295,4.5085,8,0.0379810094952524,0.0676426047450782,2.3175,0.00199900049975012,0,"WT_heat_up","BP","with_iea","neuron projection guidance",0.0137019016770295,FALSE
"GO:1903557",95,7,0.000756921209363671,0.0137019016770295,4.0975,7,0.109945027486257,0.154311649016641,1.4235,0.000999500249875062,0,"WT_heat_up","BP","with_iea","positive regulation of tumor necrosis factor superfamily cytokine production",0.0137019016770295,FALSE
"GO:0045780",12,3,0.000770819730781248,0.0138788771847084,0.274,1,0.00249875062468766,0.00804828973843058,0.154,0.00149925037481259,0,"WT_heat_up","BP","with_iea","positive regulation of bone resorption",0.0138788771847084,TRUE
"GO:0010574",27,4,0.000799625821995985,0.0143209582056409,0.9865,3,0.0144927536231884,0.0216383307573416,0.3925,0.00149925037481259,0,"WT_heat_up","BP","with_iea","regulation of vascular endothelial growth factor production",0.0143209582056409,FALSE
"GO:0036293",258,12,0.000819807214459902,0.0146047137094523,9.124,14,0.195902048975512,0.2795,3.92,0.000499750124937531,0,"WT_heat_up","BP","with_iea","response to decreased oxygen levels",0.0146047137094523,FALSE
"GO:0050829",47,5,0.000839571600623827,0.0148780925226338,1.468,4,0.0129935032483758,0.0158328055731476,0.6965,0.000999500249875062,0,"WT_heat_up","BP","with_iea","defense response to Gram-negative bacterium",0.0148780925226338,FALSE
"GO:0070663",224,11,0.000866467567667704,0.0152743261797757,9.311,14,0.323338330834583,0.436,3.412,0.00199900049975012,0,"WT_heat_up","BP","with_iea","regulation of leukocyte proliferation",0.0152743261797757,FALSE
"GO:0071772",98,7,0.000910800209301804,0.0158894523560579,3.5035,7,0.0584707646176912,0.0732714138286894,1.432,0.000999500249875062,0,"WT_heat_up","BP","with_iea","response to BMP",0.0158894523560579,TRUE
"GO:0071773",98,7,0.000910800209301804,0.0158894523560579,3.5035,7,0.0584707646176912,0.0732714138286894,1.432,0.000999500249875062,0,"WT_heat_up","BP","with_iea","cellular response to BMP stimulus",0.0158894523560579,TRUE
"GO:0001656",48,5,0.000925331728205215,0.0159773945070101,1.8825,4,0.0364817591204398,0.0421545667447307,0.69,0.000999500249875062,0,"WT_heat_up","BP","with_iea","metanephros development",0.0159773945070101,FALSE
"GO:0002920",28,4,0.000921466537768748,0.0159773945070101,0.898,3,0.0104947526236882,0.0165562913907285,0.368,0.000999500249875062,0,"WT_heat_up","BP","with_iea","regulation of humoral immune response",0.0159773945070101,TRUE
"GO:0007599",192,10,0.000949284813013979,0.0162043201984557,5.542,9,0.0489755122438781,0.0748367654445003,2.8925,0.00149925037481259,0,"WT_heat_up","BP","with_iea","hemostasis",0.0162043201984557,FALSE
"GO:0046632",128,8,0.000957724894414224,0.0162043201984557,5.3875,9,0.153423288355822,0.191767068273092,1.9145,0.000499750124937531,0,"WT_heat_up","BP","with_iea","alpha-beta T cell differentiation",0.0162043201984557,FALSE
"GO:0061138",128,8,0.000957724894414224,0.0162043201984557,5.2235,9,0.139430284857571,0.167923579688286,1.9245,0.000999500249875062,0,"WT_heat_up","BP","with_iea","morphogenesis of a branching epithelium",0.0162043201984557,FALSE
"GO:1905954",72,6,0.000949640712146575,0.0162043201984557,2.4025,5,0.0344827586206897,0.0386079390973355,1.0505,0.000999500249875062,0,"WT_heat_up","BP","with_iea","positive regulation of lipid localization",0.0162043201984557,TRUE
"GO:0002922",13,3,0.000990443981453784,0.0162674384661214,0.513,2,0.0119940029985007,0.0278787878787879,0.159,0.000999500249875062,0,"WT_heat_up","BP","with_iea","positive regulation of humoral immune response",0.0162674384661214,FALSE
"GO:0006700",13,3,0.000990443981453784,0.0162674384661214,0.3715,1,0.00399800099950025,0.0109375,0.147,0.000499750124937531,0,"WT_heat_up","BP","with_iea","C21-steroid hormone biosynthetic process",0.0162674384661214,TRUE
"GO:0035809",13,3,0.000990443981453784,0.0162674384661214,0.362,1,0.00449775112443778,0.0128617363344051,0.1605,0.000999500249875062,0,"WT_heat_up","BP","with_iea","regulation of urine volume",0.0162674384661214,TRUE
