"gene_symbol","ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","contrast"
"Agpat3","ENSMUSG00000001211.15",-0.0801866323,7.96582071,-3.9522377,0.000444188604,0.00116549167,"Temp_main"
"Spink2","ENSMUSG00000053030.11",0.32464247,-0.338171477,3.95216295,0.000444279154,0.00116557385,"Temp_main"
"Rpl19-ps11","ENSMUSG00000081094.4",-0.0824890112,8.89679655,-3.95138544,0.000445222047,0.00116789185,"Temp_main"
"Galnt4","ENSMUSG00000090035.3",-0.209036697,3.75267178,-3.94945178,0.000447575522,0.00117390893,"Temp_main"
"Pip5k1c","ENSMUSG00000034902.17",-0.0972788927,7.37168674,-3.94933812,0.000447714244,0.00117411628,"Temp_main"
"Tor3a","ENSMUSG00000060519.11",-0.200984555,3.20032416,-3.94904562,0.000448071409,0.00117489637,"Temp_main"
"Gm37333","ENSMUSG00000104524.1",-0.360943413,1.01182117,-3.94863098,0.000448578206,0.00117606855,"Temp_main"
"Rps6kb2","ENSMUSG00000024830.17",-0.144100476,4.81689813,-3.94835926,0.000448910631,0.00117678331,"Temp_main"
"Gm14586","ENSMUSG00000083621.1",-0.0941193458,8.27899479,-3.94800151,0.000449348657,0.00117777467,"Temp_main"
"Pank4","ENSMUSG00000029056.13",-0.105623806,5.69284327,-3.94704589,0.000450520792,0.00118068966,"Temp_main"
"Gm25945","ENSMUSG00000084433.1",0.308107911,0.683223361,3.94693782,0.000450653537,0.00118088029,"Temp_main"
"Fchsd2","ENSMUSG00000030691.15",-0.111160888,6.22048248,-3.94666215,0.000450992307,0.00118161065,"Temp_main"
"Cd151","ENSMUSG00000025510.14",-0.209263921,3.13714395,-3.94505441,0.000452973098,0.00118648444,"Temp_main"
"Aimp2","ENSMUSG00000029610.13",0.129618849,5.09845726,3.94506187,0.000452963887,0.00118648444,"Temp_main"
"Atp11c","ENSMUSG00000062949.13",-0.116309942,6.620573,-3.94466176,0.000453458158,0.0011875969,"Temp_main"
"Pitrm1","ENSMUSG00000021193.10",-0.116869997,6.83839344,-3.94423138,0.0004539904,0.00118883261,"Temp_main"
"Atad2","ENSMUSG00000022360.8",-0.0969589283,8.5142648,-3.94316858,0.000455307373,0.00119212264,"Temp_main"
"Bcl3","ENSMUSG00000053175.17",0.295663541,5.2896271,4.28953439,0.000455409669,0.00119223186,"Temp_main"
"Aimp1","ENSMUSG00000028029.11",-0.0835856711,6.40385702,-3.9427614,0.000455812929,0.00119312884,"Temp_main"
"Gm5503","ENSMUSG00000117730.1",-0.336355825,0.888540897,-3.94250436,0.00045613235,0.00119380616,"Temp_main"
"Zhx3","ENSMUSG00000035877.17",-0.125939056,4.70207488,-3.94238601,0.000456279496,0.00119403247,"Temp_main"
"1700021A07Rik","ENSMUSG00000037535.5",0.305249958,0.567239165,3.94227798,0.000456413843,0.00119422524,"Temp_main"
"B3gat3","ENSMUSG00000071649.6",-0.121426875,4.93130771,-3.94127671,0.000457660972,0.0011973292,"Temp_main"
"Ciao1","ENSMUSG00000003662.10",0.10895786,5.6194539,3.94111633,0.000457861037,0.00119769339,"Temp_main"
"Zfp709","ENSMUSG00000056019.12",-0.202429543,3.86818699,-3.94068016,0.000458405573,0.00119895843,"Temp_main"
"Preb","ENSMUSG00000045302.13",0.0962524482,6.6537428,3.94022112,0.000458979355,0.00120029963,"Temp_main"
"F8a","ENSMUSG00000078317.6",-0.182552067,3.29707158,-3.93962735,0.000459722589,0.00120208355,"Temp_main"
"E2f1","ENSMUSG00000027490.17",0.133680451,5.6816738,3.93906815,0.000460423628,0.00120375669,"Temp_main"
