query_name,gse,gpl,pctVar,pval,size,rank
Q_sig_WT_heat_up,GSE134326,GPL17021,1.87187486,NA,102,211
Q_sig_WT_heat_up,GSE192389,GPL21626,1.86908375,NA,72,212
Q_sig_WT_heat_up,GSE192390,GPL21626,1.86908375,NA,72,213
Q_sig_WT_heat_up,GSE146871,GPL24247,1.86520654,NA,85,214
Q_sig_WT_heat_up,GSE23534,GPL6885,1.86303591,NA,103,215
Q_sig_WT_heat_up,GSE171428,GPL24247,1.86193334,NA,77,216
Q_sig_WT_heat_up,GSE153508,GPL19057,1.85655653,NA,84,217
Q_sig_WT_heat_up,GSE184976,GPL21273,1.85536335,NA,99,218
Q_sig_WT_heat_up,GSE184978,GPL21273,1.85536335,NA,99,219
Q_sig_WT_heat_up,GSE188419,GPL13112,1.85526444,NA,78,220
Q_sig_WT_heat_up,GSE108451,GPL18635,1.85369098,NA,98,221
Q_sig_WT_heat_up,GSE144496,GPL13112,1.85076937,NA,108,222
Q_sig_WT_heat_up,GSE18752,GPL1261,1.84998396,NA,101,223
Q_sig_WT_heat_up,GSE86601,GPL22408,1.8493507,NA,81,224
Q_sig_WT_heat_up,GSE190201,GPL19057,1.83845698,NA,70,225
Q_sig_WT_heat_up,GSE81088,GPL15523,1.83833701,NA,114,226
Q_sig_WT_heat_up,GSE71165,GPL17021,1.83262773,NA,76,227
Q_sig_WT_heat_up,GSE137717,GPL17021,1.82986656,NA,80,228
Q_sig_WT_heat_up,GSE189385,GPL24247,1.82676917,NA,95,229
Q_sig_WT_heat_up,GSE113949,GPL17021,1.82390302,NA,75,230
Q_sig_WT_heat_up,GSE58398,GPL13112,1.81824826,NA,88,231
Q_sig_WT_heat_up,GSE115732,GPL18480,1.81519627,NA,79,232
Q_sig_WT_heat_up,GSE240402,GPL24247,1.81285054,NA,79,233
Q_sig_WT_heat_up,GSE118921,GPL6246,1.81008887,NA,100,234
Q_sig_WT_heat_up,GSE218500,GPL24247,1.80909126,NA,69,235
Q_sig_WT_heat_up,GSE82014,GPL19057,1.80776146,NA,75,236
Q_sig_WT_heat_up,GSE82015,GPL19057,1.80776146,NA,75,237
Q_sig_WT_heat_up,GSE54877,GPL13112,1.80706683,NA,65,238
Q_sig_WT_heat_up,GSE38686,GPL6887,1.80642492,NA,124,239
Q_sig_WT_heat_up,GSE45837,GPL6246,1.80636426,NA,75,240
Q_sig_WT_heat_up,GSE208374,GPL24247,1.8030861,NA,89,241
Q_sig_WT_heat_up,GSE100216,GPL21103,1.79977378,NA,74,242
Q_sig_WT_heat_up,GSE108015,GPL21103,1.79977378,NA,74,243
Q_sig_WT_heat_up,GSE145611,GPL24247,1.79955376,NA,73,244
Q_sig_WT_heat_up,GSE145612,GPL24247,1.79955376,NA,73,245
Q_sig_WT_heat_up,GSE143632,GPL1261,1.79474472,NA,75,246
Q_sig_WT_heat_up,GSE169717,GPL24247,1.78803569,NA,83,247
Q_sig_WT_heat_up,GSE161211,GPL17021,1.78542667,NA,94,248
Q_sig_WT_heat_up,GSE187394,GPL19057,1.78462449,NA,96,249
Q_sig_WT_heat_up,GSE164460,GPL1261,1.78401864,NA,81,250
Q_sig_WT_heat_up,GSE224271,GPL19057,1.78279873,NA,76,251
Q_sig_WT_heat_up,GSE110892,GPL21103,1.78188528,NA,93,252
Q_sig_WT_heat_up,GSE86167,GPL19057,1.77979082,NA,88,253
Q_sig_WT_heat_up,GSE86170,GPL19057,1.77979082,NA,88,254
Q_sig_WT_heat_up,GSE76190,GPL13112,1.7792854,NA,64,255
Q_sig_WT_heat_up,GSE215879,GPL17021,1.77831999,NA,84,256
Q_sig_WT_heat_up,GSE67653,GPL6885,1.77389552,NA,123,257
Q_sig_WT_heat_up,GSE143988,GPL19057,1.77156623,NA,103,258
Q_sig_WT_heat_up,GSE175578,GPL19057,1.7536958,NA,76,259
Q_sig_WT_heat_up,GSE253993,GPL24247,1.74934721,NA,95,260
Q_sig_WT_heat_up,GSE16145,GPL4134,1.73995833,NA,75,261
Q_sig_WT_heat_up,GSE94727,GPL10787,1.73721644,NA,59,262
Q_sig_WT_heat_up,GSE163338,GPL21103,1.73685288,NA,76,263
Q_sig_WT_heat_up,GSE163342,GPL21103,1.73685288,NA,76,264
Q_sig_WT_heat_up,GSE130383,GPL21626,1.73595028,NA,79,265
Q_sig_WT_heat_up,GSE160481,GPL13112,1.73036707,NA,89,266
Q_sig_WT_heat_up,GSE39756,GPL13112,1.72868682,NA,81,267
Q_sig_WT_heat_up,GSE232422,GPL21493,1.72619906,NA,115,268
Q_sig_WT_heat_up,GSE156192,GPL19057,1.72246283,NA,81,269
Q_sig_WT_heat_up,GSE165694,GPL17021,1.72160553,NA,81,270
Q_sig_WT_heat_up,GSE49507,GPL11533,1.71719043,NA,55,271
Q_sig_WT_heat_up,GSE113927,GPL6246,1.71616467,NA,111,272
Q_sig_WT_heat_up,GSE217551,GPL24247,1.71217214,NA,80,273
Q_sig_WT_heat_up,GSE184909,GPL24247,1.70747779,NA,80,274
Q_sig_WT_heat_up,GSE195843,GPL21493,1.70586899,NA,89,275
Q_sig_WT_heat_up,GSE220433,GPL24247,1.70438986,NA,63,276
Q_sig_WT_heat_up,GSE219187,GPL17021,1.7040717,NA,84,277
Q_sig_WT_heat_up,GSE40545,GPL6246,1.70116303,NA,102,278
Q_sig_WT_heat_up,GSE156827,GPL19057,1.70022064,NA,78,279
Q_sig_WT_heat_up,GSE154745,GPL24247,1.6988947,NA,89,280
Q_sig_WT_heat_up,GSE154747,GPL24247,1.6988947,NA,89,281
Q_sig_WT_heat_up,GSE23502,GPL1261,1.69768396,NA,91,282
Q_sig_WT_heat_up,GSE47959,GPL1261,1.69471086,NA,67,283
Q_sig_WT_heat_up,GSE226341,GPL17021,1.69425209,NA,78,284
Q_sig_WT_heat_up,GSE49971,GPL1261,1.69414611,NA,96,285
Q_sig_WT_heat_up,GSE83918,GPL13112,1.69280855,NA,75,286
Q_sig_WT_heat_up,GSE18108,GPL6246,1.68778972,NA,93,287
Q_sig_WT_heat_up,GSE140637,GPL21273,1.68643431,NA,98,288
Q_sig_WT_heat_up,GSE133796,GPL21103,1.68444782,NA,95,289
Q_sig_WT_heat_up,GSE88992,GPL1261,1.68078118,NA,91,290
Q_sig_WT_heat_up,GSE154230,GPL21103,1.67666503,NA,96,291
Q_sig_WT_heat_up,GSE29582,GPL1261,1.6761933,NA,84,292
Q_sig_WT_heat_up,GSE119270,GPL19057,1.67563826,NA,60,293
Q_sig_WT_heat_up,GSE93820,GPL21103,1.67547034,NA,84,294
Q_sig_WT_heat_up,GSE101576,GPL17021,1.67408714,NA,88,295
Q_sig_WT_heat_up,GSE103164,GPL17021,1.67408714,NA,88,296
Q_sig_WT_heat_up,GSE60482,GPL13112,1.67239725,NA,89,297
Q_sig_WT_heat_up,GSE192914,GPL24247,1.67176599,NA,105,298
Q_sig_WT_heat_up,GSE192916,GPL24247,1.67176599,NA,105,299
Q_sig_WT_heat_up,GSE136148,GPL17021,1.67128305,NA,114,300
Q_sig_WT_heat_up,GSE200443,GPL11180,1.66953769,NA,84,301
Q_sig_WT_heat_up,GSE83736,GPL13112,1.66855958,NA,107,302
Q_sig_WT_heat_up,GSE140852,GPL17021,1.66644035,NA,89,303
Q_sig_WT_heat_up,GSE119836,GPL24247,1.66366479,NA,132,304
Q_sig_WT_heat_up,GSE164463,GPL19057,1.66206676,NA,107,305
