"tf","regulon_class","target","mor","t_wt","aligned_contrib","is_stress_contaminant"
"Hif1a","promiscuous","Ercc2",1,1.17146472473302,1.17146472473302,FALSE
"Hif1a","promiscuous","Nbn",-1,-1.16171444103398,1.16171444103398,FALSE
"Hif1a","promiscuous","Mt1",1,1.14722964933123,1.14722964933123,FALSE
"Hif1a","promiscuous","Vhl",1,1.09279445465936,1.09279445465936,FALSE
"Hif1a","promiscuous","Ccr7",1,1.07843889434866,1.07843889434866,FALSE
"Hif1a","promiscuous","Kdm4c",1,0.997243156807378,0.997243156807378,FALSE
"Hif1a","promiscuous","Mrc1",1,0.993199271529878,0.993199271529878,FALSE
"Hif1a","promiscuous","Akt1",1,0.904740590507242,0.904740590507242,FALSE
"Hif1a","promiscuous","Vldlr",1,0.894819005002511,0.894819005002511,FALSE
"Hif1a","promiscuous","Cxcr1",1,0.881180368361105,0.881180368361105,FALSE
"Hif1a","promiscuous","Hif3a",1,0.814801230022197,0.814801230022197,FALSE
"Hif1a","promiscuous","Dld",1,0.803390768702035,0.803390768702035,FALSE
"Hif1a","promiscuous","Dio3",1,0.797957728021379,0.797957728021379,FALSE
"Hif1a","promiscuous","Hes1",1,0.773830471124278,0.773830471124278,FALSE
"Hif1a","promiscuous","Sox9",1,0.750979277212875,0.750979277212875,FALSE
"Hif1a","promiscuous","Prdx2",1,0.734412210715431,0.734412210715431,FALSE
"Hif1a","promiscuous","Epas1",1,0.6526661821415,0.6526661821415,FALSE
"Hif1a","promiscuous","Atpif1",1,0.641658919786317,0.641658919786317,FALSE
"Hif1a","promiscuous","Snai1",1,0.640243687981726,0.640243687981726,FALSE
"Hif1a","promiscuous","Erbb2",1,0.622755790097845,0.622755790097845,FALSE
"Hif1a","promiscuous","Foxm1",1,0.613846397732848,0.613846397732848,FALSE
"Hif1a","promiscuous","Angpt1",-1,-0.591379355637503,0.591379355637503,FALSE
"Hif1a","promiscuous","Angpt2",1,0.571406289479223,0.571406289479223,FALSE
"Hif1a","promiscuous","Nos1",1,0.545271461032191,0.545271461032191,FALSE
"Hif1a","promiscuous","Slc2a4",1,0.544697636496029,0.544697636496029,FALSE
"Hif1a","promiscuous","Il6",1,0.533988604027013,0.533988604027013,FALSE
"Hif1a","promiscuous","Aqp9",1,0.493675135213434,0.493675135213434,FALSE
"Hif1a","promiscuous","Smad4",1,0.479644105815041,0.479644105815041,FALSE
"Hif1a","promiscuous","Wsb1",1,0.389519760838538,0.389519760838538,FALSE
"Hif1a","promiscuous","Prdx3",1,0.356316078070046,0.356316078070046,FALSE
"Hif1a","promiscuous","Casp3",1,0.304054291306513,0.304054291306513,FALSE
"Hif1a","promiscuous","Cdkn1c",1,0.279144978495056,0.279144978495056,FALSE
"Hif1a","promiscuous","Kcnj8",1,0.2769662106718,0.2769662106718,FALSE
"Hif1a","promiscuous","Abcc9",1,0.275119170939977,0.275119170939977,FALSE
"Hif1a","promiscuous","Bcl2",1,0.262318680096748,0.262318680096748,FALSE
"Hif1a","promiscuous","Fn1",1,0.262240527635201,0.262240527635201,FALSE
"Hif1a","promiscuous","Pfkl",1,0.250312825590635,0.250312825590635,FALSE
"Hif1a","promiscuous","Fgf2",1,0.145563072679874,0.145563072679874,FALSE
"Hif1a","promiscuous","Birc3",1,0.106819062802941,0.106819062802941,FALSE
"Hif1a","promiscuous","Cxcr2",1,0.0946467147235971,0.0946467147235971,FALSE
"Hif1a","promiscuous","Col2a1",1,0.0945978856451638,0.0945978856451638,FALSE
"Hif1a","promiscuous","Socs1",1,0.0607606976688881,0.0607606976688881,FALSE
"Hif1a","promiscuous","Myc",-1,-0.0399942986526997,0.0399942986526997,FALSE
"Hif1a","promiscuous","Ppfia4",1,-0.00562018370307288,-0.00562018370307288,FALSE
"Hif1a","promiscuous","S100a4",1,-0.0494922045235457,-0.0494922045235457,FALSE
"Hif1a","promiscuous","Sod2",1,-0.0852772474384001,-0.0852772474384001,FALSE
"Hif1a","promiscuous","Txn2",1,-0.0973823372520357,-0.0973823372520357,FALSE
"Hif1a","promiscuous","Nedd8",1,-0.113034018048656,-0.113034018048656,FALSE
"Hif1a","promiscuous","Chka",1,-0.125555302506956,-0.125555302506956,FALSE
"Hif1a","promiscuous","Ctf1",1,-0.173593399957072,-0.173593399957072,FALSE
"Hif1a","promiscuous","Dll4",1,-0.273475297273516,-0.273475297273516,FALSE
"Hif1a","promiscuous","Gbe1",1,-0.278237400539576,-0.278237400539576,FALSE
"Hif1a","promiscuous","Grin1",1,-0.37927251054663,-0.37927251054663,FALSE
"Hif1a","promiscuous","Igf2bp1",1,-0.471418105721869,-0.471418105721869,FALSE
"Hif1a","promiscuous","Setd2",1,-0.537595586794861,-0.537595586794861,FALSE
"Hif1a","promiscuous","Ang",1,-0.546937980886621,-0.546937980886621,FALSE
"Hif1a","promiscuous","Stc1",1,-0.554744435859679,-0.554744435859679,FALSE
"Hif1a","promiscuous","Pepd",1,-0.636263417196242,-0.636263417196242,FALSE
"Hif1a","promiscuous","Il1b",1,-0.644973480197618,-0.644973480197618,FALSE
"Hif1a","promiscuous","Afp",1,-0.667009926959797,-0.667009926959797,FALSE
"Hif1a","promiscuous","Tubb3",1,-0.713587880740794,-0.713587880740794,FALSE
"Hif1a","promiscuous","Fbln5",1,-0.721001168649866,-0.721001168649866,FALSE
"Hif1a","promiscuous","Muc3a",1,-0.743710155250621,-0.743710155250621,FALSE
"Hif1a","promiscuous","Arc",1,-0.806964071084402,-0.806964071084402,FALSE
"Hif1a","promiscuous","Rbms1",1,-0.902554081828641,-0.902554081828641,FALSE
"Hif1a","promiscuous","Hs2st1",1,-0.956234097346068,-0.956234097346068,FALSE
"Hif1a","promiscuous","Kdr",1,-0.980218700331007,-0.980218700331007,FALSE
"Hif1a","promiscuous","Pfkfb1",1,-1.02762097980364,-1.02762097980364,FALSE
"Hif1a","promiscuous","Tnfsf13b",1,-1.02892486482858,-1.02892486482858,FALSE
"Hif1a","promiscuous","Hmox2",1,-1.06794043844966,-1.06794043844966,FALSE
"Hif1a","promiscuous","Rapgef3",1,-1.0685245761739,-1.0685245761739,FALSE
"Hif1a","promiscuous","Bhlhe41",1,-1.08652805101899,-1.08652805101899,FALSE
"Hif1a","promiscuous","Ccna2",1,-1.0956458413725,-1.0956458413725,FALSE
"Hif1a","promiscuous","Lifr",-1,1.09980708889036,-1.09980708889036,FALSE
"Hif1a","promiscuous","Hdc",1,-1.13383094296413,-1.13383094296413,FALSE
"Hif1a","promiscuous","Rac1",1,-1.14533642064613,-1.14533642064613,FALSE
"Hif1a","promiscuous","Trf",1,-1.15238568219917,-1.15238568219917,FALSE
"Hif1a","promiscuous","Kitl",1,-1.15838799347125,-1.15838799347125,FALSE
"Hif1a","promiscuous","Slc29a2",1,-1.26173359936352,-1.26173359936352,FALSE
"Hif1a","promiscuous","Jun",1,-1.26834547682528,-1.26834547682528,FALSE
"Hif1a","promiscuous","Nampt",1,-1.30202889915064,-1.30202889915064,FALSE
"Hif1a","promiscuous","Nt5e",1,-1.33918837595791,-1.33918837595791,FALSE
"Hif1a","promiscuous","Cited2",1,-1.36637299865587,-1.36637299865587,FALSE
"Hif1a","promiscuous","Mapk14",1,-1.36667792231174,-1.36667792231174,FALSE
"Hif1a","promiscuous","Edn1",1,-1.3700518042939,-1.3700518042939,FALSE
"Hif1a","promiscuous","Hgf",1,-1.37042146992409,-1.37042146992409,FALSE
"Hif1a","promiscuous","Ucp2",1,-1.4106007409578,-1.4106007409578,FALSE
"Hif1a","promiscuous","Mapk1",1,-1.49940927968765,-1.49940927968765,FALSE
"Hif1a","promiscuous","Pik3r1",1,-1.5425620355197,-1.5425620355197,FALSE
"Hif1a","promiscuous","Crebbp",1,-1.6241006297964,-1.6241006297964,FALSE
"Hif1a","promiscuous","Tgfb3",1,-1.64108361844578,-1.64108361844578,FALSE
"Hif1a","promiscuous","Hsp90ab1",1,-1.68646259603971,-1.68646259603971,FALSE
"Hif1a","promiscuous","Pfkfb4",1,-1.6980638116214,-1.6980638116214,FALSE
"Hif1a","promiscuous","Pdk3",1,-1.72934409667142,-1.72934409667142,FALSE
