"source","target","t_wt","contrib","module","isoform_attribution","direction"
"Hif1a","Ddit4",3.25348972176229,3.25348972176229,"other_unclassified","unclassified","Up"
"Hif1a","Mxi1",3.20675020731611,3.20675020731611,"other_unclassified","unclassified","Up"
"Hif1a","Id2",3.14678079604904,3.14678079604904,"other_unclassified","unclassified","Up"
"Hif1a","Cd151",-3.09302542756921,3.09302542756921,"other_unclassified","unclassified","Up"
"Hif1a","Rps6kb1",2.99457735212111,2.99457735212111,"other_unclassified","unclassified","Up"
"Hif1a","Tert",2.94399145667695,2.94399145667695,"other_unclassified","unclassified","Up"
"Hif1a","Mif",2.86604732843626,2.86604732843626,"other_unclassified","unclassified","Up"
"Hif1a","Pgam1",2.80832446269756,2.80832446269756,"other_unclassified","unclassified","Up"
"Hif1a","Tlr4",2.70083310642827,2.70083310642827,"other_unclassified","unclassified","Up"
"Hif1a","Slc2a3",2.64641662693957,2.64641662693957,"other_unclassified","unclassified","Up"
"Hif1a","Tff1",2.62020782421357,2.62020782421357,"other_unclassified","unclassified","Up"
"Hif1a","Spry2",-2.60186372830016,2.60186372830016,"other_unclassified","unclassified","Up"
"Hif1a","Pgk1",2.59241547851486,2.59241547851486,"other_unclassified","unclassified","Up"
"Hif1a","Hmox1",2.57540219730917,2.57540219730917,"other_unclassified","unclassified","Up"
"Hif1a","Brca1",2.5320225368738,2.5320225368738,"other_unclassified","unclassified","Up"
"Hif1a","Kdm5b",2.48542567824949,2.48542567824949,"other_unclassified","unclassified","Up"
"Hif1a","Flt1",2.47548348589301,2.47548348589301,"other_unclassified","unclassified","Up"
"Hif1a","Epor",2.38617335662577,2.38617335662577,"other_unclassified","unclassified","Up"
"Hif1a","Atrip",2.37998023817142,2.37998023817142,"other_unclassified","unclassified","Up"
"Hif1a","Sdhb",-2.18509695409235,2.18509695409235,"other_unclassified","unclassified","Up"
"Hif1a","Esr1",2.16849078444419,2.16849078444419,"other_unclassified","unclassified","Up"
"Hif1a","Aqp4",2.11098599122926,2.11098599122926,"other_unclassified","unclassified","Up"
"Hif1a","Aqp1",2.08865320121538,2.08865320121538,"other_unclassified","unclassified","Up"
"Hif1a","Psmc6",2.05918802917882,2.05918802917882,"other_unclassified","unclassified","Up"
"Hif1a","Hey1",1.99920772505278,1.99920772505278,"other_unclassified","unclassified","Up"
"Hif1a","Pmaip1",1.97332686085341,1.97332686085341,"other_unclassified","unclassified","Up"
"Hif1a","Ptges",1.94541139080765,1.94541139080765,"other_unclassified","unclassified","Up"
"Hif1a","Met",1.91219045140099,1.91219045140099,"other_unclassified","unclassified","Up"
"Hif1a","Vegfb",1.89517802046365,1.89517802046365,"other_unclassified","unclassified","Up"
"Hif1a","Gys1",1.89454557982844,1.89454557982844,"other_unclassified","unclassified","Up"
"Hif1a","Egln1",1.85136711194599,1.85136711194599,"other_unclassified","unclassified","Up"
"Hif1a","Hif1an",1.84811380878353,1.84811380878353,"other_unclassified","unclassified","Up"
"Hif1a","Ccnd1",1.79983993144867,1.79983993144867,"other_unclassified","unclassified","Up"
"Hif1a","Mmp9",1.77805523431136,1.77805523431136,"other_unclassified","unclassified","Up"
"Hif1a","Vasp",1.70974464148158,1.70974464148158,"other_unclassified","unclassified","Up"
"Hif1a","Vegfc",1.61748862309845,1.61748862309845,"other_unclassified","unclassified","Up"
"Hif1a","Ddx3x",1.59394147695097,1.59394147695097,"other_unclassified","unclassified","Up"
"Hif1a","Mdk",1.57300575527003,1.57300575527003,"other_unclassified","unclassified","Up"
"Hif1a","Rpsa",1.5414980163627,1.5414980163627,"other_unclassified","unclassified","Up"
"Hif1a","Gper1",1.4919164613058,1.4919164613058,"other_unclassified","unclassified","Up"
"Hif1a","Gk",1.48639404816928,1.48639404816928,"other_unclassified","unclassified","Up"
"Hif1a","Ppp1r3c",1.44430571563735,1.44430571563735,"other_unclassified","unclassified","Up"
"Hif1a","Hipk2",1.39536033269818,1.39536033269818,"other_unclassified","unclassified","Up"
"Hif1a","Carm1",1.39080762342719,1.39080762342719,"other_unclassified","unclassified","Up"
"Hif1a","Ngb",1.33644148912643,1.33644148912643,"other_unclassified","unclassified","Up"
"Hif1a","Kcnmb1",1.31901742558623,1.31901742558623,"other_unclassified","unclassified","Up"
"Hif1a","Ghr",1.25797190326844,1.25797190326844,"other_unclassified","unclassified","Up"
"Hif1a","Prkg1",1.22959467671273,1.22959467671273,"other_unclassified","unclassified","Up"
"Hif1a","Slc11a1",1.22657115137768,1.22657115137768,"other_unclassified","unclassified","Up"
"Hif1a","Cd164",1.21525235902178,1.21525235902178,"other_unclassified","unclassified","Up"
"Hif1a","Ercc2",1.17146472473302,1.17146472473302,"other_unclassified","unclassified","Up"
"Hif1a","Nbn",-1.16171444103398,1.16171444103398,"other_unclassified","unclassified","Up"
"Hif1a","Mt1",1.14722964933123,1.14722964933123,"other_unclassified","unclassified","Up"
"Hif1a","Vhl",1.09279445465936,1.09279445465936,"other_unclassified","unclassified","Up"
"Hif1a","Ccr7",1.07843889434866,1.07843889434866,"other_unclassified","unclassified","Up"
"Hif1a","Kdm4c",0.997243156807378,0.997243156807378,"other_unclassified","unclassified","Up"
"Hif1a","Mrc1",0.993199271529878,0.993199271529878,"other_unclassified","unclassified","Up"
"Hif1a","Akt1",0.904740590507242,0.904740590507242,"other_unclassified","unclassified","Up"
"Hif1a","Vldlr",0.894819005002511,0.894819005002511,"other_unclassified","unclassified","Up"
"Hif1a","Cxcr1",0.881180368361105,0.881180368361105,"other_unclassified","unclassified","Up"
"Hif1a","Hif3a",0.814801230022197,0.814801230022197,"other_unclassified","unclassified","Up"
"Hif1a","Dld",0.803390768702035,0.803390768702035,"other_unclassified","unclassified","Up"
"Hif1a","Dio3",0.797957728021379,0.797957728021379,"other_unclassified","unclassified","Up"
"Hif1a","Hes1",0.773830471124278,0.773830471124278,"other_unclassified","unclassified","Up"
"Hif1a","Sox9",0.750979277212875,0.750979277212875,"other_unclassified","unclassified","Up"
"Hif1a","Prdx2",0.734412210715431,0.734412210715431,"other_unclassified","unclassified","Up"
"Hif1a","Epas1",0.6526661821415,0.6526661821415,"other_unclassified","unclassified","Up"
"Hif1a","Atpif1",0.641658919786317,0.641658919786317,"other_unclassified","unclassified","Up"
"Hif1a","Snai1",0.640243687981726,0.640243687981726,"other_unclassified","unclassified","Up"
"Hif1a","Erbb2",0.622755790097845,0.622755790097845,"other_unclassified","unclassified","Up"
"Hif1a","Foxm1",0.613846397732848,0.613846397732848,"other_unclassified","unclassified","Up"
"Hif1a","Angpt1",-0.591379355637503,0.591379355637503,"other_unclassified","unclassified","Up"
"Hif1a","Angpt2",0.571406289479223,0.571406289479223,"other_unclassified","unclassified","Up"
"Hif1a","Nos1",0.545271461032191,0.545271461032191,"other_unclassified","unclassified","Up"
"Hif1a","Slc2a4",0.544697636496029,0.544697636496029,"other_unclassified","unclassified","Up"
"Hif1a","Il6",0.533988604027013,0.533988604027013,"other_unclassified","unclassified","Up"
"Hif1a","Aqp9",0.493675135213434,0.493675135213434,"other_unclassified","unclassified","Up"
"Hif1a","Smad4",0.479644105815041,0.479644105815041,"other_unclassified","unclassified","Up"
"Hif1a","Ldha",0.429648895550747,0.429648895550747,"other_unclassified","unclassified","Up"
"Hif1a","Wsb1",0.389519760838538,0.389519760838538,"other_unclassified","unclassified","Up"
"Hif1a","Prdx3",0.356316078070046,0.356316078070046,"other_unclassified","unclassified","Up"
"Hif1a","Casp3",0.304054291306513,0.304054291306513,"other_unclassified","unclassified","Up"
"Hif1a","Cdkn1c",0.279144978495056,0.279144978495056,"other_unclassified","unclassified","Up"
"Hif1a","Kcnj8",0.2769662106718,0.2769662106718,"other_unclassified","unclassified","Up"
"Hif1a","Abcc9",0.275119170939977,0.275119170939977,"other_unclassified","unclassified","Up"
"Hif1a","Bcl2",0.262318680096748,0.262318680096748,"other_unclassified","unclassified","Up"
"Hif1a","Fn1",0.262240527635201,0.262240527635201,"other_unclassified","unclassified","Up"
"Hif1a","Pfkl",0.250312825590635,0.250312825590635,"other_unclassified","unclassified","Up"
"Hif1a","Fgf2",0.145563072679874,0.145563072679874,"other_unclassified","unclassified","Up"
"Hif1a","Birc3",0.106819062802941,0.106819062802941,"other_unclassified","unclassified","Up"
"Hif1a","Cxcr2",0.0946467147235971,0.0946467147235971,"other_unclassified","unclassified","Up"
"Hif1a","Col2a1",0.0945978856451638,0.0945978856451638,"other_unclassified","unclassified","Up"
"Hif1a","Socs1",0.0607606976688881,0.0607606976688881,"other_unclassified","unclassified","Up"
"Hif1a","Myc",-0.0399942986526997,0.0399942986526997,"other_unclassified","unclassified","Up"
"Hif1a","Eno1",0.0215029644520647,0.0215029644520647,"other_unclassified","unclassified","Up"
"Hif1a","Ppfia4",-0.00562018370307288,-0.00562018370307288,"other_unclassified","unclassified","Down"
"Hif1a","S100a4",-0.0494922045235457,-0.0494922045235457,"other_unclassified","unclassified","Down"
"Hif1a","Sod2",-0.0852772474384001,-0.0852772474384001,"other_unclassified","unclassified","Down"
"Hif1a","Txn2",-0.0973823372520357,-0.0973823372520357,"other_unclassified","unclassified","Down"
"Hif1a","Nedd8",-0.113034018048656,-0.113034018048656,"other_unclassified","unclassified","Down"
"Hif1a","Chka",-0.125555302506956,-0.125555302506956,"other_unclassified","unclassified","Down"
"Hif1a","Ctf1",-0.173593399957072,-0.173593399957072,"other_unclassified","unclassified","Down"
"Hif1a","Pkm",-0.229195092892813,-0.229195092892813,"other_unclassified","unclassified","Down"
"Hif1a","Dll4",-0.273475297273516,-0.273475297273516,"other_unclassified","unclassified","Down"
"Hif1a","Gbe1",-0.278237400539576,-0.278237400539576,"other_unclassified","unclassified","Down"
"Hif1a","Grin1",-0.37927251054663,-0.37927251054663,"other_unclassified","unclassified","Down"
"Hif1a","Igf2bp1",-0.471418105721869,-0.471418105721869,"other_unclassified","unclassified","Down"
"Hif1a","Setd2",-0.537595586794861,-0.537595586794861,"other_unclassified","unclassified","Down"
"Hif1a","Ang",-0.546937980886621,-0.546937980886621,"other_unclassified","unclassified","Down"
"Hif1a","Stc1",-0.554744435859679,-0.554744435859679,"other_unclassified","unclassified","Down"
"Hif1a","Pepd",-0.636263417196242,-0.636263417196242,"other_unclassified","unclassified","Down"
"Hif1a","Il1b",-0.644973480197618,-0.644973480197618,"other_unclassified","unclassified","Down"
