"tf","shared_targets","pct_of_hif1a_set","family"
"Nfic",18,5.09915014164306,"other"
"Nfkb2",18,5.09915014164306,"other"
"Relb",18,5.09915014164306,"other"
"Foxa1",17,4.81586402266289,"other"
"Foxn1",17,4.81586402266289,"other"
"Gata2",17,4.81586402266289,"other"
"Mbd2",17,4.81586402266289,"other"
"Ncoa2",17,4.81586402266289,"other"
"Ncor1",17,4.81586402266289,"other"
"Ncor2",17,4.81586402266289,"other"
"Pdx1",17,4.81586402266289,"other"
"Rxra",17,4.81586402266289,"other"
"Smad7",17,4.81586402266289,"other"
"Stat5b",17,4.81586402266289,"other"
"Tcf3",17,4.81586402266289,"other"
"Twist1",17,4.81586402266289,"other"
"Elf1",16,4.53257790368272,"other"
"Mitf",16,4.53257790368272,"other"
"Zbtb16",16,4.53257790368272,"other"
"Dnmt3b",15,4.24929178470255,"other"
"Egr2",15,4.24929178470255,"other"
"Elf4",15,4.24929178470255,"other"
"Fosl1",15,4.24929178470255,"other"
"Foxp3",15,4.24929178470255,"other"
"Gfi1",15,4.24929178470255,"other"
"Irf2",15,4.24929178470255,"other"
"Notch1",15,4.24929178470255,"other"
"Nr2c2",15,4.24929178470255,"other"
"Nrf1",15,4.24929178470255,"other"
"Pou5f1",15,4.24929178470255,"other"
"Sox9",15,4.24929178470255,"other"
"Dlx4",14,3.96600566572238,"other"
"E2f3",14,3.96600566572238,"other"
"Elk1",14,3.96600566572238,"other"
"Gata6",14,3.96600566572238,"other"
"Hbp1",14,3.96600566572238,"other"
"Irf3",14,3.96600566572238,"other"
"Kat5",14,3.96600566572238,"other"
"Nkx2-1",14,3.96600566572238,"other"
"Nr3c2",14,3.96600566572238,"other"
"Pax5",14,3.96600566572238,"other"
"Pax6",14,3.96600566572238,"other"
"Sp4",14,3.96600566572238,"other"
"Vhl",14,3.96600566572238,"other"
"Brca1",13,3.68271954674221,"other"
"Crem",13,3.68271954674221,"other"
"Ewsr1",13,3.68271954674221,"other"
"Fosl2",13,3.68271954674221,"AP-1/immediate-early"
"Hnf1a",13,3.68271954674221,"other"
"Hoxa10",13,3.68271954674221,"other"
"Klf6",13,3.68271954674221,"other"
"Kmt2a",13,3.68271954674221,"other"
"Maz",13,3.68271954674221,"other"
"Nfat5",13,3.68271954674221,"other"
"Rora",13,3.68271954674221,"other"
"Snai2",13,3.68271954674221,"other"
"Tfcp2",13,3.68271954674221,"other"
"Xbp1",13,3.68271954674221,"other"
"Zbtb17",13,3.68271954674221,"other"
"Arntl",12,3.39943342776204,"other"
"Bhlhe40",12,3.39943342776204,"other"
"Cdx2",12,3.39943342776204,"other"
"Clock",12,3.39943342776204,"other"
"Dnmt3a",12,3.39943342776204,"other"
"Eno1",12,3.39943342776204,"other"
"Id3",12,3.39943342776204,"other"
"Irf4",12,3.39943342776204,"other"
"Max",12,3.39943342776204,"other"
"Mef2a",12,3.39943342776204,"other"
"Nr1h2",12,3.39943342776204,"other"
"Nr4a2",12,3.39943342776204,"other"
"Nrg1",12,3.39943342776204,"other"
"Smarca1",12,3.39943342776204,"other"
"Ttf1",12,3.39943342776204,"other"
"Zeb1",12,3.39943342776204,"other"
"Ascl1",11,3.11614730878187,"other"
"Htatip2",11,3.11614730878187,"other"
"Jdp2",11,3.11614730878187,"other"
"Mybl2",11,3.11614730878187,"other"
"Nfatc4",11,3.11614730878187,"other"
"Nr1i3",11,3.11614730878187,"other"
"Nr4a3",11,3.11614730878187,"other"
"Nr5a1",11,3.11614730878187,"other"
"Pbx1",11,3.11614730878187,"other"
"Smad1",11,3.11614730878187,"other"
"Sox17",11,3.11614730878187,"other"
"Taf1",11,3.11614730878187,"other"
"Tal1",11,3.11614730878187,"other"
"Erg",10,2.8328611898017,"other"
"Foxc2",10,2.8328611898017,"other"
"Hdac4",10,2.8328611898017,"other"
"Hmga2",10,2.8328611898017,"other"
"Ing4",10,2.8328611898017,"other"
"Klf8",10,2.8328611898017,"other"
"Mef2c",10,2.8328611898017,"other"
"Nfya",10,2.8328611898017,"other"
"Pou4f1",10,2.8328611898017,"other"
"Pou4f2",10,2.8328611898017,"other"
"Rb1",10,2.8328611898017,"other"
"Tfap4",10,2.8328611898017,"other"
"Zbtb7a",10,2.8328611898017,"other"
"Dbp",9,2.54957507082153,"other"
"E2f2",9,2.54957507082153,"other"
"Elf3",9,2.54957507082153,"other"
"Foxo4",9,2.54957507082153,"other"
"Gabpa",9,2.54957507082153,"other"
"Gtf3a",9,2.54957507082153,"other"
"Ikzf1",9,2.54957507082153,"other"
"Irf5",9,2.54957507082153,"other"
"Maf",9,2.54957507082153,"other"
"Mafk",9,2.54957507082153,"other"
"Mxd1",9,2.54957507082153,"other"
"Nanog",9,2.54957507082153,"other"
"Neurod1",9,2.54957507082153,"other"
"Nfatc3",9,2.54957507082153,"other"
"Nfia",9,2.54957507082153,"other"
"Nfkbib",9,2.54957507082153,"other"
"Nr0b1",9,2.54957507082153,"other"
"Nr5a2",9,2.54957507082153,"other"
"Satb1",9,2.54957507082153,"other"
"Smad5",9,2.54957507082153,"other"
"Stat4",9,2.54957507082153,"other"
"Tbx21",9,2.54957507082153,"other"
"Thra",9,2.54957507082153,"other"
"Twist2",9,2.54957507082153,"other"
"Ybx3",9,2.54957507082153,"other"
"Bcl11b",8,2.26628895184136,"other"
"Bcl3",8,2.26628895184136,"other"
"Bhlhe41",8,2.26628895184136,"other"
"Cebpz",8,2.26628895184136,"other"
"Elk3",8,2.26628895184136,"other"
"Esrra",8,2.26628895184136,"other"
"Fosb",8,2.26628895184136,"AP-1/immediate-early"
"Hey1",8,2.26628895184136,"other"
"Hhex",8,2.26628895184136,"other"
"Hoxa9",8,2.26628895184136,"other"
"Litaf",8,2.26628895184136,"other"
"Mef2d",8,2.26628895184136,"other"
"Meis1",8,2.26628895184136,"other"
"Pitx2",8,2.26628895184136,"other"
"Prdm1",8,2.26628895184136,"other"
"Skil",8,2.26628895184136,"other"
"Sox2",8,2.26628895184136,"other"
"Sp7",8,2.26628895184136,"other"
"Srebf2",8,2.26628895184136,"other"
"Stat2",8,2.26628895184136,"other"
"Tcf7",8,2.26628895184136,"other"
"Tfdp1",8,2.26628895184136,"other"
"Trps1",8,2.26628895184136,"other"
"Zeb2",8,2.26628895184136,"other"
"Znf699",8,2.26628895184136,"other"
"Apex1",7,1.98300283286119,"other"
"Cebpe",7,1.98300283286119,"other"
"Crebbp",7,1.98300283286119,"other"
"Egr3",7,1.98300283286119,"other"
"Etv6",7,1.98300283286119,"other"
"Foxc1",7,1.98300283286119,"other"
"Grhl3",7,1.98300283286119,"other"
"Hic1",7,1.98300283286119,"other"
"Myog",7,1.98300283286119,"other"
"Nfil3",7,1.98300283286119,"other"
"Nr1d1",7,1.98300283286119,"other"
"Pax8",7,1.98300283286119,"other"
"Pml",7,1.98300283286119,"other"
"Pou1f1",7,1.98300283286119,"other"
"Pou2f2",7,1.98300283286119,"other"
"Rarb",7,1.98300283286119,"other"
"Sox6",7,1.98300283286119,"other"
"Spdef",7,1.98300283286119,"other"
"Tbx2",7,1.98300283286119,"other"
"Tcf12",7,1.98300283286119,"other"
"Tfap2c",7,1.98300283286119,"other"
"Zfp148",7,1.98300283286119,"other"
"Zfp354c",7,1.98300283286119,"other"
"Zfp384",7,1.98300283286119,"other"
"Zfp729a",7,1.98300283286119,"other"
"Atf5",6,1.69971671388102,"other"
"Atf6",6,1.69971671388102,"other"
"Cdx1",6,1.69971671388102,"other"
"Gtf2i",6,1.69971671388102,"other"
"Hdac3",6,1.69971671388102,"other"
"Hipk2",6,1.69971671388102,"other"
"Hivep1",6,1.69971671388102,"other"
"Hnf1b",6,1.69971671388102,"other"
"Hsf2",6,1.69971671388102,"heat-shock"
"Kdm5a",6,1.69971671388102,"other"
"Klf10",6,1.69971671388102,"other"
"Lmo2",6,1.69971671388102,"other"
"Mecp2",6,1.69971671388102,"other"
"Mtf1",6,1.69971671388102,"other"
"Nfyb",6,1.69971671388102,"other"
"Nr2f1",6,1.69971671388102,"other"
"Plagl1",6,1.69971671388102,"other"
"Ppargc1a",6,1.69971671388102,"other"
"Rorc",6,1.69971671388102,"other"
"Satb2",6,1.69971671388102,"other"
"Smarca4",6,1.69971671388102,"other"
"Sp2",6,1.69971671388102,"other"
"Sry",6,1.69971671388102,"other"
"Tbpl1",6,1.69971671388102,"other"
"Tfe3",6,1.69971671388102,"other"
"Vsx2",6,1.69971671388102,"other"
"Abl1",5,1.41643059490085,"other"
"Batf",5,1.41643059490085,"other"
"Brd4",5,1.41643059490085,"other"
"Dlx2",5,1.41643059490085,"other"
"Dlx5",5,1.41643059490085,"other"
"Ebf1",5,1.41643059490085,"other"
"Ehf",5,1.41643059490085,"other"
"Foxg1",5,1.41643059490085,"other"
"Foxp1",5,1.41643059490085,"other"
"Hdac7",5,1.41643059490085,"other"
"Hdgf",5,1.41643059490085,"other"
"Hlf",5,1.41643059490085,"other"
"Hlx",5,1.41643059490085,"other"
"Hoxa1",5,1.41643059490085,"other"
"Hoxa7",5,1.41643059490085,"other"
"Hoxb13",5,1.41643059490085,"other"
"Hoxb7",5,1.41643059490085,"other"
"Id4",5,1.41643059490085,"other"
"Irf6",5,1.41643059490085,"other"
"Kdm5b",5,1.41643059490085,"other"
"Klf11",5,1.41643059490085,"other"
"Klf17",5,1.41643059490085,"other"
"Lmx1b",5,1.41643059490085,"other"
"Mecom",5,1.41643059490085,"other"
"Mlxipl",5,1.41643059490085,"other"
"Msc",5,1.41643059490085,"other"
"Msx2",5,1.41643059490085,"other"
"Nfyc",5,1.41643059490085,"other"
"Nr2e1",5,1.41643059490085,"other"
"Prox1",5,1.41643059490085,"other"
"Rcor2",5,1.41643059490085,"other"
"Rest",5,1.41643059490085,"other"
"Sfpq",5,1.41643059490085,"other"
"Tbx15",5,1.41643059490085,"other"
"Tbx3",5,1.41643059490085,"other"
"Tfap2b",5,1.41643059490085,"other"
"Tgfb1i1",5,1.41643059490085,"other"
"Thrb",5,1.41643059490085,"other"
"Trerf1",5,1.41643059490085,"other"
"Zbtb33",5,1.41643059490085,"other"
"Znf300",5,1.41643059490085,"other"
"Arid1a",4,1.13314447592068,"other"
"Arntl2",4,1.13314447592068,"other"
"Bach1",4,1.13314447592068,"other"
"Barx2",4,1.13314447592068,"other"
"Ciita",4,1.13314447592068,"other"
"Esrrg",4,1.13314447592068,"other"
"Etv1",4,1.13314447592068,"other"
"Etv5",4,1.13314447592068,"other"
"Foxf1",4,1.13314447592068,"other"
"Foxq1",4,1.13314447592068,"other"
"Gli3",4,1.13314447592068,"other"
"Hand2",4,1.13314447592068,"other"
"Hdac9",4,1.13314447592068,"other"
"Hey2",4,1.13314447592068,"other"
"Hif3a",4,1.13314447592068,"other"
"Hmgb2",4,1.13314447592068,"other"
"Kat2b",4,1.13314447592068,"other"
"Klf1",4,1.13314447592068,"other"
"Klf13",4,1.13314447592068,"other"
"Klf15",4,1.13314447592068,"other"
"Lhx2",4,1.13314447592068,"other"
"Mbd1",4,1.13314447592068,"other"
"Med1",4,1.13314447592068,"other"
"Mybl1",4,1.13314447592068,"other"
"Nfix",4,1.13314447592068,"other"
"Nr2c1",4,1.13314447592068,"other"
"Pitx1",4,1.13314447592068,"other"
"Pknox1",4,1.13314447592068,"other"
"Pura",4,1.13314447592068,"other"
"Sall2",4,1.13314447592068,"other"
"Sim2",4,1.13314447592068,"other"
"Sox5",4,1.13314447592068,"other"
"Tead1",4,1.13314447592068,"other"
"Tef",4,1.13314447592068,"other"
"Tet1",4,1.13314447592068,"other"
"Tfam",4,1.13314447592068,"other"
"Tgif1",4,1.13314447592068,"other"
"Zfhx3",4,1.13314447592068,"other"
"Zfp143",4,1.13314447592068,"other"
"Zglp1",4,1.13314447592068,"other"
"Znf350",4,1.13314447592068,"other"
"Aire",3,0.84985835694051,"other"
"Bach2",3,0.84985835694051,"other"
"Btg2",3,0.84985835694051,"other"
"Creb3",3,0.84985835694051,"other"
"Cxxc1",3,0.84985835694051,"other"
"Daxx",3,0.84985835694051,"other"
"Dlx3",3,0.84985835694051,"other"
"Dmap1",3,0.84985835694051,"other"
"Dmtf1",3,0.84985835694051,"other"
"E2f5",3,0.84985835694051,"other"
"E2f6",3,0.84985835694051,"other"
"E2f7",3,0.84985835694051,"other"
"E4f1",3,0.84985835694051,"other"
"Elf2",3,0.84985835694051,"other"
"Fhl2",3,0.84985835694051,"other"
"Foxd3",3,0.84985835694051,"other"
"Foxe1",3,0.84985835694051,"other"
"Foxh1",3,0.84985835694051,"other"
"Foxl2",3,0.84985835694051,"other"
"Gfi1b",3,0.84985835694051,"other"
"Hdac5",3,0.84985835694051,"other"
"Heyl",3,0.84985835694051,"other"
"Hoxa5",3,0.84985835694051,"other"
"Hoxb9",3,0.84985835694051,"other"
"Hoxc6",3,0.84985835694051,"other"
"Hoxc8",3,0.84985835694051,"other"
"Hoxd3",3,0.84985835694051,"other"
"Hsf4",3,0.84985835694051,"other"
"Irf7",3,0.84985835694051,"other"
"Irx1",3,0.84985835694051,"other"
"Kdm2a",3,0.84985835694051,"other"
"Klf7",3,0.84985835694051,"other"
"Klf9",3,0.84985835694051,"other"
"Mafa",3,0.84985835694051,"other"
"Mafb",3,0.84985835694051,"other"
"Mafg",3,0.84985835694051,"other"
"Meox2",3,0.84985835694051,"other"
"Mlxip",3,0.84985835694051,"other"
"Mnt",3,0.84985835694051,"other"
"Mnx1",3,0.84985835694051,"other"
"Msx1",3,0.84985835694051,"other"
"Mta3",3,0.84985835694051,"other"
"Myf6",3,0.84985835694051,"other"
"Mzf1",3,0.84985835694051,"other"
"Neurog2",3,0.84985835694051,"other"
"Neurog3",3,0.84985835694051,"other"
"Nfib",3,0.84985835694051,"other"
"Nfkbiz",3,0.84985835694051,"other"
"Nkrf",3,0.84985835694051,"other"
"Nkx2-5",3,0.84985835694051,"other"
"Nono",3,0.84985835694051,"other"
"Nupr1",3,0.84985835694051,"other"
"Onecut1",3,0.84985835694051,"other"
"Patz1",3,0.84985835694051,"other"
"Pax7",3,0.84985835694051,"other"
"Pbrm1",3,0.84985835694051,"other"
"Pias3",3,0.84985835694051,"other"
"Pin1",3,0.84985835694051,"other"
"Pitx3",3,0.84985835694051,"other"
"Pou3f1",3,0.84985835694051,"other"
"Prdm2",3,0.84985835694051,"other"
"Preb",3,0.84985835694051,"other"
"Prrx1",3,0.84985835694051,"other"
"Sall4",3,0.84985835694051,"other"
"Scx",3,0.84985835694051,"other"
"Sin3a",3,0.84985835694051,"other"
"Six1",3,0.84985835694051,"other"
"Smad6",3,0.84985835694051,"other"
"Sox10",3,0.84985835694051,"other"
"Spib",3,0.84985835694051,"other"
"Srsf2",3,0.84985835694051,"other"
"Tcf21",3,0.84985835694051,"other"
"Tead4",3,0.84985835694051,"other"
"Thap11",3,0.84985835694051,"other"
"Tox3",3,0.84985835694051,"other"
"Ubtf",3,0.84985835694051,"other"
"Ventx",3,0.84985835694051,"other"
"Vezf1",3,0.84985835694051,"other"
"Zbtb2",3,0.84985835694051,"other"
"Zbtb7b",3,0.84985835694051,"other"
"Zfp362",3,0.84985835694051,"other"
"Zfp382",3,0.84985835694051,"other"
"Zfpm2",3,0.84985835694051,"other"
"Zhx2",3,0.84985835694051,"other"
"Zic1",3,0.84985835694051,"other"
"Znf331",3,0.84985835694051,"other"
"Aebp1",2,0.56657223796034,"other"
"Ahrr",2,0.56657223796034,"other"
"Aip",2,0.56657223796034,"other"
"Arid4b",2,0.56657223796034,"other"
"Arid5a",2,0.56657223796034,"other"
"Arid5b",2,0.56657223796034,"other"
"Arx",2,0.56657223796034,"other"
"Ash1l",2,0.56657223796034,"other"
"Atf7",2,0.56657223796034,"other"
"Barx1",2,0.56657223796034,"other"
"Bhlha15",2,0.56657223796034,"other"
"Cops5",2,0.56657223796034,"other"
"Creb3l1",2,0.56657223796034,"other"
"Ctbp1",2,0.56657223796034,"other"
"Ctbp2",2,0.56657223796034,"other"
"Ctcfl",2,0.56657223796034,"other"
"Dot1l",2,0.56657223796034,"other"
"E2f8",2,0.56657223796034,"other"
"Egr4",2,0.56657223796034,"other"
"Eomes",2,0.56657223796034,"other"
"Erf",2,0.56657223796034,"other"
"Esrrb",2,0.56657223796034,"other"
"Etv2",2,0.56657223796034,"other"
"Etv3",2,0.56657223796034,"other"
"Foxd1",2,0.56657223796034,"other"
"Foxf2",2,0.56657223796034,"other"
"Foxi1",2,0.56657223796034,"other"
"Foxp2",2,0.56657223796034,"other"
"Fus",2,0.56657223796034,"other"
"Gata5",2,0.56657223796034,"other"
"Gcm1",2,0.56657223796034,"other"
"Grhl2",2,0.56657223796034,"other"
"Gtf2ird1",2,0.56657223796034,"other"
"Hesx1",2,0.56657223796034,"other"
"Hinfp",2,0.56657223796034,"other"
"Hivep2",2,0.56657223796034,"other"
"Hivep3",2,0.56657223796034,"other"
"Hmgb1",2,0.56657223796034,"other"
"Hnf4g",2,0.56657223796034,"other"
"Hoxb2",2,0.56657223796034,"other"
"Hoxb5",2,0.56657223796034,"other"
"Hoxc11",2,0.56657223796034,"other"
"Hoxd1",2,0.56657223796034,"other"
"Hoxd8",2,0.56657223796034,"other"
"Ikzf3",2,0.56657223796034,"other"
"Irf9",2,0.56657223796034,"other"
"Isl1",2,0.56657223796034,"other"
"Jarid2",2,0.56657223796034,"other"
"Kdm2b",2,0.56657223796034,"other"
"Kdm5c",2,0.56657223796034,"other"
"Kdm5d",2,0.56657223796034,"other"
"Klf14",2,0.56657223796034,"other"
"Kmt2b",2,0.56657223796034,"other"
"Lcor",2,0.56657223796034,"other"
"Lhx3",2,0.56657223796034,"other"
"Lin28a",2,0.56657223796034,"other"
"Lmo4",2,0.56657223796034,"other"
"Lmx1a",2,0.56657223796034,"other"
"Lrrfip1",2,0.56657223796034,"other"
"Lyl1",2,0.56657223796034,"other"
"Maml1",2,0.56657223796034,"other"
"Mta2",2,0.56657223796034,"other"
"Muc1",2,0.56657223796034,"other"
"Mxi1",2,0.56657223796034,"other"
"Myrf",2,0.56657223796034,"other"
"Myt1",2,0.56657223796034,"other"
"Ncoa4",2,0.56657223796034,"other"
"Nfe2",2,0.56657223796034,"other"
"Nfe2l1",2,0.56657223796034,"other"
"Nkx2-2",2,0.56657223796034,"other"
"Nkx6-1",2,0.56657223796034,"other"
"Npas1",2,0.56657223796034,"other"
"Npm1",2,0.56657223796034,"other"
"Nr2e3",2,0.56657223796034,"other"
"Nr2f6",2,0.56657223796034,"other"
"Olig1",2,0.56657223796034,"other"
"Olig2",2,0.56657223796034,"other"
"Osr1",2,0.56657223796034,"other"
"Otx2",2,0.56657223796034,"other"
"Ovol1",2,0.56657223796034,"other"
"Pa2g4",2,0.56657223796034,"other"
"Pawr",2,0.56657223796034,"other"
"Pax2",2,0.56657223796034,"other"
"Peg3",2,0.56657223796034,"other"
"Per2",2,0.56657223796034,"other"
"Pias1",2,0.56657223796034,"other"
"Pias2",2,0.56657223796034,"other"
"Pou2af1",2,0.56657223796034,"other"
"Pou3f2",2,0.56657223796034,"other"
"Rarg",2,0.56657223796034,"other"
"Rfx1",2,0.56657223796034,"other"
"Rfx4",2,0.56657223796034,"other"
"Sall1",2,0.56657223796034,"other"
"Smarca5",2,0.56657223796034,"other"
"Snw1",2,0.56657223796034,"other"
"Sox4",2,0.56657223796034,"other"
"Sp6",2,0.56657223796034,"other"
"Spic",2,0.56657223796034,"other"
"St18",2,0.56657223796034,"other"
"T",2,0.56657223796034,"other"
"Tbpl2",2,0.56657223796034,"other"
"Tbx1",2,0.56657223796034,"other"
"Tbx6",2,0.56657223796034,"other"
"Tfdp2",2,0.56657223796034,"other"
"Tfeb",2,0.56657223796034,"other"
"Tlx1",2,0.56657223796034,"other"
"Trim28",2,0.56657223796034,"other"
"Tsc22d1",2,0.56657223796034,"other"
"Uncx",2,0.56657223796034,"other"
"Utf1",2,0.56657223796034,"other"
"Wwtr1",2,0.56657223796034,"other"
"Yap1",2,0.56657223796034,"other"
"Zbed1",2,0.56657223796034,"other"
"Zbtb4",2,0.56657223796034,"other"
"Zbtb7c",2,0.56657223796034,"other"
"Zfp160",2,0.56657223796034,"other"
"Zfp174",2,0.56657223796034,"other"
"Zfp24",2,0.56657223796034,"other"
"Zfp42",2,0.56657223796034,"other"
"Zfp423",2,0.56657223796034,"other"
"Zfp521",2,0.56657223796034,"other"
"Zfp64",2,0.56657223796034,"other"
"Zfp667",2,0.56657223796034,"other"
"Zfpm1",2,0.56657223796034,"other"
"Zgpat",2,0.56657223796034,"other"
"Zmynd8",2,0.56657223796034,"other"
"Alx1",1,0.28328611898017,"other"
"Arhgap35",1,0.28328611898017,"other"
"Arid3a",1,0.28328611898017,"other"
"Arid3b",1,0.28328611898017,"other"
"Arnt2",1,0.28328611898017,"other"
"Ascl2",1,0.28328611898017,"other"
"Atf6b",1,0.28328611898017,"other"
"Atoh1",1,0.28328611898017,"other"
"Batf2",1,0.28328611898017,"other"
"Bcl11a",1,0.28328611898017,"other"
"Bcl6b",1,0.28328611898017,"other"
"Bclaf1",1,0.28328611898017,"other"
"Bhlhe23",1,0.28328611898017,"other"
"Brd7",1,0.28328611898017,"other"
"Bsx",1,0.28328611898017,"other"
"Carf",1,0.28328611898017,"other"
"Casz1",1,0.28328611898017,"other"
"Cbfb",1,0.28328611898017,"other"
"Cited2",1,0.28328611898017,"other"
"Cnot4",1,0.28328611898017,"other"
"Creb3l3",1,0.28328611898017,"other"
"Crebl2",1,0.28328611898017,"other"
"Crebzf",1,0.28328611898017,"other"
"Creg1",1,0.28328611898017,"other"
"Crx",1,0.28328611898017,"other"
"Ddx5",1,0.28328611898017,"other"
"Deaf1",1,0.28328611898017,"other"
"Dlx1",1,0.28328611898017,"other"
"Dmrt1",1,0.28328611898017,"other"
"Dnajc1",1,0.28328611898017,"other"
"Dr1",1,0.28328611898017,"other"
"Dtx1",1,0.28328611898017,"other"
"Duxbl1",1,0.28328611898017,"other"
"Ebf3",1,0.28328611898017,"other"
"Elf5",1,0.28328611898017,"other"
"Elk4",1,0.28328611898017,"other"
"Emx1",1,0.28328611898017,"other"
"En1",1,0.28328611898017,"other"
"Etv7",1,0.28328611898017,"other"
"Fam170a",1,0.28328611898017,"other"
"Fezf2",1,0.28328611898017,"other"
"Fgf2",1,0.28328611898017,"other"
"Foxa3",1,0.28328611898017,"other"
"Foxd2",1,0.28328611898017,"other"
"Foxd4",1,0.28328611898017,"other"
