"contrast","statistic","source","score","rank","direction","axis","key_tf"
"Interaction","mlm","Eomes",2.37066917926286,10,"Up","other",FALSE
"Interaction","mlm","Maz",2.26634685355855,11,"Up","other",FALSE
"Interaction","mlm","Nr2e1",2.21374505044192,12,"Up","other",FALSE
"Interaction","norm_wsum","Znf331",-2.48540596029837,1,"Down","other",FALSE
"Interaction","norm_wsum","Kat2b",-2.42941022735127,2,"Down","other",FALSE
"Interaction","norm_wsum","Mtf2",-2.40636234742173,3,"Down","other",FALSE
"Interaction","norm_wsum","Klf1",-2.40525267394282,4,"Down","other",FALSE
"Interaction","norm_wsum","Meox2",-2.35335808930144,5,"Down","other",FALSE
"Interaction","norm_wsum","Hsf1",-2.19896745153649,6,"Down","other",FALSE
"Interaction","norm_wsum","Kdm5a",-2.14352309973389,7,"Down","other",FALSE
"Interaction","norm_wsum","Dmap1",-2.0487135090342,8,"Down","other",FALSE
"Interaction","norm_wsum","Nfe2l3",-2.01610039575843,9,"Down","other",FALSE
"Interaction","norm_wsum","Dmtf1",-1.99550498655059,10,"Down","other",FALSE
"Interaction","norm_wsum","Pitx1",-1.88588490106879,11,"Down","other",FALSE
"Interaction","norm_wsum","Ehf",-1.86523253221336,12,"Down","other",FALSE
"Interaction","norm_wsum","Stat2",6.35129970108613,1,"Up","IFN",TRUE
"Interaction","norm_wsum","Irf3",6.13702314158151,2,"Up","IFN",TRUE
"Interaction","norm_wsum","Irf9",5.69560703236396,3,"Up","other",FALSE
"Interaction","norm_wsum","Stat1",4.96165062819422,4,"Up","IFN",TRUE
"Interaction","norm_wsum","Irf1",3.56085972030742,5,"Up","IFN",TRUE
"Interaction","norm_wsum","Srebf1",3.39271344659094,6,"Up","other",FALSE
"Interaction","norm_wsum","Usf2",3.3792174261003,7,"Up","other",FALSE
"Interaction","norm_wsum","Irf2",3.19730889475732,8,"Up","other",FALSE
"Interaction","norm_wsum","Srebf2",2.89160427749704,9,"Up","other",FALSE
"Interaction","norm_wsum","Gata3",2.83569833199296,10,"Up","other",FALSE
"Interaction","norm_wsum","Usf1",2.82064186905036,11,"Up","other",FALSE
"Interaction","norm_wsum","Zfp148",2.78733239699203,12,"Up","other",FALSE
"Interaction","ulm","Znf331",-2.55753651904743,1,"Down","other",FALSE
"Interaction","ulm","Mtf2",-2.55462508080796,2,"Down","other",FALSE
"Interaction","ulm","Meox2",-2.50223546514378,3,"Down","other",FALSE
"Interaction","ulm","Hsf1",-2.28752996922945,4,"Down","other",FALSE
"Interaction","ulm","Kat2b",-2.23583516389785,5,"Down","other",FALSE
"Interaction","ulm","Ehf",-2.13164082002042,6,"Down","other",FALSE
"Interaction","ulm","Kdm5a",-2.10611798559902,7,"Down","other",FALSE
"Interaction","ulm","Nfe2l3",-2.07390070555319,8,"Down","other",FALSE
"Interaction","ulm","Klf1",-2.07337637547626,9,"Down","other",FALSE
"Interaction","ulm","Dmap1",-2.06052081293361,10,"Down","other",FALSE
"Interaction","ulm","Dmtf1",-1.87970603259926,11,"Down","other",FALSE
"Interaction","ulm","Pitx1",-1.80505235102637,12,"Down","other",FALSE
"Interaction","ulm","Irf9",5.98616827907856,1,"Up","other",FALSE
"Interaction","ulm","Irf3",5.92518669575007,2,"Up","IFN",TRUE
"Interaction","ulm","Stat2",5.8487093973095,3,"Up","IFN",TRUE
"Interaction","ulm","Stat1",5.30465364972135,4,"Up","IFN",TRUE
"Interaction","ulm","Irf2",3.39797316082186,5,"Up","other",FALSE
"Interaction","ulm","Irf1",3.38168906879224,6,"Up","IFN",TRUE
"Interaction","ulm","Usf2",3.31342846646262,7,"Up","other",FALSE
"Interaction","ulm","Srebf1",3.28387908233416,8,"Up","other",FALSE
"Interaction","ulm","Gata3",2.90188734519781,9,"Up","other",FALSE
"Interaction","ulm","Srebf2",2.67855791743555,10,"Up","other",FALSE
"Interaction","ulm","Usf1",2.66579017082341,11,"Up","other",FALSE
"Interaction","ulm","Zfp148",2.62217280936019,12,"Up","other",FALSE
"Interaction","wsum","Hsf1",-16.5959791340186,1,"Down","other",FALSE
"Interaction","wsum","Pparg",-14.1702213719985,2,"Down","other",FALSE
"Interaction","wsum","Lef1",-12.3641665797051,3,"Down","other",FALSE
"Interaction","wsum","Znf331",-10.6301536094718,4,"Down","other",FALSE
"Interaction","wsum","Ascl1",-9.84838177395711,5,"Down","other",FALSE
"Interaction","wsum","Myog",-9.3477691390869,6,"Down","other",FALSE
"Interaction","wsum","Sox17",-9.16358692965998,7,"Down","other",FALSE
"Interaction","wsum","E2f4",-9.08005965201307,8,"Down","other",FALSE
"Interaction","wsum","Pou2f1",-8.56544049580737,9,"Down","other",FALSE
"Interaction","wsum","Nr3c1",-8.15046358236891,10,"Down","other",FALSE
"Interaction","wsum","E2f2",-8.06034238800649,11,"Down","other",FALSE
"Interaction","wsum","Kat2b",-7.94828452672902,12,"Down","other",FALSE
"Interaction","wsum","Stat1",89.1968158380261,1,"Up","IFN",TRUE
"Interaction","wsum","Nfkb",80.4564515915491,2,"Up","other",FALSE
"Interaction","wsum","Esr1",57.545778323896,3,"Up","other",FALSE
"Interaction","wsum","Rela",53.6413316829753,4,"Up","IFN",TRUE
"Interaction","wsum","Nfkb1",48.6617407517581,5,"Up","IFN",TRUE
"Interaction","wsum","Irf3",46.9562950963914,6,"Up","IFN",TRUE
"Interaction","wsum","Irf1",41.7603233657225,7,"Up","IFN",TRUE
"Interaction","wsum","Cebpb",39.4972535581381,8,"Up","other",FALSE
"Interaction","wsum","Gata3",39.2474146437724,9,"Up","other",FALSE
"Interaction","wsum","Usf1",36.909087585162,10,"Up","other",FALSE
"Interaction","wsum","Srebf1",34.7980628697278,11,"Up","other",FALSE
"Interaction","wsum","Hnf4a",33.6372413438105,12,"Up","other",FALSE
"KO_heat","consensus","Foxo3",-4.62566609194986,1,"Down","other",FALSE
"KO_heat","consensus","Srebf1",-3.21137063007749,2,"Down","other",FALSE
"KO_heat","consensus","Srebf2",-3.06974364606821,3,"Down","other",FALSE
"KO_heat","consensus","Zeb1",-2.68543412013622,4,"Down","other",FALSE
"KO_heat","consensus","Irf3",-2.60775083087406,5,"Down","IFN",TRUE
"KO_heat","consensus","Smad7",-2.24772597163523,6,"Down","other",FALSE
"KO_heat","consensus","Hic1",-2.22767347605225,7,"Down","other",FALSE
"KO_heat","consensus","Irf9",-2.18949401892417,8,"Down","other",FALSE
"KO_heat","consensus","Nr1d1",-1.95577915104519,9,"Down","other",FALSE
"KO_heat","consensus","Brca1",-1.93735296891367,10,"Down","other",FALSE
"KO_heat","consensus","Irf1",-1.91088594695086,11,"Down","IFN",TRUE
"KO_heat","consensus","Stat2",-1.91016376188278,12,"Down","IFN",TRUE
"KO_heat","consensus","Sp1",4.22371452887594,1,"Up","other",FALSE
"KO_heat","consensus","Jun",3.70531977129254,2,"Up","other",FALSE
"KO_heat","consensus","Hif1a",3.02008662858916,3,"Up","HIF",TRUE
"KO_heat","consensus","Fos",3.00550010134708,4,"Up","other",FALSE
"KO_heat","consensus","Egr1",2.92152926562598,5,"Up","other",FALSE
"KO_heat","consensus","Nfkb",2.905774281399,6,"Up","other",FALSE
"KO_heat","consensus","Rela",2.86553772107448,7,"Up","IFN",TRUE
"KO_heat","consensus","Nfkb1",2.72314756881654,8,"Up","IFN",TRUE
"KO_heat","consensus","Trp53",2.48745368627155,9,"Up","other",FALSE
"KO_heat","consensus","Stat3",2.37673343163311,10,"Up","other",FALSE
"KO_heat","consensus","Sp3",2.33216251305404,11,"Up","other",FALSE
"KO_heat","consensus","Stat5a",2.24593135386651,12,"Up","other",FALSE
"KO_heat","corr_wsum","Foxo3",-384.113223230248,1,"Down","other",FALSE
"KO_heat","corr_wsum","Srebf1",-280.268753917219,2,"Down","other",FALSE
"KO_heat","corr_wsum","Srebf2",-201.287798630189,3,"Down","other",FALSE
"KO_heat","corr_wsum","Irf3",-189.095265642505,4,"Down","IFN",TRUE
"KO_heat","corr_wsum","Zeb1",-180.9610289647,5,"Down","other",FALSE
"KO_heat","corr_wsum","Smad7",-155.723196333327,6,"Down","other",FALSE
"KO_heat","corr_wsum","Ikzf1",-116.433542937374,7,"Down","other",FALSE
"KO_heat","corr_wsum","Irf9",-116.178445940586,8,"Down","other",FALSE
"KO_heat","corr_wsum","Stat2",-114.539790196715,9,"Down","IFN",TRUE
"KO_heat","corr_wsum","Hic1",-113.720401499769,10,"Down","other",FALSE
"KO_heat","corr_wsum","Hdac1",-107.933876282801,11,"Down","other",FALSE
"KO_heat","corr_wsum","Klf2",-105.422130595724,12,"Down","other",FALSE
"KO_heat","corr_wsum","Sp1",987.465733874623,1,"Up","other",FALSE
"KO_heat","corr_wsum","Jun",870.069042245806,2,"Up","other",FALSE
"KO_heat","corr_wsum","Nfkb",666.598055091804,3,"Up","other",FALSE
"KO_heat","corr_wsum","Rela",653.637374806057,4,"Up","IFN",TRUE
"KO_heat","corr_wsum","Hif1a",632.123063256885,5,"Up","HIF",TRUE
"KO_heat","corr_wsum","Egr1",607.297418069678,6,"Up","other",FALSE
"KO_heat","corr_wsum","Nfkb1",565.405718899149,7,"Up","IFN",TRUE
"KO_heat","corr_wsum","Fos",563.611301945162,8,"Up","other",FALSE
"KO_heat","corr_wsum","Ap1",508.196578201553,9,"Up","other",FALSE
"KO_heat","corr_wsum","Sp3",475.884488224868,10,"Up","other",FALSE
"KO_heat","corr_wsum","Stat3",470.520910461685,11,"Up","other",FALSE
"KO_heat","corr_wsum","Trp53",469.117351442726,12,"Up","other",FALSE
"KO_heat","mlm","Foxo3",-4.72154103349042,1,"Down","other",FALSE
"KO_heat","mlm","Nr1d1",-4.30058517837316,2,"Down","other",FALSE
"KO_heat","mlm","Trps1",-3.81118109452474,3,"Down","other",FALSE
"KO_heat","mlm","Brca1",-3.79920851954293,4,"Down","other",FALSE
"KO_heat","mlm","Spib",-3.49794654621093,5,"Down","other",FALSE
"KO_heat","mlm","Mitf",-3.41833857791734,6,"Down","other",FALSE
"KO_heat","mlm","Irf1",-3.30744691199199,7,"Down","IFN",TRUE
"KO_heat","mlm","Klf7",-3.0651203554231,8,"Down","other",FALSE
"KO_heat","mlm","Lmo4",-3.0298644982458,9,"Down","other",FALSE
"KO_heat","mlm","Esr1",-3.01580136848382,10,"Down","other",FALSE
"KO_heat","mlm","Hoxa9",-2.94797952316252,11,"Down","other",FALSE
"KO_heat","mlm","Srebf2",-2.92752756663185,12,"Down","other",FALSE
"KO_heat","mlm","Thap11",4.41035504928877,1,"Up","other",FALSE
"KO_heat","mlm","Tox3",4.00842918373988,2,"Up","other",FALSE
"KO_heat","mlm","Onecut1",3.91770519518756,3,"Up","other",FALSE
"KO_heat","mlm","Hoxd3",3.52311853447874,4,"Up","other",FALSE
"KO_heat","mlm","Sin3a",3.47411199789203,5,"Up","other",FALSE
"KO_heat","mlm","Hsf2",3.44045408102013,6,"Up","other",FALSE
"KO_heat","mlm","Sirt1",3.25388359287733,7,"Up","other",FALSE
"KO_heat","mlm","Irf5",3.23624237139444,8,"Up","other",FALSE
"KO_heat","mlm","Hoxa13",3.15390292657599,9,"Up","other",FALSE
"KO_heat","mlm","Tbx15",3.11611206693826,10,"Up","other",FALSE
"KO_heat","mlm","Pknox1",3.0802849285014,11,"Up","other",FALSE
"KO_heat","mlm","Tbx5",3.01776545559124,12,"Up","other",FALSE
"KO_heat","norm_wsum","Srebf2",-4.90604854201265,1,"Down","other",FALSE
"KO_heat","norm_wsum","Foxo3",-4.41805184036018,2,"Down","other",FALSE
"KO_heat","norm_wsum","Srebf1",-3.88069347470863,3,"Down","other",FALSE
"KO_heat","norm_wsum","Irf9",-3.82423339256322,4,"Down","other",FALSE
"KO_heat","norm_wsum","Smarca4",-3.59182267854848,5,"Down","other",FALSE
"KO_heat","norm_wsum","Irf3",-3.5625603453481,6,"Down","IFN",TRUE
"KO_heat","norm_wsum","Zeb1",-3.55842781500572,7,"Down","other",FALSE
"KO_heat","norm_wsum","Hic1",-3.55586901678064,8,"Down","other",FALSE
"KO_heat","norm_wsum","Klf17",-3.3421583599517,9,"Down","other",FALSE
"KO_heat","norm_wsum","Foxf2",-3.28271969209976,10,"Down","other",FALSE
"KO_heat","norm_wsum","Spib",-3.20113148225345,11,"Down","other",FALSE
"KO_heat","norm_wsum","Rfxank",-3.15587504834091,12,"Down","other",FALSE
"KO_heat","norm_wsum","Egr1",6.44025433554636,1,"Up","other",FALSE
"KO_heat","norm_wsum","Hif1a",5.62993732925626,2,"Up","HIF",TRUE
"KO_heat","norm_wsum","Jun",5.39754811498666,3,"Up","other",FALSE
"KO_heat","norm_wsum","Ncoa1",5.31560396499857,4,"Up","other",FALSE
"KO_heat","norm_wsum","Hoxd3",5.31134016772604,5,"Up","other",FALSE
"KO_heat","norm_wsum","Sp1",5.21981324497758,6,"Up","other",FALSE
"KO_heat","norm_wsum","Hsf2",5.12327793420626,7,"Up","other",FALSE
"KO_heat","norm_wsum","Rela",5.11466086277585,8,"Up","IFN",TRUE
"KO_heat","norm_wsum","Stat5a",4.86252771359785,9,"Up","other",FALSE
"KO_heat","norm_wsum","Jund",4.77503934418096,10,"Up","other",FALSE
"KO_heat","norm_wsum","Nfkb",4.73980238789347,11,"Up","other",FALSE
"KO_heat","norm_wsum","Fos",4.59510196194498,12,"Up","other",FALSE
"KO_heat","ulm","Foxo3",-3.82063596951706,1,"Down","other",FALSE
"KO_heat","ulm","Srebf1",-3.65672078205977,2,"Down","other",FALSE
"KO_heat","ulm","Srebf2",-3.65586639165853,3,"Down","other",FALSE
"KO_heat","ulm","Hic1",-3.65267658493192,4,"Down","other",FALSE
"KO_heat","ulm","Irf9",-3.63932380910065,5,"Down","other",FALSE
"KO_heat","ulm","Aip",-3.63300463402874,6,"Down","other",FALSE
"KO_heat","ulm","Zeb1",-3.62446637483881,7,"Down","other",FALSE
"KO_heat","ulm","Foxf2",-3.46833261534651,8,"Down","other",FALSE
"KO_heat","ulm","Klf17",-3.32214406246757,9,"Down","other",FALSE
"KO_heat","ulm","Tbx3",-3.24157585414203,10,"Down","other",FALSE
"KO_heat","ulm","Irf3",-3.16342362304438,11,"Down","IFN",TRUE
"KO_heat","ulm","Rfxap",-3.14640124478719,12,"Down","other",FALSE
"KO_heat","ulm","Jun",5.89085213085906,1,"Up","other",FALSE
"KO_heat","ulm","Egr1",5.26581217490146,2,"Up","other",FALSE
"KO_heat","ulm","Fos",5.21823032070378,3,"Up","other",FALSE
"KO_heat","ulm","Sp1",5.14324847236174,4,"Up","other",FALSE
"KO_heat","ulm","Ncoa1",5.0757456881116,5,"Up","other",FALSE
"KO_heat","ulm","Hoxd3",5.06437588163842,6,"Up","other",FALSE
"KO_heat","ulm","Hif1a",5.0261507749975,7,"Up","HIF",TRUE
"KO_heat","ulm","Jund",4.94173065333866,8,"Up","other",FALSE
"KO_heat","ulm","Stat5a",4.89182799320492,9,"Up","other",FALSE
"KO_heat","ulm","Rela",4.77832812335713,10,"Up","IFN",TRUE
"KO_heat","ulm","Hsf2",4.70945704516217,11,"Up","other",FALSE
"KO_heat","ulm","Nfkb1",4.63660858909207,12,"Up","IFN",TRUE
"KO_heat","wsum","Foxo3",-226.085935743383,1,"Down","other",FALSE
"KO_heat","wsum","Srebf1",-164.963921200452,2,"Down","other",FALSE
"KO_heat","wsum","Srebf2",-118.476369869081,3,"Down","other",FALSE
"KO_heat","wsum","Irf3",-111.299943589296,4,"Down","IFN",TRUE
"KO_heat","wsum","Zeb1",-106.512197686163,5,"Down","other",FALSE
"KO_heat","wsum","Irf1",-95.5916596510416,6,"Down","IFN",TRUE
"KO_heat","wsum","Smad7",-91.6574135716926,7,"Down","other",FALSE
"KO_heat","wsum","Nr1i2",-81.8474459264545,8,"Down","other",FALSE
"KO_heat","wsum","Ppara",-80.0846541746908,9,"Down","other",FALSE
"KO_heat","wsum","Hdac1",-77.2092333098989,10,"Down","other",FALSE
"KO_heat","wsum","Klf2",-75.4124854727271,11,"Down","other",FALSE
"KO_heat","wsum","Nr1h3",-73.5495974752183,12,"Down","other",FALSE
"KO_heat","wsum","Sp1",581.214342427746,1,"Up","other",FALSE
"KO_heat","wsum","Jun",512.115599466302,2,"Up","other",FALSE
"KO_heat","wsum","Nfkb",392.354222493951,3,"Up","other",FALSE
"KO_heat","wsum","Rela",384.725670928786,4,"Up","IFN",TRUE
"KO_heat","wsum","Hif1a",372.062521200265,5,"Up","HIF",TRUE
"KO_heat","wsum","Egr1",357.450347280862,6,"Up","other",FALSE
"KO_heat","wsum","Trp53",335.577598847293,7,"Up","other",FALSE
"KO_heat","wsum","Nfkb1",332.793232050096,8,"Up","IFN",TRUE
"KO_heat","wsum","Fos",331.737052747691,9,"Up","other",FALSE
"KO_heat","wsum","Ap1",299.120394653562,10,"Up","other",FALSE
"KO_heat","wsum","Sp3",280.101759895903,11,"Up","other",FALSE
"KO_heat","wsum","Stat3",276.944801415473,12,"Up","other",FALSE
"Temp_main","consensus","Foxo3",-4.67229668338645,1,"Down","other",FALSE
"Temp_main","consensus","Srebf1",-2.93100842172743,2,"Down","other",FALSE
"Temp_main","consensus","Srebf2",-2.87932678628175,3,"Down","other",FALSE
"Temp_main","consensus","Zeb1",-2.6843635836512,4,"Down","other",FALSE
"Temp_main","consensus","Smad7",-2.38808949300754,5,"Down","other",FALSE
"Temp_main","consensus","Hic1",-2.31673727631903,6,"Down","other",FALSE
"Temp_main","consensus","Spib",-2.05807650936793,7,"Down","other",FALSE
"Temp_main","consensus","Irf3",-1.95995363483565,8,"Down","IFN",TRUE
"Temp_main","consensus","Klf2",-1.95364359784022,9,"Down","other",FALSE
"Temp_main","consensus","Tbx3",-1.94619444293718,10,"Down","other",FALSE
"Temp_main","consensus","Ikzf1",-1.91759788449702,11,"Down","other",FALSE
"Temp_main","consensus","Nr1d1",-1.89731618129771,12,"Down","other",FALSE
"Temp_main","consensus","Sp1",4.19918931811447,1,"Up","other",FALSE
"Temp_main","consensus","Jun",3.65126949228864,2,"Up","other",FALSE
"Temp_main","consensus","Nfkb",3.17894751149746,3,"Up","other",FALSE
"Temp_main","consensus","Rela",3.03530454499133,4,"Up","IFN",TRUE
"Temp_main","consensus","Fos",2.9803405185782,5,"Up","other",FALSE
"Temp_main","consensus","Hif1a",2.96652348055442,6,"Up","HIF",TRUE
"Temp_main","consensus","Egr1",2.94546955200838,7,"Up","other",FALSE
"Temp_main","consensus","Nfkb1",2.88836307189889,8,"Up","IFN",TRUE
"Temp_main","consensus","Trp53",2.56055155872337,9,"Up","other",FALSE
"Temp_main","consensus","Stat3",2.42181349339062,10,"Up","other",FALSE
"Temp_main","consensus","Sp3",2.35641192047916,11,"Up","other",FALSE
"Temp_main","consensus","Stat5a",2.29695994162823,12,"Up","other",FALSE
"Temp_main","corr_wsum","Foxo3",-509.228186019754,1,"Down","other",FALSE
"Temp_main","corr_wsum","Srebf1",-337.239007874472,2,"Down","other",FALSE
"Temp_main","corr_wsum","Srebf2",-249.716004907033,3,"Down","other",FALSE
"Temp_main","corr_wsum","Zeb1",-239.437311464542,4,"Down","other",FALSE
"Temp_main","corr_wsum","Smad7",-218.442169434975,5,"Down","other",FALSE
"Temp_main","corr_wsum","Irf3",-187.643752368654,6,"Down","IFN",TRUE
"Temp_main","corr_wsum","Hic1",-157.532973672087,7,"Down","other",FALSE
"Temp_main","corr_wsum","Ikzf1",-156.895122670284,8,"Down","other",FALSE
"Temp_main","corr_wsum","Klf2",-149.060451707984,9,"Down","other",FALSE
"Temp_main","corr_wsum","Hdac1",-128.253711078207,10,"Down","other",FALSE
"Temp_main","corr_wsum","Tbx3",-123.603600332183,11,"Down","other",FALSE
"Temp_main","corr_wsum","Irf9",-120.89968571262,12,"Down","other",FALSE
"Temp_main","corr_wsum","Sp1",1453.21189852909,1,"Up","other",FALSE
"Temp_main","corr_wsum","Jun",1258.52168405287,2,"Up","other",FALSE
"Temp_main","corr_wsum","Nfkb",1079.40510807171,3,"Up","other",FALSE
"Temp_main","corr_wsum","Rela",1015.51785384669,4,"Up","IFN",TRUE
"Temp_main","corr_wsum","Hif1a",906.827981606167,5,"Up","HIF",TRUE
"Temp_main","corr_wsum","Egr1",893.042608612308,6,"Up","other",FALSE
"Temp_main","corr_wsum","Nfkb1",882.279273806498,7,"Up","IFN",TRUE
"Temp_main","corr_wsum","Fos",824.797528678847,8,"Up","other",FALSE
"Temp_main","corr_wsum","Trp53",817.302383149117,9,"Up","other",FALSE
"Temp_main","corr_wsum","Ap1",763.603904002804,10,"Up","other",FALSE
"Temp_main","corr_wsum","Stat3",711.508548228269,11,"Up","other",FALSE
"Temp_main","corr_wsum","Sp3",709.902249194114,12,"Up","other",FALSE
"Temp_main","mlm","Foxo3",-4.68470747903297,1,"Down","other",FALSE
"Temp_main","mlm","Nr1d1",-4.08509587008295,2,"Down","other",FALSE
"Temp_main","mlm","Spib",-3.92342825415448,3,"Down","other",FALSE
"Temp_main","mlm","Trps1",-3.85337421313936,4,"Down","other",FALSE
"Temp_main","mlm","Mitf",-3.79480403704628,5,"Down","other",FALSE
"Temp_main","mlm","Brca1",-3.79224040138779,6,"Down","other",FALSE
"Temp_main","mlm","Irf1",-3.25573169868293,7,"Down","IFN",TRUE
"Temp_main","mlm","Hoxa9",-3.08722928498251,8,"Down","other",FALSE
"Temp_main","mlm","Klf7",-2.98957536164531,9,"Down","other",FALSE
"Temp_main","mlm","Runx3",-2.88043824659759,10,"Down","other",FALSE
"Temp_main","mlm","Hic1",-2.85948947864776,11,"Down","other",FALSE
"Temp_main","mlm","Lmo4",-2.8047554238853,12,"Down","other",FALSE
"Temp_main","mlm","Thap11",4.54614508035105,1,"Up","other",FALSE
"Temp_main","mlm","Tox3",4.2553375619003,2,"Up","other",FALSE
"Temp_main","mlm","Onecut1",3.84339063036837,3,"Up","other",FALSE
"Temp_main","mlm","Hoxd3",3.55686935005474,4,"Up","other",FALSE
"Temp_main","mlm","Sirt1",3.50651083903154,5,"Up","other",FALSE
"Temp_main","mlm","Sin3a",3.3953594130478,6,"Up","other",FALSE
"Temp_main","mlm","Hsf2",3.35555280054283,7,"Up","other",FALSE
"Temp_main","mlm","Tbx5",3.22734077798951,8,"Up","other",FALSE
"Temp_main","mlm","Hoxa13",3.03160332629943,9,"Up","other",FALSE
"Temp_main","mlm","Tbx15",3.0314933779241,10,"Up","other",FALSE
"Temp_main","mlm","Msx1",2.98189887404871,11,"Up","other",FALSE
