"target","in_dorothea","in_collectri","t_wt","membership","abs_t","high_t"
"Tgfb1",FALSE,TRUE,4.34110160878678,"collectri_only",4.34110160878678,TRUE
"Ankrd37",TRUE,TRUE,4.33518651180883,"both",4.33518651180883,TRUE
"Itgam",FALSE,TRUE,-4.31401444516013,"collectri_only",4.31401444516013,TRUE
"Ebp",FALSE,TRUE,-4.30597753251118,"collectri_only",4.30597753251118,TRUE
"Hspa4",FALSE,TRUE,4.30130656542651,"collectri_only",4.30130656542651,TRUE
"Gpx3",TRUE,FALSE,4.29196313847273,"dorothea_only",4.29196313847273,TRUE
"Tnf",FALSE,TRUE,4.28954106073917,"collectri_only",4.28954106073917,TRUE
"Stc2",TRUE,TRUE,4.19277426252562,"both",4.19277426252562,TRUE
"Pdk1",FALSE,TRUE,-4.15782847557273,"collectri_only",4.15782847557273,TRUE
"Abcb1b",TRUE,FALSE,-4.15202082034286,"dorothea_only",4.15202082034286,TRUE
"Sh3bp2",FALSE,TRUE,-4.14128231193665,"collectri_only",4.14128231193665,TRUE
"Ndrg2",FALSE,TRUE,4.05867111745917,"collectri_only",4.05867111745917,TRUE
"Txn1",FALSE,TRUE,4.05470534436349,"collectri_only",4.05470534436349,TRUE
"Pfkfb2",FALSE,TRUE,-3.98048111927452,"collectri_only",3.98048111927452,TRUE
"Abcb1a",TRUE,TRUE,3.94791366856173,"both",3.94791366856173,TRUE
"Kdm3a",TRUE,TRUE,3.92204777314147,"both",3.92204777314147,TRUE
"Lct",FALSE,TRUE,-3.82077833537038,"collectri_only",3.82077833537038,TRUE
"Bid",FALSE,TRUE,-3.80895302687189,"collectri_only",3.80895302687189,TRUE
"Kdm7a",FALSE,TRUE,-3.80091917219676,"collectri_only",3.80091917219676,TRUE
"Cd24a",FALSE,TRUE,3.78994950950339,"collectri_only",3.78994950950339,TRUE
"Il11",FALSE,TRUE,3.7872164071514,"collectri_only",3.7872164071514,TRUE
"Bace1",FALSE,TRUE,-3.78601992404384,"collectri_only",3.78601992404384,TRUE
