"gene","tf","in_regulon","gene_heat_t","tf_heatmain_score","gene_contrib","tf_family"
"Glb1","Rela",0,23.177999891248,5.24945294657549,17.3885344920755,"NF-kB"
"Lgals3","Rela",0,24.5416627598424,5.24945294657549,16.8033146701733,"NF-kB"
"Bcl2l1","Rela",1,21.9815051784887,5.24945294657549,16.0796092768292,"NF-kB"
"Spp1","Rela",0,21.5604773272749,5.24945294657549,15.3649511654676,"NF-kB"
"Bcr","Rela",1,18.0259595851548,5.24945294657549,13.5750369655157,"NF-kB"
"Adora2b","Rela",0,18.3350333260031,5.24945294657549,13.2383986587328,"NF-kB"
"Ar","Rela",1,19.9423456888893,5.24945294657549,13.14639338402,"NF-kB"
"Cd44","Rela",1,16.9222666087092,5.24945294657549,12.505000321005,"NF-kB"
"Pcx","Rela",0,17.716328096864,5.24945294657549,12.5002699175979,"NF-kB"
"Pak1","Rela",0,16.2427678266493,5.24945294657549,12.3992923863106,"NF-kB"
"Cdkn1a","Rela",1,18.2908659188984,5.24945294657549,12.3278744148841,"NF-kB"
"Sphk1","Rela",0,17.3319051731193,5.24945294657549,12.1468455558043,"NF-kB"
"Furin","Rela",0,15.611406576074,5.24945294657549,11.6903423050384,"NF-kB"
"Serpine1","Rela",1,17.2744472952486,5.24945294657549,11.2113044225909,"NF-kB"
"Ccl4","Rela",1,15.3249189525777,5.24945294657549,11.0280305807477,"NF-kB"
"Eno2","Rela",0,14.81234910031,5.24945294657549,11.0047832347513,"NF-kB"
"Rora","Rela",0,15.3902312093323,5.24945294657549,10.9548796224002,"NF-kB"
"Timp1","Ap1",1,34.9667956450584,4.04581643693727,24.9249900286913,"AP-1/immediate-early"
"Sdc1","Ap1",0,31.8805471524107,4.04581643693727,22.8929996902441,"AP-1/immediate-early"
"Itga5","Ap1",1,25.6423661286299,4.04581643693727,18.4582530987312,"AP-1/immediate-early"
"Glb1","Ap1",0,23.177999891248,4.04581643693727,17.3885344920755,"AP-1/immediate-early"
"Lgals3","Ap1",0,24.5416627598424,4.04581643693727,16.8033146701733,"AP-1/immediate-early"
"Bcl2l1","Ap1",1,21.9815051784887,4.04581643693727,16.0796092768292,"AP-1/immediate-early"
"Spp1","Ap1",1,21.5604773272749,4.04581643693727,15.3649511654676,"AP-1/immediate-early"
"Bcr","Ap1",0,18.0259595851548,4.04581643693727,13.5750369655157,"AP-1/immediate-early"
"Adora2b","Ap1",0,18.3350333260031,4.04581643693727,13.2383986587328,"AP-1/immediate-early"
"Ar","Ap1",1,19.9423456888893,4.04581643693727,13.14639338402,"AP-1/immediate-early"
"Cd44","Ap1",1,16.9222666087092,4.04581643693727,12.505000321005,"AP-1/immediate-early"
"Pcx","Ap1",1,17.716328096864,4.04581643693727,12.5002699175979,"AP-1/immediate-early"
"Pak1","Ap1",0,16.2427678266493,4.04581643693727,12.3992923863106,"AP-1/immediate-early"
"Cdkn1a","Ap1",1,18.2908659188984,4.04581643693727,12.3278744148841,"AP-1/immediate-early"
"Sphk1","Ap1",1,17.3319051731193,4.04581643693727,12.1468455558043,"AP-1/immediate-early"
"Furin","Ap1",0,15.611406576074,4.04581643693727,11.6903423050384,"AP-1/immediate-early"
"Serpine1","Ap1",1,17.2744472952486,4.04581643693727,11.2113044225909,"AP-1/immediate-early"
"Ccl4","Ap1",1,15.3249189525777,4.04581643693727,11.0280305807477,"AP-1/immediate-early"
"Eno2","Ap1",0,14.81234910031,4.04581643693727,11.0047832347513,"AP-1/immediate-early"
"Rora","Ap1",0,15.3902312093323,4.04581643693727,10.9548796224002,"AP-1/immediate-early"
"Timp1","Esr1",0,34.9667956450584,1.60431472452218,24.9249900286913,"nuclear receptor"
"Sdc1","Esr1",0,31.8805471524107,1.60431472452218,22.8929996902441,"nuclear receptor"
"Itga5","Esr1",0,25.6423661286299,1.60431472452218,18.4582530987312,"nuclear receptor"
"Glb1","Esr1",1,23.177999891248,1.60431472452218,17.3885344920755,"nuclear receptor"
"Lgals3","Esr1",0,24.5416627598424,1.60431472452218,16.8033146701733,"nuclear receptor"
"Bcl2l1","Esr1",1,21.9815051784887,1.60431472452218,16.0796092768292,"nuclear receptor"
"Spp1","Esr1",1,21.5604773272749,1.60431472452218,15.3649511654676,"nuclear receptor"
"Bcr","Esr1",0,18.0259595851548,1.60431472452218,13.5750369655157,"nuclear receptor"
"Adora2b","Esr1",0,18.3350333260031,1.60431472452218,13.2383986587328,"nuclear receptor"
"Ar","Esr1",1,19.9423456888893,1.60431472452218,13.14639338402,"nuclear receptor"
"Cd44","Esr1",1,16.9222666087092,1.60431472452218,12.505000321005,"nuclear receptor"
"Pcx","Esr1",1,17.716328096864,1.60431472452218,12.5002699175979,"nuclear receptor"
"Pak1","Esr1",0,16.2427678266493,1.60431472452218,12.3992923863106,"nuclear receptor"
"Cdkn1a","Esr1",1,18.2908659188984,1.60431472452218,12.3278744148841,"nuclear receptor"
"Sphk1","Esr1",0,17.3319051731193,1.60431472452218,12.1468455558043,"nuclear receptor"
"Furin","Esr1",0,15.611406576074,1.60431472452218,11.6903423050384,"nuclear receptor"
"Serpine1","Esr1",1,17.2744472952486,1.60431472452218,11.2113044225909,"nuclear receptor"
"Ccl4","Esr1",0,15.3249189525777,1.60431472452218,11.0280305807477,"nuclear receptor"
"Eno2","Esr1",0,14.81234910031,1.60431472452218,11.0047832347513,"nuclear receptor"
"Rora","Esr1",1,15.3902312093323,1.60431472452218,10.9548796224002,"nuclear receptor"
"Timp1","Stat3",1,34.9667956450584,4.22317984903838,24.9249900286913,"cytokine/STAT"
"Sdc1","Stat3",0,31.8805471524107,4.22317984903838,22.8929996902441,"cytokine/STAT"
"Itga5","Stat3",0,25.6423661286299,4.22317984903838,18.4582530987312,"cytokine/STAT"
"Glb1","Stat3",0,23.177999891248,4.22317984903838,17.3885344920755,"cytokine/STAT"
"Lgals3","Stat3",0,24.5416627598424,4.22317984903838,16.8033146701733,"cytokine/STAT"
"Bcl2l1","Stat3",1,21.9815051784887,4.22317984903838,16.0796092768292,"cytokine/STAT"
"Spp1","Stat3",0,21.5604773272749,4.22317984903838,15.3649511654676,"cytokine/STAT"
"Bcr","Stat3",0,18.0259595851548,4.22317984903838,13.5750369655157,"cytokine/STAT"
"Adora2b","Stat3",0,18.3350333260031,4.22317984903838,13.2383986587328,"cytokine/STAT"
"Ar","Stat3",1,19.9423456888893,4.22317984903838,13.14639338402,"cytokine/STAT"
"Cd44","Stat3",0,16.9222666087092,4.22317984903838,12.505000321005,"cytokine/STAT"
"Pcx","Stat3",0,17.716328096864,4.22317984903838,12.5002699175979,"cytokine/STAT"
"Pak1","Stat3",0,16.2427678266493,4.22317984903838,12.3992923863106,"cytokine/STAT"
"Cdkn1a","Stat3",1,18.2908659188984,4.22317984903838,12.3278744148841,"cytokine/STAT"
"Sphk1","Stat3",0,17.3319051731193,4.22317984903838,12.1468455558043,"cytokine/STAT"
"Furin","Stat3",0,15.611406576074,4.22317984903838,11.6903423050384,"cytokine/STAT"
"Serpine1","Stat3",0,17.2744472952486,4.22317984903838,11.2113044225909,"cytokine/STAT"
"Ccl4","Stat3",0,15.3249189525777,4.22317984903838,11.0280305807477,"cytokine/STAT"
"Eno2","Stat3",1,14.81234910031,4.22317984903838,11.0047832347513,"cytokine/STAT"
"Rora","Stat3",0,15.3902312093323,4.22317984903838,10.9548796224002,"cytokine/STAT"
"Timp1","Egr1",1,34.9667956450584,5.5419118789059,24.9249900286913,"AP-1/immediate-early"
"Sdc1","Egr1",0,31.8805471524107,5.5419118789059,22.8929996902441,"AP-1/immediate-early"
"Itga5","Egr1",0,25.6423661286299,5.5419118789059,18.4582530987312,"AP-1/immediate-early"
"Glb1","Egr1",1,23.177999891248,5.5419118789059,17.3885344920755,"AP-1/immediate-early"
"Lgals3","Egr1",0,24.5416627598424,5.5419118789059,16.8033146701733,"AP-1/immediate-early"
"Bcl2l1","Egr1",0,21.9815051784887,5.5419118789059,16.0796092768292,"AP-1/immediate-early"
"Spp1","Egr1",1,21.5604773272749,5.5419118789059,15.3649511654676,"AP-1/immediate-early"
"Bcr","Egr1",1,18.0259595851548,5.5419118789059,13.5750369655157,"AP-1/immediate-early"
"Adora2b","Egr1",0,18.3350333260031,5.5419118789059,13.2383986587328,"AP-1/immediate-early"
"Ar","Egr1",1,19.9423456888893,5.5419118789059,13.14639338402,"AP-1/immediate-early"
"Cd44","Egr1",1,16.9222666087092,5.5419118789059,12.505000321005,"AP-1/immediate-early"
"Pcx","Egr1",0,17.716328096864,5.5419118789059,12.5002699175979,"AP-1/immediate-early"
"Pak1","Egr1",0,16.2427678266493,5.5419118789059,12.3992923863106,"AP-1/immediate-early"
"Cdkn1a","Egr1",1,18.2908659188984,5.5419118789059,12.3278744148841,"AP-1/immediate-early"
"Sphk1","Egr1",0,17.3319051731193,5.5419118789059,12.1468455558043,"AP-1/immediate-early"
"Furin","Egr1",0,15.611406576074,5.5419118789059,11.6903423050384,"AP-1/immediate-early"
"Serpine1","Egr1",1,17.2744472952486,5.5419118789059,11.2113044225909,"AP-1/immediate-early"
