"rank","tf","score","p_value","family","is_hif","is_hsf"
140,"Hoxa13",2.05583433275524,0.0398116508534842,"other",FALSE,FALSE
141,"Kat6b",2.0143199903476,0.043989529251583,"other",FALSE,FALSE
142,"Crx",2.01139526288599,0.0442973326577061,"other",FALSE,FALSE
143,"Foxa1",1.99890869486591,0.045631963915397,"other",FALSE,FALSE
144,"Tfeb",1.9973266976276,0.0458034502435491,"other",FALSE,FALSE
145,"Cebpg",1.96441063612134,0.0494965427461947,"other",FALSE,FALSE
146,"Nr4a2",1.94877465283018,0.0513365346051304,"other",FALSE,FALSE
147,"Dnmt1",1.94186961800969,0.0521671395210934,"other",FALSE,FALSE
148,"Nfatc2",1.93992917875583,0.0524025675711275,"other",FALSE,FALSE
149,"Nfe2l2",1.92143160393437,0.0546917457188511,"other",FALSE,FALSE
150,"Gata4",1.90837754433474,0.0563569734994717,"other",FALSE,FALSE
151,"Sirt1",1.90290978355212,0.0570668990051141,"other",FALSE,FALSE
152,"Ewsr1",1.89948544873378,0.0575152864468132,"other",FALSE,FALSE
153,"Rorc",1.89907596938835,0.0575690998447724,"other",FALSE,FALSE
154,"Nr5a1",1.89839455951464,0.0576587428971153,"other",FALSE,FALSE
155,"Foxd1",1.89729728529145,0.0578033389763884,"other",FALSE,FALSE
156,"Dlx3",1.89701316771232,0.0578408283774577,"other",FALSE,FALSE
157,"Irf8",1.89314114720171,0.0583537603285576,"other",FALSE,FALSE
158,"Gtf2i",1.8846097945092,0.0594972645718045,"other",FALSE,FALSE
159,"Ncor2",1.85827469330866,0.063144938678305,"other",FALSE,FALSE
160,"Nrf1",1.85750150565454,0.0632547657819999,"other",FALSE,FALSE
161,"Noto",1.8555817245453,0.0635281430381253,"other",FALSE,FALSE
162,"Kdm2a",1.84430462338952,0.0651537803941716,"other",FALSE,FALSE
163,"Myc",1.82785322558679,0.0675867168269337,"proliferation/metabolism",FALSE,FALSE
164,"Hmga1",1.80491978098188,0.0711025169023972,"other",FALSE,FALSE
165,"Plagl2",1.78469275979453,0.0743265671202687,"other",FALSE,FALSE
166,"Atf6",1.77910172985128,0.0752385179517216,"other",FALSE,FALSE
167,"Hoxa10",1.77119802950782,0.0765432531687815,"other",FALSE,FALSE
168,"Pax8",1.76842874540731,0.0770047457968084,"other",FALSE,FALSE
169,"Creb3l1",1.76673641780859,0.0772878816606237,"other",FALSE,FALSE
170,"Hand2",1.7648329125089,0.0776073618166235,"other",FALSE,FALSE
171,"Rxrb",1.7617019982341,0.0781351868700958,"other",FALSE,FALSE
172,"Crebbp",1.75801508150697,0.0787604890780774,"other",FALSE,FALSE
173,"Tox3",1.75500151714831,0.0792746094350053,"other",FALSE,FALSE
174,"Pbrm1",1.72832043824827,0.0839464786148733,"other",FALSE,FALSE
175,"Kat5",1.72092560280673,0.0852800449592101,"other",FALSE,FALSE
176,"Ttf1",1.71720238952411,0.0859579347863295,"other",FALSE,FALSE
177,"Gcm1",1.69268361336901,0.0905315367201658,"other",FALSE,FALSE
178,"Ebf1",1.68752580997316,0.0915181401630339,"other",FALSE,FALSE
179,"Fhl2",1.67957226911349,0.0930564423828259,"other",FALSE,FALSE
180,"Gata3",1.67328636222949,0.0942868313529389,"other",FALSE,FALSE
181,"Tfap2b",1.66706990563108,0.0955164196134054,"other",FALSE,FALSE
182,"Nanog",1.65407449266381,0.0981283283609063,"other",FALSE,FALSE
183,"Klf8",1.64973210987687,0.0990137011708419,"other",FALSE,FALSE
184,"Gsc",1.64769451562857,0.099431340557242,"other",FALSE,FALSE
185,"Park7",1.63073511025188,0.102962229191045,"other",FALSE,FALSE
186,"Fgf2",1.62495525312258,0.104188109384503,"other",FALSE,FALSE
187,"Pou2f1",1.6197222604937,0.105307977284695,"other",FALSE,FALSE
188,"Sox10",1.61913058266435,0.105435196031125,"other",FALSE,FALSE
189,"Litaf",1.60829713176656,0.107786161813021,"other",FALSE,FALSE
190,"Cxxc1",1.6052577722474,0.108453135654597,"other",FALSE,FALSE
191,"Esr1",1.60431472452218,0.108660745850334,"nuclear receptor",FALSE,FALSE
192,"Prop1",1.60397800588207,0.108734949964448,"other",FALSE,FALSE
193,"Gtf2ird1",1.60188030984453,0.109198131363476,"other",FALSE,FALSE
194,"Myb",1.57956224702937,0.114223224557489,"other",FALSE,FALSE
195,"Tbx2",1.57499464277899,0.115273757750856,"other",FALSE,FALSE
196,"Hoxc6",1.57238121598933,0.115878245913711,"other",FALSE,FALSE
197,"Fli1",1.57202499156045,0.115960833585352,"other",FALSE,FALSE
198,"Kat2b",1.57079441158667,0.116246489328992,"other",FALSE,FALSE
199,"Zfp236",1.56863749423652,0.116748510349197,"other",FALSE,FALSE
200,"Myrf",1.56406769309409,0.117817753225645,"other",FALSE,FALSE
201,"Ybx3",1.56274854678607,0.11812783232854,"other",FALSE,FALSE
202,"Esrrg",1.56243578621214,0.118201443769896,"other",FALSE,FALSE
203,"Pitx3",1.5534780996457,0.120325039957357,"other",FALSE,FALSE
204,"Hey1",1.55229023064541,0.120608876988191,"other",FALSE,FALSE
205,"Trp63",1.54826493288318,0.121574605816794,"other",FALSE,FALSE
206,"Hhex",1.50174213878575,0.133179763011565,"other",FALSE,FALSE
207,"Id3",1.49354957046067,0.1353094227682,"other",FALSE,FALSE
208,"Ahrr",1.49158913689698,0.135822918583426,"other",FALSE,FALSE
209,"Zfp362",1.47479238133686,0.140284369200664,"other",FALSE,FALSE
210,"Pitx2",1.46884626314405,0.141890478673436,"other",FALSE,FALSE
211,"Foxd3",1.45998252147442,0.144310842461629,"other",FALSE,FALSE
212,"Zfp729a",1.44806832836421,0.147613875067162,"other",FALSE,FALSE
213,"Nr2c1",1.4407884593923,0.149660366438791,"other",FALSE,FALSE
214,"Relb",1.43817917912839,0.150399124892667,"other",FALSE,FALSE
215,"Zgpat",1.42030719540997,0.155534111396536,"other",FALSE,FALSE
216,"Klf15",1.41085290806465,0.15830379935405,"other",FALSE,FALSE
217,"Arid1a",1.40852827863187,0.158990499671727,"other",FALSE,FALSE
218,"Hoxb5",1.40831762843705,0.159052837400234,"other",FALSE,FALSE
219,"Tfap4",1.40267453913177,0.160729690132309,"other",FALSE,FALSE
220,"Plag1",1.3858122884489,0.165819934441154,"other",FALSE,FALSE
221,"Nr3c1",1.37421035608928,0.169392038320465,"nuclear receptor",FALSE,FALSE
222,"Dlx5",1.36644923116972,0.171813619351392,"other",FALSE,FALSE
223,"Klf3",1.33772002996161,0.181003179516823,"other",FALSE,FALSE
224,"Arid3a",1.33061917196846,0.1833297701869,"other",FALSE,FALSE
225,"Peg3",1.32930671286439,0.183762212061067,"other",FALSE,FALSE
226,"Dnmt3b",1.32417760094253,0.185459448946819,"other",FALSE,FALSE
227,"Nr2c2",1.31640943452199,0.188051990763317,"other",FALSE,FALSE
228,"Pax3",1.31527333138136,0.188433383705798,"other",FALSE,FALSE
229,"Pbx1",1.31344888463943,0.189047048945074,"other",FALSE,FALSE
230,"Vdr",1.31251173253216,0.189362838769414,"other",FALSE,FALSE
231,"Tcf3",1.30891371145804,0.19057886730028,"other",FALSE,FALSE
232,"Mef2bl",1.30769601564061,0.190991713276756,"other",FALSE,FALSE
233,"Trp73",1.30420555856768,0.192178760482424,"other",FALSE,FALSE
234,"Tbp",1.30169860297529,0.193034676213281,"other",FALSE,FALSE
235,"Klf4",1.30109101414926,0.193242538030048,"other",FALSE,FALSE
236,"Hsf4",1.29952339118808,0.193779595802994,"other",FALSE,FALSE
237,"Arntl2",1.29824753071455,0.194217505918005,"other",FALSE,FALSE
238,"Rest",1.2845583538313,0.198961781962217,"other",FALSE,FALSE
239,"Mkx",1.27669142736346,0.201726275597901,"other",FALSE,FALSE
240,"Tcf7",1.27526963942348,0.202228876094377,"other",FALSE,FALSE
241,"Mta1",1.27018163866511,0.204034955615544,"other",FALSE,FALSE
242,"Kat7",1.26475622165623,0.205973708016598,"other",FALSE,FALSE
243,"Tsc22d1",1.26453193401331,0.206054143452824,"other",FALSE,FALSE
244,"Irf6",1.25255675061621,0.210381948890181,"other",FALSE,FALSE
245,"Zfp148",1.24785860176945,0.212097692767296,"other",FALSE,FALSE
246,"Elk4",1.24740893940446,0.212262436176202,"other",FALSE,FALSE
247,"Gata2",1.24640678174153,0.212629930613403,"other",FALSE,FALSE
248,"Nfyb",1.24208198085015,0.214221119627019,"other",FALSE,FALSE
249,"Sox17",1.24049698724843,0.214806418650155,"other",FALSE,FALSE
250,"Ikzf3",1.2387826106149,0.215440792444345,"other",FALSE,FALSE
251,"Irf7",1.23637202873388,0.216335065881728,"other",FALSE,FALSE
252,"Mta2",1.23274943456714,0.217683989970991,"other",FALSE,FALSE
253,"Eno1",1.2283778187,0.219319862455659,"other",FALSE,FALSE
254,"En1",1.21604477180119,0.223982455027435,"other",FALSE,FALSE
255,"Hnf4a",1.21451769219874,0.224564672691139,"other",FALSE,FALSE
256,"Hes1",1.2069484230961,0.227466516553177,"other",FALSE,FALSE
257,"Zfpm1",1.20206172096976,0.229354081665102,"other",FALSE,FALSE
258,"Ddit3",1.20134002256864,0.229633790890907,"other",FALSE,FALSE
259,"Nsd2",1.19724680874477,0.231224792996787,"other",FALSE,FALSE
260,"Bcl3",1.1886984303877,0.234572703981788,"other",FALSE,FALSE
261,"Brd4",1.18006261605289,0.237989577480873,"other",FALSE,FALSE
262,"E2f3",1.17853125247822,0.238599132020961,"other",FALSE,FALSE
263,"Dlx4",1.17351797074763,0.240602358851116,"other",FALSE,FALSE
264,"Smarcc1",1.16039919549045,0.245900392582877,"other",FALSE,FALSE
265,"Etv6",1.15615617056939,0.247631320824077,"other",FALSE,FALSE
266,"Bcl11b",1.14635593122474,0.251661849070325,"other",FALSE,FALSE
267,"Olig1",1.14583844696587,0.251875938583454,"other",FALSE,FALSE
268,"Onecut1",1.14539075172281,0.25206125798194,"other",FALSE,FALSE
269,"Stat1",1.13587065599277,0.256024535063447,"cytokine/STAT",FALSE,FALSE
270,"Foxc2",1.09481215325385,0.273612341677351,"other",FALSE,FALSE
271,"Tfe3",1.09382393922763,0.274045592595498,"other",FALSE,FALSE
272,"Mafk",1.0880135022765,0.276602472968321,"other",FALSE,FALSE
273,"Pura",1.0853747865017,0.27776899182044,"other",FALSE,FALSE
274,"Nfkbiz",1.07881778086148,0.280682190769699,"other",FALSE,FALSE
275,"Tead4",1.07308045673966,0.283248178378135,"other",FALSE,FALSE
276,"Bhlha15",1.06204147683196,0.288229890456914,"other",FALSE,FALSE
277,"Nkx6-1",1.0598770928656,0.289213527743652,"other",FALSE,FALSE
278,"Ctbp2",1.05277564691349,0.29245675652132,"other",FALSE,FALSE
279,"Gfi1b",1.05128798983749,0.293139251826105,"other",FALSE,FALSE
280,"Cebpa",1.04536901542143,0.295865292830143,"other",FALSE,FALSE
281,"Tead1",1.01880792812168,0.308306687154167,"other",FALSE,FALSE
282,"Nrl",1.01754387700531,0.308907281166788,"other",FALSE,FALSE
283,"Twist2",1.0104901413237,0.312272945671572,"other",FALSE,FALSE
284,"Nr2f2",1.00962707261194,0.31268640880612,"other",FALSE,FALSE
285,"Myf5",1.00935038991599,0.312819033175258,"other",FALSE,FALSE
286,"Hdgf",1.00798994554586,0.313471683931702,"other",FALSE,FALSE
287,"Meox1",1.00384746996823,0.315464483760339,"other",FALSE,FALSE
288,"Rreb1",1.00248460100972,0.316121927685797,"other",FALSE,FALSE
289,"Bhlhe41",1.00075898529415,0.316955649117506,"other",FALSE,FALSE
290,"Ebf3",0.996798572199824,0.318874549007519,"other",FALSE,FALSE
291,"E2f4",0.991808078355512,0.32130335201744,"other",FALSE,FALSE
292,"Arnt",0.985501293831658,0.324390013636705,"other",FALSE,FALSE
293,"Pou4f2",0.974653141250843,0.329744325458323,"other",FALSE,FALSE
294,"Tcf21",0.973480754539682,0.330326387435533,"other",FALSE,FALSE
295,"Gli1",0.952414587661754,0.340898462960224,"other",FALSE,FALSE
296,"Nr4a3",0.951181552645557,0.341523904248893,"other",FALSE,FALSE
297,"Tbpl2",0.950974545192556,0.341628978097463,"other",FALSE,FALSE
298,"Spic",0.949971493872274,0.342138404720505,"other",FALSE,FALSE
299,"Cdx2",0.948286928674148,0.342995049198207,"other",FALSE,FALSE
300,"Pitx1",0.939380881898909,0.347546755921827,"other",FALSE,FALSE
301,"Kdm5a",0.939151909473005,0.347664283653214,"other",FALSE,FALSE
302,"Hlx",0.935484836535822,0.349549974535227,"other",FALSE,FALSE
303,"E2f1",0.933578395379137,0.350532869502669,"other",FALSE,FALSE
304,"Sp7",0.930710174031903,0.352014923593765,"other",FALSE,FALSE
305,"Etv5",0.92788914313113,0.353476458057623,"other",FALSE,FALSE
306,"Hinfp",0.916116591616923,0.359616973535846,"other",FALSE,FALSE
307,"Vezf1",0.901823182978663,0.367161840886118,"other",FALSE,FALSE
308,"Pin1",0.900964455811304,0.36761824540732,"other",FALSE,FALSE
309,"Zglp1",0.892026799139693,0.372389476232194,"other",FALSE,FALSE
310,"Med1",0.89060502230282,0.373151992918787,"other",FALSE,FALSE
311,"Atf5",0.890103702212192,0.373421087557941,"other",FALSE,FALSE
312,"Etv1",0.88928072329671,0.373863100095798,"other",FALSE,FALSE
313,"Ventx",0.888351740173348,0.374362435096826,"other",FALSE,FALSE
314,"Arid3b",0.887718845131461,0.374702856768057,"other",FALSE,FALSE
315,"Dach1",0.884503861203388,0.376435086471293,"other",FALSE,FALSE
316,"Hoxc8",0.881123319927777,0.37826183873375,"other",FALSE,FALSE
317,"Pax9",0.876136242591828,0.380966667341959,"other",FALSE,FALSE
318,"E4f1",0.866883617226408,0.386016351356416,"other",FALSE,FALSE
319,"Myog",0.862861303928892,0.388224244808547,"other",FALSE,FALSE
320,"Pax6",0.861122707903592,0.389180956534362,"other",FALSE,FALSE
321,"Irx1",0.857844800395122,0.390988616351219,"other",FALSE,FALSE
322,"Mef2d",0.85201665119856,0.394215219707454,"other",FALSE,FALSE
323,"Elk3",0.846183709524542,0.397460558409031,"other",FALSE,FALSE
324,"Tbpl1",0.830020659255058,0.406537172972615,"other",FALSE,FALSE
325,"Hoxb9",0.812354904540259,0.41659784201802,"other",FALSE,FALSE
326,"Zbtb18",0.795108114071674,0.426560205486953,"other",FALSE,FALSE
327,"Trerf1",0.794637913977734,0.426833741075939,"other",FALSE,FALSE
328,"Bcl6",0.786398855723997,0.431643323918643,"other",FALSE,FALSE
329,"Hdac5",0.77175921261915,0.440266321314497,"other",FALSE,FALSE
330,"Grhl2",0.751990431168692,0.452065807885837,"other",FALSE,FALSE
331,"Zic1",0.751668529963743,0.452259410278633,"other",FALSE,FALSE
332,"Olig2",0.747293411267912,0.454895398413304,"other",FALSE,FALSE
333,"Arx",0.744193030961152,0.456768590305779,"other",FALSE,FALSE
334,"Hoxd1",0.743851348367269,0.456975293408183,"other",FALSE,FALSE
335,"Tbx18",0.739921967701402,0.459356171656624,"other",FALSE,FALSE
336,"Srsf2",0.733290173733375,0.463390202787117,"other",FALSE,FALSE
337,"Tfam",0.727269697166511,0.467069410110095,"other",FALSE,FALSE
338,"Zbtb7b",0.70990877497258,0.477769120987955,"other",FALSE,FALSE
339,"Apex1",0.70589301030969,0.480263031606046,"other",FALSE,FALSE
340,"Zfp143",0.700300981999816,0.483747638370812,"other",FALSE,FALSE
341,"Yap1",0.697126717512495,0.485731731159494,"other",FALSE,FALSE
342,"Dbp",0.67999973363649,0.496512629437837,"other",FALSE,FALSE
343,"Tfdp1",0.678303178775336,0.497587460128957,"other",FALSE,FALSE
344,"Maml1",0.675984237049606,0.499058597714463,"other",FALSE,FALSE
345,"Meox2",0.673939867650689,0.50035746089007,"other",FALSE,FALSE
346,"Zkscan7",0.666808309467586,0.504902402872057,"other",FALSE,FALSE
347,"Mbd2",0.666068384681497,0.505375199651985,"other",FALSE,FALSE
348,"Klf11",0.663545003050507,0.50698934076127,"other",FALSE,FALSE
349,"Mybl2",0.659500088524393,0.509582407520957,"other",FALSE,FALSE
350,"Ahr",0.647763419557304,0.517145535991839,"other",FALSE,FALSE
351,"Mycn",0.639444678533315,0.522541135664089,"other",FALSE,FALSE
352,"Gata5",0.634244556560785,0.525928606594646,"other",FALSE,FALSE
353,"Zfp335",0.623356373820988,0.533057584916922,"other",FALSE,FALSE
354,"Foxc1",0.620905326533406,0.534669108179103,"other",FALSE,FALSE
355,"Rcor2",0.619116055856664,0.53584707442914,"other",FALSE,FALSE
356,"Preb",0.616421330134493,0.537623610170715,"other",FALSE,FALSE
357,"Nkx2-2",0.610459905440307,0.541564245869331,"other",FALSE,FALSE
