"source","target","mor","t_wt","contrib","class"
"Hif1a","Ptgs2",1,7.60821713681234,7.60821713681234,"other"
"Hif1a","Bhlhe40",1,7.55695152643009,7.55695152643009,"other"
"Hif1a","Thbs1",1,7.24984774055891,7.24984774055891,"other"
"Hif1a","Hsp90b1",1,7.23463625379693,7.23463625379693,"other"
"Hif1a","S100a11",1,7.10063262508495,7.10063262508495,"other"
"Hif1a","Muc1",1,7.0377205827393,7.0377205827393,"other"
"Hif1a","Ppp1r10",1,6.96199272774724,6.96199272774724,"other"
"Hif1a","Lrp1",1,6.84869392028163,6.84869392028163,"other"
"Hif1a","Mst1r",1,6.79789154295383,6.79789154295383,"other"
"Hif1a","Twist1",1,6.6020075401085,6.6020075401085,"other"
"Hif1a","Ccn1",1,6.54985351186068,6.54985351186068,"other"
"Hif1a","Kdm5c",1,6.53026317526316,6.53026317526316,"other"
"Hif1a","Fscn1",1,6.46572249110896,6.46572249110896,"other"
"Hif1a","Hsp90aa1",1,6.30381710248831,6.30381710248831,"other"
"Hif1a","Nedd9",1,6.19323313521022,6.19323313521022,"other"
"Hif1a","Apex1",-1,-6.11666361551349,6.11666361551349,"other"
"Hif1a","Ppp5c",1,5.9626559118473,5.9626559118473,"other"
"Hif1a","Men1",1,5.78552029202753,5.78552029202753,"other"
"Hif1a","Nos2",1,5.5178864893198,5.5178864893198,"other"
"Hif1a","Bsg",1,5.34587271550306,5.34587271550306,"other"
"Hif1a","Msh2",-1,-5.3294115173359,5.3294115173359,"other"
"Hif1a","Reck",-1,-5.29012660902666,5.29012660902666,"other"
"Hif1a","Adm",1,5.27716740211436,5.27716740211436,"other"
"Hif1a","Fam162a",1,5.25882654803303,5.25882654803303,"other"
"Hif1a","E2f3",1,5.23054713823862,5.23054713823862,"other"
"Hif1a","Hdac2",1,5.08322696804307,5.08322696804307,"other"
"Hif1a","Pgf",1,5.01988349855369,5.01988349855369,"other"
"Hif1a","Mdm2",1,4.93090001499374,4.93090001499374,"other"
"Hif1a","Aurka",1,4.8957038365384,4.8957038365384,"other"
"Hif1a","Eln",1,4.77706555936472,4.77706555936472,"other"
"Hif1a","Il4",1,4.68993804924469,4.68993804924469,"other"
"Hif1a","Cdh1",-1,-4.58162420835733,4.58162420835733,"other"
"Hif1a","Errfi1",1,4.55563173242516,4.55563173242516,"other"
"Hif1a","Vmp1",1,4.54378982565288,4.54378982565288,"other"
"Hif1a","Ccl5",1,4.53508248604996,4.53508248604996,"other"
"Hif1a","Il17a",1,4.49447237481451,4.49447237481451,"other"
"Hif1a","Gpr35",1,4.49329238451825,4.49329238451825,"other"
"Hif1a","Plau",1,4.41987375861187,4.41987375861187,"other"
"Hif1a","Ndrg1",1,4.41521755133419,4.41521755133419,"other"
"Hif1a","Tgfb1",1,4.34110160878678,4.34110160878678,"other"
"Hif1a","Ankrd37",1,4.33518651180883,4.33518651180883,"other"
"Hif1a","Hspa4",1,4.30130656542651,4.30130656542651,"other"
"Hif1a","Tnf",1,4.28954106073917,4.28954106073917,"other"
"Hif1a","Stc2",1,4.19277426252562,4.19277426252562,"other"
"Hif1a","Ndrg2",1,4.05867111745917,4.05867111745917,"other"
"Hif1a","Txn1",1,4.05470534436349,4.05470534436349,"other"
"Hif1a","Abcb1a",1,3.94791366856173,3.94791366856173,"other"
"Hif1a","Kdm3a",1,3.92204777314147,3.92204777314147,"other"
"Hif1a","Bid",-1,-3.80895302687189,3.80895302687189,"other"
