signature,gene_symbol,group,temperature,genotype,n_samples,mean_logcpm,sd_logcpm,se_logcpm,z_across_groups
WT_heat_up,B3gnt5,cGASKO_37,37,cGASKO,5,4.69851247,0.105482474,0.0471731966,-0.884924534
WT_heat_up,B3gnt5,cGASKO_39,39,cGASKO,5,5.84442903,0.116465122,0.0520847861,0.890436548
WT_heat_up,Ptpn5,WT_37,37,WT,5,3.77986431,0.207684119,0.0928791617,-0.898419629
WT_heat_up,Ptpn5,WT_39,39,WT,5,4.93904713,0.0844253829,0.037756179,0.875400146
WT_heat_up,Ptpn5,cGASKO_37,37,cGASKO,5,3.82264312,0.119625548,0.0534981715,-0.832958081
WT_heat_up,Ptpn5,cGASKO_39,39,cGASKO,5,4.92635456,0.070172145,0.0313819373,0.855977564
WT_heat_up,Upp1,WT_37,37,WT,5,3.19491583,0.226939727,0.101490531,-0.917239019
WT_heat_up,Upp1,WT_39,39,WT,5,4.67013624,0.142862736,0.0638901576,0.811134132
WT_heat_up,Upp1,cGASKO_37,37,cGASKO,5,3.28511727,0.104535039,0.0467494907,-0.811558706
WT_heat_up,Upp1,cGASKO_39,39,cGASKO,5,4.76106246,0.171923033,0.0768863179,0.917663593
WT_heat_up,Spp1,WT_37,37,WT,5,4.71632168,0.138832905,0.0620879626,-0.978119022
WT_heat_up,Spp1,WT_39,39,WT,5,6.16070102,0.0758414938,0.0339173471,0.752580286
WT_heat_up,Spp1,cGASKO_37,37,cGASKO,5,4.91577156,0.198007544,0.0885516656,-0.739132102
WT_heat_up,Spp1,cGASKO_39,39,cGASKO,5,6.33770416,0.17721574,0.0792532881,0.964670839
WT_heat_up,Plk2,WT_37,37,WT,5,3.73341428,0.303620806,0.135783352,-0.810449207
WT_heat_up,Plk2,WT_39,39,WT,5,5.6538974,0.204163999,0.0913049161,0.908673287
WT_heat_up,Plk2,cGASKO_37,37,cGASKO,5,3.6123895,0.17095696,0.0764542769,-0.918784666
WT_heat_up,Plk2,cGASKO_39,39,cGASKO,5,5.55546407,0.068344027,0.030564378,0.820560586
WT_heat_up,Gm9745,WT_37,37,WT,5,1.07456391,0.0835156188,0.0373493202,-0.768084949
WT_heat_up,Gm9745,WT_39,39,WT,5,3.05154933,0.195811568,0.0875695954,0.867286384
WT_heat_up,Gm9745,cGASKO_37,37,cGASKO,5,0.844125676,0.377482319,0.168815225,-0.9587045
WT_heat_up,Gm9745,cGASKO_39,39,cGASKO,5,3.04214015,0.187047377,0.0836501301,0.859503065
WT_heat_up,Lta,WT_37,37,WT,5,8.50609808,0.180670859,0.0807984644,-0.91159341
WT_heat_up,Lta,WT_39,39,WT,5,9.77504918,0.114409958,0.0511656885,0.870419351
WT_heat_up,Lta,cGASKO_37,37,cGASKO,5,8.57188286,0.0636701262,0.0284741461,-0.819210552
WT_heat_up,Lta,cGASKO_39,39,cGASKO,5,9.76790356,0.150082349,0.0671188671,0.860384611
WT_heat_up,Tanc2,WT_37,37,WT,5,3.44570779,0.184100306,0.08233216,-0.778692539
WT_heat_up,Tanc2,WT_39,39,WT,5,4.55082737,0.128733539,0.0575713887,0.948219506
WT_heat_up,Tanc2,cGASKO_37,37,cGASKO,5,3.33925607,0.0693546851,0.0310163581,-0.945039022
WT_heat_up,Tanc2,cGASKO_39,39,cGASKO,5,4.44030502,0.120740647,0.0539968588,0.775512055
WT_heat_up,Ptger2,WT_37,37,WT,5,4.40297371,0.115219671,0.0515278036,-0.816529736
WT_heat_up,Ptger2,WT_39,39,WT,5,5.70375231,0.176784282,0.0790603344,0.928096912
WT_heat_up,Ptger2,cGASKO_37,37,cGASKO,5,4.33190542,0.170815268,0.07639091,-0.911847749
WT_heat_up,Ptger2,cGASKO_39,39,cGASKO,5,5.60845355,0.123867694,0.0553953166,0.800280573
WT_heat_up,Dennd3,WT_37,37,WT,5,2.74787522,0.126054979,0.0563735003,-0.844685496
WT_heat_up,Dennd3,WT_39,39,WT,5,3.82184971,0.0633779716,0.0283434905,0.916296499
WT_heat_up,Dennd3,cGASKO_37,37,cGASKO,5,2.7229151,0.154353493,0.0690289805,-0.885612265
WT_heat_up,Dennd3,cGASKO_39,39,cGASKO,5,3.75946266,0.0873474334,0.0390629597,0.814001262
WT_heat_up,Pik3ap1,WT_37,37,WT,5,4.03976059,0.190263102,0.0850882458,-0.965235289
WT_heat_up,Pik3ap1,WT_39,39,WT,5,5.16979932,0.116921913,0.0522890691,0.94104251
WT_heat_up,Pik3ap1,cGASKO_37,37,cGASKO,5,4.16330841,0.132352276,0.0591897371,-0.756820767
WT_heat_up,Pik3ap1,cGASKO_39,39,cGASKO,5,5.07493438,0.0905882374,0.0405122913,0.781013546
WT_heat_up,Neb,WT_37,37,WT,5,4.89163581,0.120907918,0.0540716646,-0.816272581
WT_heat_up,Neb,WT_39,39,WT,5,5.99364413,0.133691129,0.0597884906,0.882194413
WT_heat_up,Neb,cGASKO_37,37,cGASKO,5,4.82808061,0.097852022,0.0437607546,-0.914226837
WT_heat_up,Neb,cGASKO_39,39,cGASKO,5,5.9716558300000004,0.158518731,0.0708917315,0.848305005
WT_heat_up,Rab34,WT_37,37,WT,5,2.26059141,0.127973912,0.057231673499999997,-0.75939982
WT_heat_up,Rab34,WT_39,39,WT,5,3.45765242,0.183765177,0.0821822854,0.840156012
WT_heat_up,Rab34,cGASKO_37,37,cGASKO,5,2.10584907,0.0887587277,0.0396941097,-0.966172082
WT_heat_up,Rab34,cGASKO_39,39,cGASKO,5,3.49152359,0.0884302506,0.0395472103,0.88541589
WT_heat_up,Procr,WT_37,37,WT,5,2.97749417,0.145284389,0.0649731539,-1.0024383
WT_heat_up,Procr,WT_39,39,WT,5,4.2575453,0.165527359,0.0740260855,0.826193373
